fid,Hylak_id,Lake_name,Country,Continent,Poly_src,Lake_type,Grand_id,Lake_area,Shore_len,Shore_dev,Vol_total,Vol_res,Vol_src,Depth_avg,Dis_avg,Res_time,Elevation,Slope_100,Wshd_area,Pour_long,Pour_lat
1,"1242",Neusiedl,Hungary,Europe,SWBD,"1","0",141.509999999999991,156.080000000000013,3.700000000000000,301.670000000000016,0.000000000000000,"3",2.100000000000000,5.237000000000000,666.700000000000045,"110",0.460000000000000,1142.599999999999909,16.801183000000002,47.671436999999997
2,"1243",Constance,Switzerland,Europe,SWBD,"1","0",522.019999999999982,284.790000000000020,3.520000000000000,49000.000000000000000,0.000000000000000,"1",93.900000000000006,348.747000000000014,1626.200000000000045,"392",-1.000000000000000,11459.700000000000728,8.862083999999999,47.656955000000004
3,"1248",Luzern,Switzerland,Europe,SWBD,"1","0",109.719999999999999,131.719999999999999,3.550000000000000,13148.989999999999782,0.000000000000000,"3",119.799999999999997,93.135000000000005,1634.099999999999909,"431",16.500000000000000,2222.900000000000091,8.311356999999999,47.052588999999998
4,"1249",Neuchatel,Switzerland,Europe,SWBD,"1","0",210.289999999999992,96.290000000000006,1.870000000000000,3927.920000000000073,0.000000000000000,"3",18.699999999999999,57.432000000000002,791.600000000000023,"422",2.810000000000000,2465.800000000000182,7.018750000000000,47.002082999999999
5,"1251",Balaton,Hungary,Europe,SWBD,"1","0",577.210000000000036,203.939999999999998,2.390000000000000,1900.000000000000000,0.000000000000000,"1",3.300000000000000,21.474000000000000,1024.099999999999909,"100",-1.000000000000000,5746.800000000000182,18.044567000000001,46.911659000000000
6,"1261",Geneva,Switzerland,Europe,SWBD,"1","0",571.629999999999995,177.969999999999999,2.100000000000000,89000.000000000000000,0.000000000000000,"1",155.699999999999989,260.211999999999989,3958.699999999999818,"370",-1.000000000000000,7969.000000000000000,6.149862000000000,46.205924000000003
7,"1274",Como,Italy,Europe,SWBD,"1","0",145.180000000000007,185.909999999999997,4.350000000000000,14949.040000000000873,0.000000000000000,"3",103.000000000000000,159.929000000000002,1081.900000000000091,"198",13.539999999999999,4604.800000000000182,9.429321000000000,45.791443000000001
8,"1275",Maggiore,Italy,Europe,SWBD,"3","3395",208.189999999999998,196.280000000000001,3.840000000000000,17436.520000000000437,426.000000000000000,"3",83.799999999999997,310.829999999999984,649.299999999999955,"191",10.180000000000000,6749.699999999999818,8.682202000000000,45.673459000000001
9,"1282",Garda,Italy,Europe,SWBD,"1","0",354.810000000000002,167.699999999999989,2.510000000000000,25817.779999999998836,0.000000000000000,"3",72.799999999999997,48.436000000000000,6169.300000000000182,"62",8.130000000000001,2222.599999999999909,10.693436999999999,45.448058000000003
10,"1296",Valli di Comacchio,Italy,Europe,SWBD,"1","0",103.790000000000006,104.640000000000001,2.900000000000000,173.389999999999986,0.000000000000000,"3",1.700000000000000,63.575000000000003,31.600000000000001,"-3",0.400000000000000,5601.600000000000364,12.234736000000000,44.578646999999997
