Date,Tree Type,Location,Circumference [cm],Hight [cm],Hight_Classes,Leaf Length [mm],Leaf Width [mm],Leaf-Stalk Length [mm],Weight [g],Colour,Leaf Form,Feeding Traces,Finding Place
"Monday, October 14, 2013",Maple,Suburbs,37.00,200 - 299,B,145.00,175.00,60.00,5.00,green,digitate,yes,under the tree
"Wednesday, October 16, 2013",Oak,Botanical Garden,37.00,300-500,C,180.00,120.00,20.00,3.00,brown,other,yes,on the tree
"Sunday, October 20, 2013",Maple,Suburbs,40.00,200-299,B,60.00,45.00,25.00,0.20,yellow,digitate,yes,under the tree
"Monday, October 14, 2013",Birch,Forest Edge,40.00,200-299,B,50.00,30.00,10.00,2.00,green,rounded,no,on the tree
"Thursday, October 17, 2013",Sorb,City,40.00,>500,D,200.00,90.00,30.00,1.30,yellow,pinnate,no,on the tree
"Monday, October 21, 2013",Oak,Forest Edge,40.00,>500,D,70.00,40.00,5.00,1.00,green,other,no,on the tree
"Sunday, October 20, 2013",Ash,Suburbs,40.00,>500,D,100.00,25.00,70.00,0.80,green,other,no,on the tree
"Saturday, October 12, 2013",Ginkgo,City,40.00,200-299,B,17.00,36.00,10.00,1.00,green,digitate,no,on the tree
"Thursday, October 10, 2013",Hazelnut,City,40.00,300-500,C,123.00,121.00,31.00,2.00,green,rounded,no,under the tree
"Thursday, October 10, 2013",Elder,City,40.00,300-500,C,69.00,31.00,3.00,0.50,green,rounded,no,on the tree
"Thursday, October 10, 2013",Elder,City,40.00,>500,D,44.00,31.00,5.00,0.50,green,rounded,yes,under the tree
"Friday, October 18, 2013",Appletree,Meadow Orchard,41.00,200-299,B,73.00,43.00,18.00,3.70,green,rounded,no,on the tree
"Monday, October 21, 2013",Maple,Suburbs,42.00,300-500,C,80.00,91.00,53.00,2.00,brown,digitate,yes,on the tree
"Sunday, October 13, 2013",Fig,Meadow Orchard,42.00,200-299,B,150.00,120.00,60.00,5.00,green,other,no,on the tree
"Thursday, October 17, 2013",Elder,Meadow Orchard,42.00,200-299,B,73.00,56.00,34.00,3.40,green,pinnate,yes,on the tree
"Friday, October 11, 2013",Birch,City,45.00,<200,A,15.00,15.00,5.00,1.00,yellow,rounded,no,under the tree
"Saturday, October 12, 2013",Ginkgo,City,45.00,200-299,B,15.00,35.00,10.00,1.50,green,digitate,no,under the tree
"Saturday, October 19, 2013",Plum,Meadow Orchard,45.00,<200,A,55.00,35.00,10.00,1.50,guen,pinnate,no,under the tree
"Sunday, October 13, 2013",Maple,Forest Edge,48.00,>500,D,160.00,17.80,148.00,5.00,green,other,no,on the tree
"Friday, October 18, 2013",Elder,Meadow Orchard,48.00,200-299,B,78.00,61.00,36.00,3.00,green,pinnate,yes,on the tree
"Sunday, October 13, 2013",Rowan,Forest Edge,49.20,>500,D,310.00,246.00,89.00,9.00,green,pinnate,yes,under the tree
"Tuesday, October 15, 2013",Maple,Forest Edge,50.00,300-500,C,130.00,150.00,30.00,7.00,brown,other,yes,under the tree
"Friday, October 11, 2013",Birch,Forest Edge,50.00,300-500,C,30.00,20.00,10.00,0.20,yellow,rounded,yes,under the tree
"Tuesday, October 22, 2013",Birch,City,50.00,300-500,C,60.00,50.00,10.00,2.00,green,rounded,yes,on the tree
"Saturday, October 19, 2013",Beech,Forest Edge,50.00,300-500,C,70.00,60.00,35.00,2.50,brown,rounded,yes,on the tree
"Friday, October 11, 2013",Beech,Suburbs,50.00,200-500,C,65.00,25.00,4.00,2.00,green,rounded,no,on the tree
"Friday, October 11, 2013",Beech,Forest,50.00,200-299,B,60.00,40.00,15.00,2.00,yellow,rounded,no,on the tree
"Monday, October 21, 2013",Ash,Forest Edge,50.00,>500,D,100.00,50.00,30.00,5.00,brown,pinnate,no,under the tree
"Friday, October 11, 2013",Spruce,Forest Edge,50.00,200-299,B,10.00,2.00,30.00,0.50,green,other,no,on the tree
"Friday, October 11, 2013",Spruce,Forest Edge,50.00,300-500,D,50.00,25.00,5.00,2.00,yellow,rounded,no,under the tree
"Thursday, October 10, 2013",Chestnut,City,50.00,>500,D,450.00,92.00,24.00,0.30,green,digitate,yes,under the tree
"Thursday, October 10, 2013",Chestnut,City,50.00,>500,D,12.20,133.00,50.00,0.80,yellow,digitate,yes,on the tree
"Monday, October 21, 2013",Limetree,Forest Edge,50.00,>500,D,60.00,60.00,25.00,2.00,yellow,other,no,on the tree
"Tuesday, October 22, 2013",Robinia,Forest,50.00,300-500,C,300.00,70.00,30.00,8.00,brown,digitate,yes,under the tree
"Monday, October 14, 2013",Fir,Forest,50.00,>500,D,30.00,100.00,0.00,0.20,green,other,no,on the tree
"Thursday, October 17, 2013",Birch,Forest,52.00,200-299,B,57.00,37.00,19.00,1.20,yellow,rounded,no,under the tree
"Sunday, October 13, 2013",Birch,Suburbs,52.00,>500,D,55.00,65.00,30.00,1.00,green,digitate,no,under the tree
"Saturday, October 19, 2013",Appletree,Meadow Orchard,55.00,<200,A,95.00,35.00,40.00,2.00,yellow,pinnate,yes,under the tree
"Tuesday, October 22, 2013",Oak,Forest,55.00,200-299,B,80.00,60.00,15.00,3.00,brown,other,no,under the tree
"Saturday, October 12, 2013",Walnut,City,55.00,300-500,C,290.00,245.00,98.00,2.50,green,pinnate,no,on the tree
"Friday, October 18, 2013",Birch,Forest,57.00,300-500,C,59.00,41.00,21.00,1.50,yellow,rounded,yes,on the tree
"Monday, October 21, 2013",Oak,Suburbs,58.00,>500,D,120.00,50.00,9.00,1.70,green,digitate,no,on the tree
"Saturday, October 12, 2013",Hazelnut,Forest Edge,58.00,300-500,C,80.00,65.00,10.00,3.00,green,rounded,no,on the tree
"Thursday, October 17, 2013",Sorb,Forest Edge,59.00,>500,D,170.00,113.00,45.00,2.00,green,pinnate,no,on the tree
"Friday, October 11, 2013",Maple,Suburbs,60.00,300-500,C,90.00,80.00,30.00,0.80,yellow,other,yes,under the tree
"Saturday, October 12, 2013",Birch,City,60.00,300-500,C,27.00,28.00,8.00,0.50,yellow,rounded,no,under the tree
"Sunday, October 20, 2013",Beech,Suburbs,60.00,<200,A,100.00,50.00,5.00,1.00,green,other,yes,on the tree
"Sunday, October 20, 2013",Beech,Forest Edge,60.00,300-500,C,160.00,130.00,150.00,1.20,yellow,other,yes,under the tree
"Saturday, October 12, 2013",Ash,City,60.00,>500,D,157.00,117.00,33.00,1.00,green,pinnate,yes,on the tree
"Sunday, October 13, 2013",Poplar,City,60.00,300-500,C,60.00,60.00,60.00,1.00,yellow,rounded,no,on the tree
"Tuesday, October 15, 2013",Chestnut,City,60.00,>500,D,95.00,750.00,350.00,7.00,brown,compound,no,under the tree
"Tuesday, October 15, 2013",Chestnut,City,60.00,>500,D,95.00,800.00,400.00,8.00,brown,compound,no,under the tree
"Tuesday, October 15, 2013",Chestnut,City,60.00,>500,D,100.00,850.00,400.00,9.00,brown,compound,no,under the tree
"Tuesday, October 15, 2013",Chestnut,City,60.00,>500,D,90.00,800.00,350.00,8.00,brown,compound,no,under the tree
"Friday, October 11, 2013",Limetree,Forest Edge,60.00,200-299,B,40.00,50.00,30.00,0.60,green,rounded,no,on the tree
"Friday, October 11, 2013",Willow,Suburbs,60.00,300-500,C,50.00,5.00,10.00,0.20,green,other,no,on the tree
"Thursday, October 17, 2013",Maple,Forest,62.00,300-500,C,143.00,168.00,185.00,8.00,brown,digitate,no,under the tree
"Sunday, October 20, 2013",Maple,City,62.00,300 - 500,C,143.00,152.00,61.00,5.00,yellow,dreizŠhlig,no,on the tree
"Monday, October 14, 2013",Birch,Suburbs,64.00,> 500,D,70.00,55.00,25.00,0.50,yellow,other,no,under the tree
"Monday, October 14, 2013",Birch,Suburbs,64.00,D,D,57.00,40.00,23.00,0.50,yellow,other,no,under the tree
"Saturday, October 19, 2013",Maple,City,65.00,200-299,B,110.00,130.00,120.00,2.00,yellow,other,no,under the tree
"Saturday, October 12, 2013",Spruce,Forest Edge,65.00,300-500,C,12.00,20.00,12.00,1.00,green,other,yes,on the tree
"Saturday, October 12, 2013",Ginkgo,City,65.00,300-500,C,45.00,75.00,58.00,1.00,green,other,no,on the tree
"Sunday, October 13, 2013",Rowan,Meadow Orchard,66.20,>500,D,28.50,220.00,71.00,12.00,green,pinnate,yes,under the tree
"Wednesday, October 16, 2013",Spruce,Forest,67.00,> 500,D,20.00,2.00,0.00,0.50,green,other,yes,on the tree
"Sunday, October 20, 2013",Maple,Suburbs,70.00,300-500,C,75.00,110.00,70.00,0.50,yellow,digitate,no,under the tree
