Depth Magnetic Susceptibility  (cm),Magnetic Susceptibility (SI x 10^-5),Depth Density (cm),Density (g/cm^3)
179.2,4.20,448,1.1801
179.4,4.10,448.5,1.22
179.6,4.10,449,1.177
179.8,4.10,449.5,1.1934
180,4.10,450,1.2131
180.2,4.00,450.5,1.2372
180.4,4.00,451,1.2345
180.6,4.10,451.5,1.2298
180.8,4.20,452,1.2276
181,4.20,452.5,1.245
181.2,4.50,453,1.2301
181.4,4.60,453.5,1.2149
181.6,4.40,454,1.2247
181.8,4.20,454.5,1.2438
182,4.00,455,1.238
182.2,4.20,455.5,1.2117
182.4,4.60,456,1.1741
182.6,4.80,456.5,1.158
182.8,4.80,457,1.1718
183,4.80,457.5,1.2064
183.2,4.70,458,1.2058
183.4,4.40,458.5,1.1881
183.6,3.20,459,1.179
183.8,3.50,459.5,1.1693
184,3.80,460,1.1546
184.2,4.10,460.5,1.1707
184.4,4.60,461,1.1845
184.6,4.90,461.5,1.1925
184.8,5.10,462,1.1867
185,5.00,462.5,1.2181
185.2,4.90,463,1.1848
185.4,4.80,463.5,1.1554
185.6,4.70,464,1.193
185.8,4.70,464.5,1.206
186,4.60,465,1.1873
186.2,4.40,465.5,1.185
186.4,4.30,466,1.1979
186.6,4.20,466.5,1.196
186.8,4.00,467,1.1751
187,3.60,467.5,1.1915
187.2,3.20,468,1.2046
187.4,2.80,468.5,1.2059
187.6,2.60,469,1.2002
187.8,2.30,469.5,1.1795
188,2.20,470,1.1594
188.2,2.30,470.5,1.1602
188.4,2.70,471,1.1785
188.6,2.80,471.5,1.1472
188.8,2.70,472,1.1533
189,2.80,472.5,1.2008
189.2,2.90,473,1.1778
189.4,2.90,473.5,1.1643
189.6,2.50,474,1.1651
189.8,2.50,474.5,1.1677
190,2.20,475,1.1601
190.2,2.60,475.5,1.1517
190.4,3.40,476,1.1457
190.6,3.50,476.5,1.1573
190.8,3.70,477,1.1239
191,3.90,477.5,1.0855
191.2,4.00,478,1.1337
191.4,4.30,478.5,1.1502
191.6,4.50,479,1.1315
191.8,4.00,479.5,1.1797
192,4.40,480,1.1245
192.2,4.10,480.5,1.0698
192.4,3.50,481,1.0753
192.6,3.20,481.5,1.1581
192.8,3.20,482,1.1591
193,3.30,482.5,1.1642
193.2,3.60,483,1.1541
193.4,3.60,483.5,1.1535
193.6,3.60,484,1.1612
193.8,3.60,484.5,1.1196
194,3.70,485,1.1397
194.2,3.60,485.5,1.1587
194.4,3.60,486,1.1373
194.6,3.50,486.5,1.1624
194.8,3.50,487,1.1453
195,3.60,487.5,1.1524
195.2,3.60,488,1.1572
195.4,3.70,488.5,1.15
195.6,3.80,489,1.1674
195.8,3.60,489.5,1.1605
196,3.40,490,1.0987
196.2,3.20,490.5,1.1494
196.4,3.00,491,1.1783
196.6,2.90,491.5,1.1813
196.8,2.80,492,1.1939
197,3.00,492.5,1.1515
197.2,3.10,493,1.0903
197.4,3.30,493.5,1.1208
197.6,3.40,494,1.1262
197.8,3.60,494.5,1.1403
198,3.60,495,1.1335
198.2,3.50,495.5,1.0866
198.4,3.20,496,1.0727
198.6,2.80,496.5,1.1232
198.8,2.50,497,1.1409
199,2.40,497.5,1.1548
199.2,2.40,498,1.1531
199.4,2.60,498.5,1.145
199.6,2.80,499,1.1704
199.8,4.80,499.5,1.1792
200,4.60,500,1.17
200.2,4.60,500.5,1.1476
200.4,4.40,501,1.1609
200.6,4.30,501.5,1.1546
200.8,4.20,502,1.1578
201,4.10,502.5,1.1131
201.2,4.10,503,1.0375
201.4,4.10,503.5,1.0364
201.6,4.20,504,1.1061
201.8,4.10,504.5,1.1381
202,4.00,505,1.136
202.2,4.00,505.5,1.1807
202.4,3.80,506,1.1644
202.6,3.60,506.5,1.1435
202.8,3.60,507,1.1464
203,3.80,507.5,1.1591
203.2,4.00,508,1.1745
203.4,4.20,508.5,1.2
203.6,4.20,509,1.2089
203.8,4.20,509.5,1.2443
204,4.20,510,1.2505
204.2,4.30,510.5,1.2184
204.4,4.40,511,1.2042
204.6,4.50,511.5,1.1931
204.8,4.40,512,1.2043
205,4.20,512.5,1.2251
205.2,4.10,513,1.2077
205.4,4.20,513.5,1.207
205.6,4.30,514,1.1993
205.8,4.40,514.5,1.1745
206,4.40,515,1.1919
206.2,4.20,515.5,1.2046
206.4,4.10,516,1.2054
206.6,3.90,516.5,1.2005
206.8,3.70,517,1.2053
207,3.70,517.5,1.2329
207.2,3.60,518,1.2204
207.4,3.80,518.5,1.2257
207.6,4.00,519,1.2504
207.8,4.00,519.5,1.2283
208,4.10,520,1.2286
208.2,4.00,520.5,1.2234
208.4,3.70,521,1.2316
208.6,3.60,521.5,1.2399
208.8,3.80,522,1.2253
209,4.00,522.5,1.2206
209.2,4.10,523,1.2201
209.4,4.00,523.5,1.2247
209.6,4.10,524,1.2415
209.8,4.20,524.5,1.2492
210,4.20,525,1.2537
210.2,4.00,525.5,1.2373
210.4,4.00,526,1.279
210.6,4.00,526.5,1.3099
210.8,4.10,527,1.2783
211,4.20,527.5,1.2966
211.2,4.30,528,1.2991
211.4,4.20,528.5,1.2928
211.6,3.80,529,1.316
211.8,3.60,529.5,1.3197
212,3.30,530,1.2927
212.2,3.40,530.5,1.266
212.4,3.40,531,1.2599
212.6,3.90,531.5,1.2879
212.8,4.00,532,1.284
213,3.80,532.5,1.2659
213.2,3.50,533,1.2852
213.4,3.30,533.5,1.2771
213.6,3.00,534,1.2781
213.8,2.80,534.5,1.286
214,2.90,535,1.2735
214.2,2.70,535.5,1.258
214.4,2.90,536,1.2971
214.6,3.30,536.5,1.2894
214.8,3.80,537,1.2789
215,4.10,537.5,1.2729
215.2,4.10,538,1.2239
215.4,4.20,538.5,1.1829
215.6,4.00,539,1.2518
215.8,3.80,539.5,1.2732
216,3.90,540,1.3153
216.2,3.80,540.5,1.3429
216.4,3.90,541,1.3549
216.6,4.10,541.5,1.3419
216.8,4.10,542,1.3745
217,4.10,542.5,1.2943
217.2,3.90,543,1.2649
217.4,3.60,543.5,1.2535
217.6,3.60,544,1.2596
217.8,3.80,544.5,1.2785
218,3.80,545,1.3047
218.2,3.80,545.5,1.2652
218.4,3.80,546,1.246
218.6,3.70,546.5,1.2526
218.8,3.80,547,1.2556
219,3.70,547.5,1.2439
219.2,3.60,548,1.2317
219.4,3.50,548.5,1.2447
219.6,3.40,549,1.2358
219.8,3.60,549.5,1.2351
220,3.80,550,1.2224
220.2,4.00,550.5,1.2102
220.4,3.80,551,1.2048
220.6,3.80,551.5,1.2201
220.8,3.60,552,1.2194
221,3.50,552.5,1.2093
221.2,3.30,553,1.2117
221.4,3.60,553.5,1.2161
221.6,3.60,554,1.2217
221.8,3.40,554.5,1.2209
222,3.50,555,1.2162
222.2,3.60,555.5,1.2285
222.4,3.60,556,1.2305
222.6,3.60,556.5,1.2258
222.8,3.50,557,1.227
223,3.60,557.5,1.2082
223.2,3.50,558,1.2054
223.4,3.50,558.5,1.231
223.6,3.40,559,1.221
223.8,3.30,559.5,1.2037
224,3.30,560,1.2241
224.2,3.20,560.5,1.2271
224.4,3.30,561,1.2103
224.6,3.40,561.5,1.1964
224.8,3.30,562,1.2031
225,3.30,562.5,1.1928
225.2,3.40,563,1.1935
225.4,3.40,563.5,1.1967
225.6,3.30,564,1.2038
225.8,3.30,564.5,1.1874
226,3.10,565,1.1814
226.2,3.30,565.5,1.1989
226.4,3.40,566,1.2066
226.6,3.40,566.5,1.1859
226.8,3.20,567,1.1849
227,3.00,567.5,1.1859
227.2,3.00,568,1.1826
227.4,3.00,568.5,1.197
227.6,3.00,569,1.1703
227.8,3.00,569.5,1.1984
228,3.10,570,1.2197
228.2,3.20,570.5,1.1969
228.4,3.40,571,1.2074
228.6,3.40,571.5,1.2061
228.8,3.20,572,1.1999
229,3.40,572.5,1.1984
229.2,3.30,573,1.2057
229.4,3.20,573.5,1.2038
229.6,3.00,574,1.2155
229.8,3.00,574.5,1.1938
230,3.20,575,1.2019
230.2,3.10,575.5,1.2119
230.4,3.10,576,1.2159
230.6,3.00,576.5,1.2027
230.8,3.00,577,1.1923
231,3.00,577.5,1.2123
231.2,3.00,578,1.2043
231.4,3.10,578.5,1.2008
231.6,3.20,579,1.1821
231.8,3.00,579.5,1.1481
232,2.70,580,1.214
232.2,2.70,580.5,1.2005
232.4,2.90,581,1.172
232.6,2.90,581.5,1.1764
232.8,3.10,582,1.1993
233,3.00,582.5,1.1546
233.2,2.80,583,1.1718
233.4,2.70,583.5,1.1727
233.6,2.70,584,1.1934
233.8,2.60,584.5,1.1967
234,2.70,585,1.1923
234.2,2.90,585.5,1.2177
234.4,2.80,586,1.2227
234.6,2.90,586.5,1.1899
234.8,2.80,587,1.2079
235,2.60,587.5,1.2075
235.2,2.70,588,1.2271
235.4,3.00,588.5,1.2173
235.6,2.80,589,1.2495
235.8,2.80,589.5,1.2299
236,2.90,590,1.2228
236.2,2.90,590.5,1.1859
236.4,3.00,591,1.1942
236.6,2.60,591.5,1.1962
236.8,2.40,592,1.1954
237,2.10,592.5,1.1791
237.2,1.70,593,1.1482
237.4,1.70,593.5,1.1554
237.6,1.70,594,1.1825
237.8,1.70,594.5,1.2014
238,2.10,595,1.1771
238.2,2.70,595.5,1.1863
238.4,3.10,596,1.2097
238.6,3.20,596.5,1.2037
238.8,3.20,597,1.2134
239,3.20,597.5,1.202
239.2,3.00,598,1.2383
239.4,2.70,598.5,1.2169
239.6,2.40,599,1.1919
239.8,2.40,599.5,1.1862
240,2.30,600,1.1851
240.2,2.30,600.5,1.1855
240.4,2.40,601,1.2082
240.6,2.30,601.5,1.223
240.8,2.30,602,1.1991
241,2.30,602.5,1.1936
241.2,2.30,603,1.1474
241.4,2.20,603.5,1.1538
241.6,2.10,604,1.178
241.8,1.90,604.5,1.1097
242,1.70,605,1.1598
242.2,1.90,605.5,1.1792
242.4,2.20,606,1.1782
242.6,2.50,606.5,1.1002
242.8,2.60,607,1.0568
243,2.70,607.5,1.1181
243.2,2.50,608,1.1258
243.4,2.10,608.5,1.1427
243.6,1.80,609,1.1801
243.8,2.10,609.5,1.1791
244,2.30,610,1.1472
244.2,2.30,610.5,1.0996
244.4,2.60,611,
244.6,2.60,611.5,
244.8,2.50,612,1.1607
245,2.50,612.5,1.168
245.2,2.50,613,1.2122
245.4,2.70,613.5,1.2093
245.6,2.80,614,1.2582
245.8,2.90,614.5,1.2228
246,3.00,615,1.2643
246.2,3.10,615.5,1.2465
246.4,3.10,616,1.2486
246.6,3.00,616.5,1.2359
246.8,3.00,617,1.2434
247,2.90,617.5,1.2338
247.2,3.00,618,1.2231
247.4,3.00,618.5,1.253
247.6,3.00,619,1.2453
247.8,2.90,619.5,1.2346
248,3.00,620,1.219
248.2,3.20,620.5,1.23
248.4,3.40,621,1.2284
248.6,3.60,621.5,1.2261
248.8,3.60,622,1.2145
249,3.60,622.5,1.2317
249.2,3.50,623,1.2243
249.4,3.50,623.5,1.2516
249.6,3.50,624,1.2307
249.8,3.60,624.5,1.2341
250,3.60,625,1.2317
250.2,1.20,625.5,1.2361
250.4,1.40,626,1.2667
250.6,1.90,626.5,1.2468
250.8,2.50,627,1.2343
251,2.40,627.5,1.1937
251.2,2.20,628,1.1884
251.4,2.30,628.5,1.2067
251.6,2.60,629,1.2096
251.8,3.00,629.5,1.2065
252,3.20,630,1.2065
252.2,3.30,630.5,1.213
252.4,3.40,631,1.2437
252.6,3.40,631.5,1.2226
252.8,3.40,632,1.1681
253,3.40,632.5,1.2286
253.2,3.30,633,1.2424
253.4,3.10,633.5,1.2029
253.6,3.00,634,1.2018
253.8,3.10,634.5,1.1835
254,3.00,635,1.2186
254.2,3.20,635.5,1.2301
254.4,3.10,636,1.2259
254.6,3.00,636.5,1.247
254.8,3.00,637,1.2288
255,3.10,637.5,1.2349
255.2,3.30,638,1.2481
255.4,2.30,638.5,1.2018
255.6,2.00,639,1.2253
255.8,,639.5,1.2334
256,,640,1.2318
256.2,,640.5,1.2107
256.4,,641,1.2107
256.6,,641.5,1.219
256.8,,642,1.2082
257,,642.5,1.2046
257.2,,643,1.2009
257.4,,643.5,1.1797
257.6,,644,1.2061
257.8,,644.5,1.2328
258,,645,1.2104
258.2,,645.5,1.1616
258.4,,646,1.1839
258.6,,646.5,1.1818
258.8,,647,1.1844
259,,647.5,1.1915
259.2,,648,1.2177
259.4,,648.5,1.1892
259.6,,649,1.1787
259.8,,649.5,1.2008
260,,650,1.2306
260.2,,650.5,1.2058
260.4,,651,1.2292
260.6,,651.5,1.2296
260.8,,652,1.1898
261,,652.5,1.1818
261.2,,653,1.183
261.4,,653.5,1.1728
261.6,,654,1.2243
261.8,,654.5,1.2272
262,,655,1.2081
262.2,,655.5,1.2159
262.4,,656,1.2092
262.6,,656.5,1.1849
262.8,,657,1.1642
263,,657.5,1.2102
263.2,,658,1.2165
263.4,,658.5,1.2164
263.6,,659,1.1913
263.8,,659.5,1.1923
264,,660,1.1885
264.2,,660.5,1.1997
264.4,,661,1.1999
264.6,,661.5,1.1889
264.8,,662,1.1869
265,,662.5,1.2073
265.2,,663,1.2173
265.4,,663.5,1.2035
265.6,,664,1.1885
265.8,,664.5,1.1992
266,,665,1.2131
266.2,,665.5,1.1902
266.4,,666,1.2016
266.6,,666.5,1.2132
266.8,,667,1.2087
267,,667.5,1.2174
267.2,,668,1.2043
267.4,,668.5,1.1693
267.6,,669,1.1791
267.8,,669.5,1.2066
268,,670,1.2194
268.2,,670.5,1.2178
268.4,,671,1.2082
268.6,,671.5,1.1822
268.8,,672,1.2064
269,,672.5,1.188
269.2,,673,1.1906
269.4,,673.5,1.2187
269.6,,674,1.208
269.8,,674.5,1.2075
270,,675,1.1969
270.2,,675.5,1.2339
270.4,,676,1.1858
270.6,,676.5,1.2014
270.8,,677,1.197
271,,677.5,1.209
271.2,,678,1.1814
271.4,0.30,678.5,1.2156
271.6,0.60,679,1.211
271.8,0.70,679.5,1.1791
272,0.70,680,1.2279
272.2,1.10,680.5,1.2342
272.4,3.60,681,1.2254
272.6,3.50,681.5,1.215
272.8,3.40,682,1.2123
273,3.40,682.5,1.2524
273.2,3.20,683,1.2579
273.4,3.00,683.5,1.2297
273.6,2.90,684,1.2381
273.8,2.90,684.5,1.2363
274,2.50,685,1.244
274.2,2.40,685.5,1.2637
274.4,2.30,686,1.2828
274.6,2.20,686.5,1.306
274.8,2.30,687,1.2645
275,2.30,687.5,1.302
275.2,2.20,688,1.2855
275.4,2.30,688.5,1.2807
275.6,2.40,689,1.3031
275.8,2.30,689.5,1.3043
276,2.40,690,1.2951
276.2,3.00,690.5,1.2956
276.4,3.00,691,1.3223
276.6,3.10,691.5,1.3488
276.8,3.10,692,1.3747
277,3.00,692.5,1.4218
277.2,3.00,693,1.4122
277.4,3.00,693.5,1.4149
277.6,3.10,694,1.4319
277.8,3.40,694.5,1.4577
278,3.50,695,1.4806
278.2,3.40,695.5,1.5028
278.4,3.40,696,1.5305
278.6,3.20,696.5,1.5244
278.8,3.20,697,1.5027
279,3.40,697.5,1.474
279.2,3.70,698,1.4281
279.4,3.70,698.5,1.4055
279.6,3.60,699,1.3901
279.8,3.60,699.5,1.368
280,3.60,700,1.3636
280.2,3.70,700.5,1.326
280.4,4.00,701,1.3172
280.6,3.90,701.5,1.2872
280.8,3.80,702,1.2434
281,3.70,702.5,1.244
281.2,4.20,703,1.2455
281.4,4.30,703.5,1.24
281.6,4.00,704,1.211
281.8,3.70,704.5,1.1801
282,3.30,705,1.202
282.2,3.00,705.5,1.2242
282.4,3.10,706,1.2484
282.6,3.10,706.5,1.2657
282.8,3.20,707,1.2615
283,3.40,707.5,1.2673
283.2,3.20,708,1.2937
283.4,3.20,708.5,1.3156
283.6,3.30,709,1.2904
283.8,3.40,709.5,1.2849
284,3.60,710,1.2997
284.2,3.60,710.5,1.2766
284.4,3.80,711,1.3064
284.6,4.00,711.5,1.2815
284.8,4.20,712,1.2722
285,4.50,712.5,1.2791
285.2,4.50,713,1.2898
285.4,4.70,713.5,1.2614
285.6,4.40,714,1.2681
285.8,4.80,714.5,1.2932
286,4.80,715,1.2906
286.2,4.40,715.5,1.2652
286.4,4.40,716,1.2663
286.6,4.30,716.5,1.2622
286.8,3.90,717,1.2566
287,3.80,717.5,1.2567
287.2,4.30,718,1.2794
287.4,4.70,718.5,1.2541
287.6,5.00,719,1.2623
287.8,5.20,719.5,1.2611
288,5.20,720,1.2417
288.2,4.90,720.5,1.2619
288.4,5.20,721,1.2399
288.6,5.90,721.5,1.2279
288.8,6.50,722,1.2372
289,6.50,722.5,1.2581
289.2,6.00,723,1.2669
289.4,6.10,723.5,1.2606
289.6,6.90,724,1.2621
289.8,7.90,724.5,1.2754
290,8.40,725,1.3012
290.2,8.50,725.5,1.2843
290.4,8.30,726,1.2451
290.6,8.00,726.5,1.2712
290.8,7.60,727,1.2671
291,7.40,727.5,1.245
291.2,7.20,728,1.2451
291.4,6.90,728.5,1.257
291.6,6.60,729,1.2434
291.8,6.00,729.5,1.2546
292,5.20,730,1.2287
292.2,4.90,730.5,1.2406
292.4,5.20,731,1.2212
292.6,5.90,731.5,1.245
292.8,6.60,732,1.2441
293,7.00,732.5,1.2204
293.2,6.90,733,1.2418
293.4,6.40,733.5,1.2742
293.6,6.00,734,1.2564
293.8,5.60,734.5,1.2837
294,5.30,735,1.2596
294.2,5.20,735.5,1.2422
294.4,5.00,736,1.2672
294.6,4.80,736.5,1.2563
294.8,4.40,737,1.2369
295,4.00,737.5,1.2679
295.2,3.60,738,1.2437
295.4,3.30,738.5,1.2386
295.6,3.30,739,1.2764
295.8,3.40,739.5,1.2844
296,3.50,740,1.2475
296.2,3.40,740.5,1.2239
296.4,3.50,741,1.2287
296.6,3.60,741.5,1.2508
296.8,3.60,742,1.2386
297,3.60,742.5,1.2445
297.2,3.90,743,1.2567
297.4,4.00,743.5,1.2543
297.6,4.20,744,1.2643
297.8,4.40,744.5,1.265
298,4.50,745,1.2669
298.2,4.40,745.5,1.2902
298.4,4.60,746,1.2753
298.6,4.00,746.5,1.2711
298.8,3.70,747,1.2606
299,3.60,747.5,1.2523
299.2,3.40,748,1.2655
299.4,3.40,748.5,1.2826
299.6,3.30,749,1.2886
299.8,3.20,749.5,1.269
300,3.20,750,1.2433
300.2,3.30,750.5,1.2305
300.4,3.40,751,1.2779
300.6,3.30,751.5,1.2715
300.8,3.40,752,1.3092
301,3.40,752.5,1.2872
301.2,3.50,753,1.2924
301.4,3.60,753.5,1.2875
301.6,3.50,754,1.2822
301.8,3.20,754.5,1.2883
302,3.10,755,1.2851
302.2,3.00,755.5,1.3095
302.4,2.70,756,1.3232
302.6,2.60,756.5,1.3477
302.8,2.60,757,1.3152
303,2.60,757.5,1.3174
303.2,2.70,758,1.3523
303.4,2.70,758.5,1.3453
303.6,2.70,759,1.3076
303.8,2.60,759.5,1.3117
304,2.50,760,1.3064
304.2,2.50,760.5,1.3026
304.4,2.50,761,1.2803
304.6,2.60,761.5,1.2751
304.8,2.60,762,1.2715
305,2.60,762.5,1.3014
305.2,2.80,763,1.2845
305.4,2.90,763.5,1.2643
305.6,3.20,764,1.2762
305.8,3.00,764.5,1.2945
306,2.80,765,1.2253
306.2,2.70,765.5,1.2112
306.4,2.70,766,1.2235
306.6,2.50,766.5,1.2401
306.8,2.50,767,1.2525
307,2.50,767.5,1.2676
307.2,2.60,768,1.2622
307.4,2.70,768.5,1.2425
307.6,2.80,769,1.2367
307.8,2.90,769.5,1.2566
308,2.90,770,1.2727
308.2,2.80,770.5,1.2527
308.4,2.80,771,1.1865
308.6,2.70,771.5,1.1906
308.8,2.80,772,1.2349
309,2.70,772.5,1.2756
309.2,2.80,773,1.2587
309.4,2.90,773.5,1.2238
309.6,2.80,774,1.227
309.8,2.90,774.5,1.2199
310,2.90,775,1.2373
310.2,3.00,775.5,1.2627
310.4,3.00,776,1.2592
310.6,3.20,776.5,1.2481
310.8,3.10,777,1.2603
311,3.00,777.5,1.2611
311.2,3.10,778,1.3082
311.4,3.20,778.5,1.291
311.6,3.20,779,1.2962
311.8,3.40,779.5,1.2965
312,3.30,780,1.2937
312.2,3.10,780.5,1.2723
312.4,3.00,781,1.1738
312.6,2.90,781.5,1.2258
312.8,3.00,782,1.2729
313,3.00,782.5,1.2647
313.2,3.10,783,1.2455
313.4,3.20,783.5,1.231
313.6,3.20,784,1.2343
313.8,3.10,784.5,1.2687
314,2.90,785,1.282
314.2,3.00,785.5,1.2675
314.4,3.00,786,1.2236
314.6,3.20,786.5,1.1481
314.8,3.30,787,1.0658
315,3.30,787.5,1.1587
315.2,3.10,788,1.2283
315.4,3.20,788.5,1.2611
315.6,3.20,789,1.2863
315.8,3.30,789.5,1.2428
316,3.20,790,1.227
316.2,3.30,790.5,1.1896
316.4,3.40,791,1.2347
316.6,3.30,791.5,1.229
316.8,3.40,792,1.3012
317,3.60,792.5,1.2862
317.2,3.60,793,1.2885
317.4,3.60,793.5,1.3128
317.6,3.40,794,1.3068
317.8,3.20,794.5,1.2997
318,3.20,795,1.3106
318.2,3.40,795.5,1.3008
318.4,3.50,796,1.2762
318.6,3.70,796.5,1.3227
318.8,4.00,797,1.331
319,4.40,797.5,1.3209
319.2,4.70,798,1.3023
319.4,5.40,798.5,1.2903
319.6,4.30,799,1.2879
319.8,4.10,799.5,1.2899
320,4.00,800,1.3083
320.2,4.00,800.5,1.2684
320.4,4.00,801,1.2325
320.6,4.00,801.5,1.2841
320.8,4.10,802,1.3227
321,4.00,802.5,1.3129
321.2,3.80,803,1.3015
321.4,3.90,803.5,1.2847
321.6,3.90,804,1.2996
321.8,4.00,804.5,1.2797
322,3.70,805,1.2952
322.2,3.60,805.5,1.2974
322.4,3.60,806,1.2977
322.6,3.60,806.5,1.2892
322.8,3.60,807,1.274
323,3.40,807.5,1.2848
323.2,3.40,808,1.2789
323.4,3.40,808.5,1.2721
323.6,3.60,809,1.2543
323.8,3.70,809.5,1.2673
324,3.60,810,1.1035
324.2,3.60,810.5,
324.4,3.60,811,1.0957
324.6,3.50,811.5,1.2739
324.8,3.50,812,1.2488
325,3.60,812.5,1.2111
325.2,3.60,813,1.219
325.4,3.70,813.5,1.218
325.6,3.90,814,1.0692
325.8,3.90,814.5,1.0286
326,3.90,815,1.1862
326.2,4.00,815.5,1.2455
326.4,3.90,816,1.238
326.6,3.80,816.5,1.2605
326.8,3.60,817,1.2322
327,3.50,817.5,1.2413
327.2,3.40,818,1.2363
327.4,3.40,818.5,1.1623
327.6,3.40,819,1.1664
327.8,3.50,819.5,1.1559
328,3.60,820,1.1943
328.2,3.40,820.5,1.1694
328.4,3.50,821,1.1573
328.6,3.50,821.5,1.2165
328.8,3.30,822,1.2354
329,3.10,822.5,1.1134
329.2,3.00,823,1.039
329.4,2.90,823.5,1.1075
329.6,3.00,824,1.0882
329.8,3.30,824.5,1.169
330,3.50,825,1.2643
330.2,3.70,825.5,1.2981
330.4,3.90,826,1.2676
330.6,4.10,826.5,1.2676
330.8,4.00,827,1.2945
331,4.00,827.5,1.2897
331.2,3.90,828,1.2943
331.4,3.80,828.5,1.2812
331.6,3.70,829,1.272
331.8,3.60,829.5,1.264
332,3.50,830,1.2524
332.2,3.60,830.5,1.2429
332.4,3.60,831,1.1837
332.6,3.60,831.5,1.1754
332.8,3.80,832,1.2411
333,4.00,832.5,1.2447
333.2,4.20,833,1.2952
333.4,4.10,833.5,1.2865
333.6,4.70,834,1.2748
333.8,4.20,834.5,1.2594
334,4.20,835,1.2692
334.2,4.20,835.5,1.3554
334.4,4.40,836,1.3507
334.6,4.40,836.5,1.3366
334.8,4.40,837,1.3462
335,4.20,837.5,1.3208
335.2,3.90,838,1.2902
335.4,3.80,838.5,1.3638
335.6,3.60,839,1.4331
335.8,3.40,839.5,1.4192
336,3.60,840,1.3928
336.2,3.70,840.5,1.4129
336.4,3.70,841,1.4566
336.6,3.80,841.5,1.3929
336.8,4.00,842,1.4252
337,4.20,842.5,1.4475
337.2,4.40,843,1.4579
337.4,4.40,843.5,1.4704
337.6,4.20,844,1.5143
337.8,4.10,844.5,1.5161
338,4.00,845,1.4826
338.2,4.10,845.5,1.4741
338.4,4.40,846,1.4702
338.6,4.60,846.5,1.4398
338.8,4.80,847,1.4674
339,4.90,847.5,1.448
339.2,4.90,848,1.4201
339.4,4.70,848.5,1.407
339.6,4.40,849,1.4317
339.8,4.40,849.5,1.4739
340,4.60,850,1.4897
340.2,4.60,850.5,1.4814
340.4,4.70,851,1.4772
340.6,5.00,851.5,1.472
340.8,5.30,852,1.4437
341,5.40,852.5,1.4364
341.2,5.10,853,1.4484
341.4,4.80,853.5,1.4754
341.6,4.60,854,1.4488
341.8,4.40,854.5,1.432
342,4.40,855,1.4261
342.2,4.60,855.5,1.431
342.4,4.60,856,1.431
342.6,4.60,856.5,1.4481
342.8,4.60,857,1.4372
343,4.50,857.5,1.4188
343.2,4.50,858,1.396
343.4,4.60,858.5,1.426
343.6,4.40,859,1.4366
343.8,4.20,859.5,1.437
344,4.20,860,1.4347
344.2,4.30,860.5,1.3995
344.4,4.50,861,1.4435
344.6,4.80,861.5,1.4225
344.8,4.70,862,1.3958
345,4.80,862.5,1.3784
345.2,4.60,863,1.3767
345.4,4.40,863.5,1.4166
345.6,4.30,864,1.4215
345.8,4.30,864.5,1.3889
346,4.30,865,1.4337
346.2,4.20,865.5,1.4423
346.4,4.20,866,1.4143
346.6,4.10,866.5,1.3826
346.8,4.10,867,1.3834
347,3.80,867.5,1.3989
347.2,3.50,868,1.2705
347.4,3.70,868.5,1.3247
347.6,3.60,869,1.3929
347.8,3.60,869.5,1.38
348,3.40,870,1.3707
348.2,3.20,870.5,1.3902
348.4,3.10,871,1.3453
348.6,3.40,871.5,1.3494
348.8,3.60,872,1.3729
349,3.80,872.5,1.3744
349.2,4.00,873,1.4409
349.4,4.20,873.5,1.3932
349.6,4.30,874,1.3712
349.8,4.30,874.5,1.4025
350,4.40,875,1.4146
350.2,4.20,875.5,1.4047
350.4,4.00,876,1.3079
350.6,3.90,876.5,1.3428
350.8,3.90,877,1.3698
351,3.80,877.5,1.4235
351.2,4.00,878,1.4046
351.4,4.00,878.5,1.3802
351.6,4.00,879,1.3644
351.8,4.20,879.5,1.3913
352,4.30,880,1.4514
352.2,4.40,880.5,1.4787
352.4,4.50,881,1.468
352.6,4.40,881.5,1.4374
352.8,4.20,882,1.3028
353,4.20,882.5,1.2622
353.2,4.10,883,1.1417
353.4,4.20,883.5,1.1526
353.6,4.20,884,1.2574
353.8,4.00,884.5,1.264
354,4.00,885,1.2576
354.2,3.90,885.5,1.21
354.4,4.00,886,1.2683
354.6,4.20,886.5,1.2612
354.8,4.20,887,1.2489
355,4.20,887.5,1.2805
355.2,4.20,888,1.1915
355.4,4.10,888.5,1.1687
355.6,4.10,889,1.2597
355.8,4.20,889.5,1.261
356,4.30,890,1.2438
356.2,4.40,890.5,1.2709
356.4,4.50,891,1.2172
356.6,4.70,891.5,1.2544
356.8,4.90,892,1.2578
357,5.00,892.5,1.232
357.2,5.00,893,1.247
357.4,4.80,893.5,1.2591
357.6,4.60,894,1.2755
357.8,4.40,894.5,1.291
358,4.40,895,1.2837
358.2,4.40,895.5,1.2487
358.4,4.40,896,1.2478
358.6,4.20,896.5,1.2305
358.8,4.20,897,1.2562
359,4.10,897.5,1.2707
359.2,4.20,898,1.2136
359.4,4.20,898.5,1.2548
359.6,4.20,899,1.2421
359.8,4.20,899.5,1.2412
360,4.30,900,1.2644
360.2,4.20,900.5,1.2015
360.4,4.00,901,1.2212
360.6,3.60,901.5,1.2224
360.8,3.30,902,1.2474
361,3.00,902.5,1.3176
361.2,2.90,903,1.3148
361.4,3.10,903.5,1.3114
361.6,3.00,904,1.2457
361.8,3.20,904.5,1.218
362,3.50,905,1.2513
