Depth Magnetic Susceptibility  (cm),Magnetic Susceptibility (SI x 10^-5),Depth Density (cm),Density (g/cm^3)
41,5.20,102.5,1.2936
41.2,5.20,103,1.2763
41.4,5.30,103.5,1.2702
41.6,5.40,104,1.3088
41.8,5.40,104.5,1.2988
42,5.50,105,1.3003
42.2,5.30,105.5,1.304
42.4,5.30,106,1.3186
42.6,5.30,106.5,1.3016
42.8,5.40,107,1.2741
43,5.60,107.5,1.2996
43.2,5.80,108,1.2596
43.4,5.60,108.5,1.2835
43.6,5.40,109,1.2695
43.8,5.40,109.5,1.2803
44,5.60,110,1.2731
44.2,5.50,110.5,1.2705
44.4,5.60,111,1.2969
44.6,5.40,111.5,1.2904
44.8,5.30,112,1.2603
45,5.40,112.5,1.2328
45.2,5.30,113,1.2479
45.4,5.20,113.5,1.2409
45.6,5.20,114,1.2536
45.8,5.10,114.5,1.232
46,5.10,115,1.2192
46.2,5.20,115.5,1.1006
46.4,5.10,116,
46.6,5.00,116.5,
46.8,5.00,117,1.0019
47,5.20,117.5,1.236
47.2,5.20,118,1.2112
47.4,5.10,118.5,1.2325
47.6,5.10,119,1.2745
47.8,5.20,119.5,1.243
48,5.30,120,1.1915
48.2,5.30,120.5,1.2697
48.4,5.40,121,1.3044
48.6,5.20,121.5,1.3057
48.8,5.20,122,1.2606
49,5.20,122.5,1.2256
49.2,5.20,123,1.2529
49.4,5.10,123.5,1.2373
49.6,5.20,124,1.2769
49.8,5.30,124.5,1.2902
50,5.50,125,1.2813
50.2,5.50,125.5,1.2512
50.4,5.50,126,1.2531
50.6,5.40,126.5,1.2792
50.8,5.50,127,1.286
51,5.30,127.5,1.2545
51.2,5.10,128,1.2393
51.4,5.30,128.5,1.2494
51.6,5.20,129,1.2603
51.8,5.40,129.5,1.2342
52,5.40,130,1.1944
52.2,5.40,130.5,
52.4,5.40,131,
52.6,5.40,131.5,
52.8,5.60,132,1.2238
53,5.80,132.5,1.2497
53.2,5.80,133,1.259
53.4,5.70,133.5,1.2509
53.6,5.40,134,1.2279
53.8,5.50,134.5,1.259
54,5.50,135,1.2692
54.2,5.50,135.5,1.2613
54.4,5.40,136,1.2828
54.6,5.20,136.5,1.2997
54.8,5.20,137,1.2987
55,5.30,137.5,1.3003
55.2,5.40,138,1.2851
55.4,5.20,138.5,1.2933
55.6,5.30,139,1.308
55.8,5.30,139.5,1.2625
56,5.20,140,1.2612
56.2,5.40,140.5,1.3098
56.4,5.70,141,1.3099
56.6,5.90,141.5,1.2549
56.8,6.00,142,1.0823
57,5.70,142.5,1.134
57.2,5.40,143,1.2624
57.4,4.90,143.5,1.2852
57.6,4.80,144,1.2432
57.8,4.90,144.5,1.2128
58,5.00,145,1.1539
58.2,5.10,145.5,1.21
58.4,5.20,146,1.3033
58.6,5.40,146.5,1.2717
58.8,5.50,147,1.2759
59,5.60,147.5,1.266
59.2,5.50,148,1.1903
59.4,5.50,148.5,1.2057
59.6,5.30,149,1.2678
59.8,5.00,149.5,1.2943
60,5.10,150,
60.2,5.10,150.5,
60.4,5.30,151,1.1035
60.6,5.40,151.5,1.2486
60.8,5.40,152,1.2269
61,5.30,152.5,1.2968
61.2,5.40,153,1.2413
61.4,5.10,153.5,1.1243
61.6,4.80,154,1.2453
61.8,5.00,154.5,1.2484
62,5.00,155,1.2185
62.2,5.20,155.5,1.2209
62.4,5.20,156,1.1202
62.6,5.20,156.5,
62.8,5.20,157,
63,5.20,157.5,1.1892
63.2,5.20,158,1.2301
63.4,5.20,158.5,1.2668
63.6,5.30,159,1.2972
63.8,5.20,159.5,1.2719
64,5.30,160,1.2287
64.2,5.10,160.5,1.2008
64.4,5.20,161,1.1561
64.6,4.90,161.5,1.1798
64.8,4.60,162,1.2476
65,4.60,162.5,1.1866
65.2,5.00,163,1.073
65.4,5.00,163.5,1.1525
65.6,5.10,164,1.1671
65.8,5.40,164.5,1.053
66,5.60,165,1.1285
66.2,5.60,165.5,1.1779
66.4,5.40,166,1.1725
66.6,5.50,166.5,1.1721
66.8,5.40,167,
67,5.20,167.5,
67.2,5.10,168,
67.4,5.00,168.5,1.2621
67.6,4.90,169,1.266
67.8,5.10,169.5,1.1617
68,5.10,170,1.1203
68.2,5.20,170.5,1.2337
68.4,5.20,171,1.3054
68.6,5.30,171.5,1.2649
68.8,5.40,172,1.249
69,5.20,172.5,1.2397
69.2,5.20,173,1.3018
69.4,5.30,173.5,1.2816
69.6,5.30,174,1.2962
69.8,5.20,174.5,1.2546
70,5.20,175,1.1945
70.2,5.10,175.5,1.2344
70.4,5.40,176,1.2971
70.6,5.50,176.5,1.2776
70.8,5.30,177,1.2683
71,5.40,177.5,1.2946
71.2,5.30,178,1.2548
71.4,5.30,178.5,1.15
71.6,5.30,179,1.2008
71.8,5.20,179.5,1.2694
72,5.20,180,1.2379
72.2,5.20,180.5,1.27
72.4,5.10,181,1.2447
72.6,5.20,181.5,1.1071
72.8,5.20,182,1.1038
73,5.40,182.5,1.2003
73.2,5.30,183,1.1948
73.4,5.30,183.5,1.2295
73.6,5.30,184,1.1223
73.8,5.20,184.5,1.1513
74,5.10,185,1.0306
74.2,5.10,185.5,1.042
74.4,5.10,186,1.1397
74.6,5.10,186.5,1.1789
74.8,5.00,187,1.2446
75,4.80,187.5,1.1841
75.2,4.80,188,
75.4,4.80,188.5,1.1278
75.6,5.00,189,1.2351
75.8,5.20,189.5,1.2458
76,5.10,190,1.2532
76.2,5.00,190.5,1.2101
76.4,5.00,191,1.173
76.6,5.00,191.5,1.1505
76.8,4.90,192,1.1543
77,5.00,192.5,1.1468
77.2,5.20,193,1.1517
77.4,5.20,193.5,1.1264
77.6,5.20,194,1.1047
77.8,5.20,194.5,
78,5.10,195,
78.2,5.00,195.5,1.0172
78.4,5.00,196,1.167
78.6,5.00,196.5,1.1794
78.8,4.90,197,
79,5.00,197.5,
79.2,5.00,198,
79.4,5.00,198.5,1.0302
79.6,5.00,199,1.0301
79.8,4.60,199.5,1.1461
80,3.00,200,1.2274
80.2,4.60,200.5,1.2043
80.4,4.80,201,1.2224
80.6,4.90,201.5,1.2077
80.8,4.90,202,1.1776
81,5.00,202.5,1.1874
81.2,5.10,203,1.2388
81.4,5.20,203.5,1.2451
81.6,5.10,204,1.2613
81.8,5.20,204.5,1.2788
82,5.20,205,1.275
82.2,5.00,205.5,1.2678
82.4,4.90,206,1.255
82.6,4.80,206.5,1.2274
82.8,4.80,207,1.2059
83,4.60,207.5,1.1732
83.2,4.60,208,1.1905
83.4,4.70,208.5,1.2579
83.6,5.00,209,1.2514
83.8,5.20,209.5,1.2385
84,5.00,210,1.2421
84.2,5.00,210.5,1.2025
84.4,4.80,211,1.2184
84.6,4.80,211.5,1.2331
84.8,4.80,212,1.2319
85,4.80,212.5,1.3486
85.2,4.80,213,1.3746
85.4,4.90,213.5,1.3178
85.6,5.00,214,1.2713
85.8,5.20,214.5,1.2451
86,4.90,215,1.2218
86.2,4.80,215.5,1.1968
86.4,4.80,216,1.2005
86.6,4.80,216.5,1.2033
86.8,4.70,217,1.2286
87,4.70,217.5,1.1987
87.2,4.80,218,1.2137
87.4,4.80,218.5,1.2305
87.6,4.90,219,1.1026
87.8,4.90,219.5,
88,5.10,220,
88.2,5.10,220.5,
88.4,5.20,221,1.1016
88.6,5.20,221.5,1.1904
88.8,5.20,222,1.251
89,5.30,222.5,1.2343
89.2,5.30,223,1.2266
89.4,5.40,223.5,1.1995
89.6,5.30,224,1.1841
89.8,5.10,224.5,1.2024
90,4.90,225,1.2119
90.2,5.00,225.5,1.2365
90.4,5.10,226,1.2926
90.6,5.20,226.5,1.2578
90.8,5.00,227,1.2617
91,5.00,227.5,1.2613
91.2,5.00,228,1.2129
91.4,4.90,228.5,1.2279
91.6,5.00,229,1.1918
91.8,1.70,229.5,1.1987
92,1.50,230,1.1994
92.2,1.50,230.5,1.207
92.4,0.70,231,1.2327
92.6,0.40,231.5,1.199
92.8,0.40,232,1.2101
93,0.30,232.5,1.2145
93.2,0.30,233,1.2278
93.4,0.30,233.5,1.2628
93.6,0.50,234,1.278
93.8,0.60,234.5,1.2476
94,0.70,235,1.1915
94.2,0.80,235.5,1.2664
94.4,1.10,236,1.1054
