# These data are freely available under the Creative Commons Attribution 4.0 International Licence (CC BY 4.0)					
# when using the data please cite as: 					
# Spooner, Cameron; Scheck-Wenderoth, Magdalena; Götze, Hans-Jürgen; Ebbing, Jörg; Hetényi, György (2019): 3D Gravity Constrained Model of Density Distribution Across the Alpine Lithosphere. GFZ Data Services. http://doi.org/10.5880/GFZ.4.5.2019.004
X COORD (UTM Zone 32N)	Y COORD (UTM Zone 32N)	TOP (m.a.s.l)	THICKNESS (m)	DENSITY (Kg/m3)
346635	5238615	-20604.16107	4924.939453	2800
346635	5258615	-19498.34394	5982.560547	2800
346635	5278615	-18418.78044	6619.287109	2800
346635	5298615	-17985.76288	6611.564453	2800
346635	5318615	-17908.72998	6625.708984	2800
346635	5338615	-17995.34659	7024.998047	2800
346635	5358615	-17905.97596	7994.275391	2800
346635	5378615	-17668.03252	8945.345703	2800
346635	5398615	-19540.87941	7542.619141	2920
346635	5418615	-20661.24507	6807.134766	2920
346635	5438615	-17356.56726	10487.35742	2920
346635	5458615	-13122.12389	15207.05176	2920
346635	5478615	-13340.47082	15646.66016	2920
346635	5498615	-15074.41395	14585.83984	2920
366635	4898615	-19228.22779	11694.28516	2750
366635	4918615	-22940.02802	10727.58984	2750
366635	4938615	-22925.41504	10131.01953	3100
366635	4958615	-22157.10724	10149.43359	3100
366635	4978615	-22187.74987	10592.54883	3100
366635	4998615	-23208.72809	11136.88281	3100
366635	5018615	-25712.82093	11559.0332	3100
366635	5038615	-25818.43994	14432.3418	3100
366635	5058615	-24049.271	18136.10156	3100
366635	5078615	-19919.86133	23335.59375	3100
366635	5098615	-15245.75659	27133.39063	2800
366635	5118615	-15533.33716	23262.36133	2800
366635	5138615	-17031.58533	17363.4375	2800
366635	5158615	-18723.37415	12358.39648	2800
366635	5178615	-21909.02887	6599.849609	2800
366635	5198615	-23939.36719	2691.96875	2800
366635	5218615	-21860.72986	3604.681641	2800
366635	5238615	-20308.35505	4802.117188	2800
366635	5258615	-18841.62036	5915.642578	2800
366635	5278615	-17519.78696	6681.554688	2800
366635	5298615	-17095.26806	6540.869141	2800
366635	5318615	-17236.3338	6144.777344	2800
366635	5338615	-17497.50589	6288.388672	2800
366635	5358615	-17599.04867	6952.693359	2800
366635	5378615	-17582.81345	7782.537109	2800
366635	5398615	-17701.02266	8328.933594	2920
366635	5418615	-18137.89914	8533.574219	2920
366635	5438615	-15474.31891	11906.61914	2920
366635	5458615	-12235.97205	15995.5	2920
366635	5478615	-13244.94592	15623.87598	2920
366635	5498615	-15556.25833	13529.55469	2920
386635	4898615	-25760.70026	6935.867188	2750
386635	4918615	-17613.91772	13555.60156	2750
386635	4938615	-15316.74014	10392.4375	2750
386635	4958615	-14889.65286	8462.681641	2750
386635	4978615	-15422.74325	8382.1875	3100
386635	4998615	-17439.79888	8414.103516	3100
386635	5018615	-20786.71954	9198.287109	3100
386635	5038615	-22224.81464	12871.72266	3100
386635	5058615	-22595.27502	16567.37109	3100
386635	5078615	-21961.52149	20862.87109	3100
386635	5098615	-16382.69482	27502.98828	2800
386635	5118615	-15511.86804	25683.08203	2800
386635	5138615	-17925.26306	19306.74023	2800
386635	5158615	-19579.5525	14516.5293	2800
386635	5178615	-21986.13775	9808.833984	2800
386635	5198615	-24062.28314	5288.283203	2800
386635	5218615	-21924.25027	4969.603516	2800
386635	5238615	-20279.73218	5221.916016	2800
386635	5258615	-18482.82105	6307.875	2800
386635	5278615	-16856.71283	7366.269531	2800
386635	5298615	-16361.1118	7385.966797	2800
386635	5318615	-16905.37189	6543.851563	2800
386635	5338615	-17977.88919	5656.550781	2800
386635	5358615	-18421.8797	5698.376953	2800
386635	5378615	-18333.19655	6507.753906	2800
386635	5398615	-17505.07546	8089.375	2920
386635	5418615	-16401.55932	9932.097656	2920
386635	5438615	-15210.96034	11981.53906	2920
386635	5458615	-13962.38254	14202.49414	2920
386635	5478615	-14053.85441	14774.32129	2920
386635	5498615	-15187.20517	13739.14648	2920
406635	4898615	-20526.66272	13077.39258	2750
406635	4918615	-19788.55404	11285.79492	2750
406635	4938615	-11193.17389	12170.51953	2750
406635	4958615	-11413.53562	9459.865234	2750
406635	4978615	-10218.00412	10780.30078	2750
406635	4998615	-10597.26022	10692.99512	3100
406635	5018615	-12895.31244	10301.81348	3100
406635	5038615	-15594.87183	11245.32031	3100
406635	5058615	-18785.33521	12451.77734	3100
406635	5078615	-22479.90393	14931.5625	3100
406635	5098615	-17597.89721	24416.80859	2800
406635	5118615	-16117.93115	25932.80859	2800
406635	5138615	-17415.71326	22651.4668	2800
406635	5158615	-18424.01099	19478.86328	2800
406635	5178615	-21807.68018	13679.7793	2800
406635	5198615	-24324.4867	8123.677734	2800
406635	5218615	-22310.44398	7052.056641	2950
406635	5238615	-20510.30112	6465.832031	2800
406635	5258615	-18494.02777	7285.175781	2800
406635	5278615	-16453.47501	8690.080078	2800
406635	5298615	-15551.94605	9213.855469	2800
406635	5318615	-15775.29155	8767.703125	2800
406635	5338615	-16474.27554	8023.867188	2800
406635	5358615	-16950.61383	7669.572266	2800
406635	5378615	-17091.55137	8034.640625	2800
406635	5398615	-17257.77008	8581.958984	2800
406635	5418615	-17054.39948	9460.933594	2920
406635	5438615	-16464.99918	10796.21875	2920
406635	5458615	-15883.18294	12185.30469	2920
406635	5478615	-15157.99625	13566.21289	2920
406635	5498615	-14793.97948	14153.03809	2920
426635	4898615	-17524.92606	16198.88672	2750
426635	4918615	-15934.98081	18407.89063	2750
426635	4938615	-17699.20996	11899.52148	2750
426635	4958615	-15863.90969	11598.17676	2750
426635	4978615	-17836.7769	9209.173828	2750
426635	4998615	-14702.17612	10177.59961	2750
426635	5018615	-10235.74381	11430.16602	3100
