# These data are freely available under the Creative Commons Attribution 4.0 International Licence (CC BY 4.0)					
# when using the data please cite as: 					
# Spooner, Cameron; Scheck-Wenderoth, Magdalena; Götze, Hans-Jürgen; Ebbing, Jörg; Hetényi, György (2019): 3D Gravity Constrained Model of Density Distribution Across the Alpine Lithosphere. GFZ Data Services. http://doi.org/10.5880/GFZ.4.5.2019.004
X COORD (UTM Zone 32N)	Y COORD (UTM Zone 32N)	TOP (m.a.s.l)	THICKNESS (m)	DENSITY (Kg/m3)
366635	5298615	292.650147	1544.848755	2450
366635	5318615	499.223175	41.279388	2450
366635	5338615	642.052246	183.85611	2450
366635	5358615	616.654785	46.426514	2450
366635	5378615	596.251587	140.046387	2450
366635	5398615	318.558777	84.001114	2450
366635	5418615	281.739075	58.938507	2450
366635	5438615	285.325317	79.095886	2450
366635	5458615	279.133606	45.900818	2450
366635	5478615	338.97345	70.128845	2450
366635	5498615	456.73053	73.479828	2450
386635	4898615	1386.034545	362.882751	2450
386635	4918615	431.667664	10.100006	2450
386635	4938615	372.683777	189.81369	2450
386635	4958615	236.021271	140.127258	2450
386635	4978615	234.815521	334.866882	2450
386635	4998615	333.570313	144.009659	2450
386635	5018615	550.603332	212.927734	2450
386635	5038615	1792.820922	830.583313	2450
386635	5058615	1974.312744	22.325073	2450
386635	5078615	2100.009033	10.099854	2450
386635	5098615	2996.413818	743.448486	2450
386635	5118615	1616.614746	10.099976	2450
386635	5138615	2184.684814	437.994751	2450
386635	5158615	1530.962768	99.166138	2450
386635	5178615	912.530639	10.100037	2450
386635	5198615	625.412353	484.995056	2450
386635	5218615	463.957001	2325.002686	2450
386635	5238615	835.063842	102.955444	2450
386635	5258615	433.916992	158.119751	2450
386635	5278615	257.136536	593.222412	2450
386635	5298615	190.803604	964.74646	2450
386635	5318615	164.635925	2542.894775	2450
386635	5338615	141.18808	897.69812	2450
386635	5358615	227.840454	651.102966	2450
386635	5378615	230.81311	10.099991	2450
386635	5398615	214.745468	124.001961	2450
386635	5418615	258.901123	105.222885	2450
386635	5438615	321.655335	79.77095	2450
386635	5458615	299.721771	129.678528	2450
386635	5478615	276.547943	63.693604	2450
386635	5498615	361.279175	17.558075	2450
406635	4898615	1469.479614	408.096191	2450
406635	4918615	377.080841	10.100006	2450
406635	4938615	290.250366	10.100006	2450
406635	4958615	303.247131	367.09549	2450
406635	4978615	260.430695	3645.710938	2450
406635	4998615	287.617096	492.934937	2450
406635	5018615	233.613953	667.37854	2450
406635	5038615	693.797241	444.893188	2450
406635	5058615	1470.897583	10.099976	2450
406635	5078615	2721.230468	450.197754	2450
406635	5098615	2953.77417	382.703125	2450
406635	5118615	1921.756225	10.099976	2450
406635	5138615	2383.081543	451.026245	2450
406635	5158615	1694.931152	73.293213	2450
406635	5178615	1140.229126	88.425903	2450
406635	5198615	867.325439	932.414673	2450
406635	5218615	668.298217	3532.700684	2450
406635	5238615	541.872131	57.138824	2450
406635	5258615	460.030792	10.100006	2450
406635	5278615	437.955719	373.461426	2450
406635	5298615	644.277099	30.470337	2450
406635	5318615	194.080216	846.31488	2450
406635	5338615	182.047409	207.389603	2450
406635	5358615	135.694031	1492.021973	2450
406635	5378615	129.413345	1835.12146	2450
406635	5398615	147.546326	2700.393311	2450
406635	5418615	204.359451	10.099991	2450
406635	5438615	312.574646	148.312592	2450
406635	5458615	380.011475	125.606522	2450
406635	5478615	291.593506	15.08902	2450
406635	5498615	314.175354	106.202194	2450
426635	4898615	923.816833	91.27063	2450
426635	4918615	560.623535	22.552917	2450
426635	4938615	500.846832	115.560577	2450
426635	4958615	185.679733	930.929749	2450
426635	4978615	199.861282	1564.435059	2450
426635	4998615	251.440094	5724.744629	2450
426635	5018615	206.517914	7307.28125	2450
426635	5038615	302.704163	4313.710938	2450
426635	5058615	1259.078247	10.099976	2450
426635	5078615	1447.941284	10.099976	2450
426635	5098615	2174.220215	205.078247	2450
426635	5118615	2124.290527	162.463501	2450
426635	5138615	2052.434814	10.099854	2450
426635	5158615	2697.832763	475.398193	2450
426635	5178615	1247.727539	10.099976	2450
426635	5198615	1209.065795	1037.530884	2450
426635	5218615	625.424255	3837.689209	2450
426635	5238615	524.717773	443.898468	2450
426635	5258615	503.471283	10.100006	2450
426635	5278615	742.143737	221.123047	2450
426635	5298615	1063.203979	54.143982	2450
426635	5318615	658.091003	10.100037	2450
426635	5338615	475.212951	10.100006	2450
426635	5358615	311.212433	10.100006	2450
426635	5378615	160.766693	442.661499	2450
426635	5398615	101.582421	1698.653931	2450
426635	5418615	137.49321	1247.643188	2450
426635	5438615	212.487351	773.601624	2450
426635	5458615	380.958466	113.953491	2450
426635	5478615	350.106842	137.499191	2450
426635	5498615	294.142243	216.716415	2450
