Time,FSE  P2,FSE  P4,FSE  P5,FSE  P6,FSE  P7,FSE  P8,FSE  P9,FSE  P10,FSE  P11
632.00,-19.90,-3.40,0.40,-0.30,-3.10,-0.20,-1.20,2.30,1.10
634.00,-19.50,-3.20,0.10,-0.10,-3.40,-0.30,-1.30,2.00,1.10
636.00,-19.30,-3.20,-0.40,0.10,-3.40,-0.40,-1.70,1.90,1.10
638.00,-19.10,-3.20,-0.80,0.30,-3.20,-0.50,-1.90,2.10,1.10
640.00,-19.00,-3.20,-1.10,0.50,-3.20,-0.50,-2.10,2.30,1.20
642.00,-18.90,-3.20,-1.30,0.70,-3.30,-0.50,-2.10,2.40,1.30
644.00,-18.70,-3.20,-1.40,0.90,-3.40,-0.50,-2.20,2.30,1.50
646.00,-18.40,-3.20,-1.50,0.90,-3.20,-0.50,-2.30,2.20,1.80
648.00,-18.00,-3.20,-1.50,0.80,-2.80,-0.50,-2.30,2.20,2.00
650.00,-17.70,-3.20,-1.40,0.50,-2.70,-0.80,-2.50,2.20,2.20
652.00,-17.50,-3.40,-1.50,0.20,-2.70,-1.10,-2.60,2.20,2.10
654.00,-17.40,-3.60,-1.70,0.10,-2.70,-1.30,-2.70,2.20,2.00
656.00,-17.20,-4.00,-1.90,0.30,-2.50,-1.40,-2.70,2.20,1.90
658.00,-17.00,-4.40,-1.90,0.60,-2.20,-1.40,-2.70,2.30,2.00
660.00,-16.70,-5.00,-1.90,1.00,-1.90,-1.20,-2.70,2.20,2.10
