C:\ICPCHEM\1\DATA\WOLFGANG\2011\4JAN11\486_487.D,,,,,,,,,,,,,,,
Intensity Vs Time,CPS,,Acquired      : Jan 4 2011  05:45 pm using AcqMethod Teeth10s.M,,,,,,,,,,,,
Time [Sec],Li7,Na23,Mg25,Al27,Ca43,Mn55,Zn66,Rb85,Sr88,Y89,Ba138,Ce140,Nd146,Pb208,U238
0.483,350,485326.13,0,3250.33,1900.12,176096.54,150,50,0,0,0,50,0,0,25
0.956,650.01,469561.34,50,3800.46,2350.18,169877.57,150,250,0,75,0,0,25,50,25
1.429,350,478214.56,150,3150.31,2400.18,178928.75,275,0,0,0,50,0,0,100,0
1.902,400.01,471981.7,0,3650.42,2150.15,173770.46,150,50,0,0,25,0,25,0,0
2.375,300,486717.88,50,4050.52,2050.13,172152.53,250,0,0,25,0,0,0,0,0
2.848,250,472908.7,150,3650.42,2550.21,174326.64,275,100,0,50,25,0,0,75,25
3.321,500.01,491151.67,150,2500.2,1550.08,171394.16,150,50,0,25,0,0,0,100,50
3.794,700.02,482388.39,100,3700.43,2150.15,173517.63,250,50,0,0,0,0,0,25,0
4.266,450.01,487542.69,50,2900.27,2400.18,169877.57,375,0,0,0,0,0,0,25,0
4.741,750.02,481873.11,0,3350.36,1550.08,176956.27,150,0,0,0,0,0,50,75,25
5.214,300,479245.03,50,3100.3,1850.11,169928.1,125,150,0,0,50,0,25,25,25
5.687,250,479038.88,50,3650.42,2450.19,171950.3,250,50,0,0,0,25,0,25,0
6.16,550.01,472290.64,50,4550.66,2850.26,173214.3,75,50,0,0,0,0,0,50,0
6.633,350,483006.85,50,4000.51,1900.12,173821.05,175,0,100,0,25,0,0,50,25
7.106,450.01,476359.97,100,3250.33,2250.16,173315.37,175,0,50,0,0,0,25,100,0
7.579,800.02,490275.21,50,3450.38,2100.14,171646.94,225,50,0,0,50,0,0,25,0
8.052,50,480481.65,200,3350.36,1500.07,165379.22,225,100,0,0,25,0,50,50,0
8.525,400.01,481615.34,0,4100.53,2900.27,177816.03,200,100,0,0,0,0,25,100,0
8.998,300,488367.49,100,3650.42,2150.15,170787.49,275,0,0,0,0,0,0,0,0
9.471,350,484089.12,300,3150.31,1600.08,167198.62,375,0,50,0,0,0,25,50,0
9.944,650.01,477802.4,50,3300.34,2050.13,173214.3,250,100,0,50,0,0,0,50,50
10.417,250,485068.37,100,3600.41,2400.18,164671.73,200,150,0,0,0,0,0,25,0
10.89,200,487027.21,150,3700.43,1600.08,168563.29,225,0,0,0,25,0,0,50,0
11.363,350,473423.84,200,2950.28,2250.16,166187.81,350,50,0,0,25,0,0,75,0
11.836,150,477544.83,0,3750.45,1700.09,167653.49,325,50,50,25,0,25,0,75,50
12.309,650.01,469406.8,0,3800.46,2000.13,166238.37,75,100,0,0,0,25,25,50,50
12.782,450.01,479245.03,0,4150.55,2550.21,171242.5,325,0,0,0,25,25,0,75,50
13.255,450.01,486253.97,0,3600.41,1600.08,171697.48,175,0,0,0,0,25,25,50,50
13.729,350,479914.85,250,3250.33,2050.13,169675.37,50,150,0,0,0,25,50,75,0
14.202,600.01,487078.72,250,3400.37,2000.13,174781.74,175,0,0,0,0,0,25,100,0
14.675,150,473217.74,150,3850.47,2200.16,179788.64,300,200,0,0,50,25,0,0,0
15.148,200,477235.7,100,3300.34,1800.1,172910.9,425.01,50,0,25,75,0,25,50,25
15.621,500.01,487027.21,100,3950.49,1700.09,170130.33,150,100,0,0,0,0,25,0,0
16.094,250,479554.21,100,2950.28,1600.08,170383.11,350,50,0,0,0,0,0,50,75
16.567,250,479451.13,50,3950.49,2050.13,167350.25,225,0,0,0,0,0,25,25,0
17.04,200,482749.08,50,3700.43,2000.13,165682.44,225,0,0,25,25,0,25,25,50
17.513,450.01,476875.06,0,3800.46,2350.18,167299.71,150,0,0,25,0,0,0,50,25
17.986,400.01,470333.65,0,3650.42,1750.1,173062.58,150,150,0,0,0,0,0,0,0
18.459,150,467398.69,100,3500.39,1900.12,173062.58,225,0,0,0,0,0,0,0,50
18.932,150,475896.25,50,3150.31,1700.09,172961.47,275,100,0,25,0,0,0,75,25
19.405,550.01,471260.66,100,4100.53,2300.17,176197.68,225,50,0,0,0,25,0,0,0
19.878,200,472651.18,0,3450.38,2700.23,174326.64,50,50,0,0,0,0,0,50,0
20.351,350,471312.07,150,2750.24,2300.17,178473.53,375,100,0,0,25,0,50,75,0
20.824,450.01,473681.31,0,3000.29,2450.19,178524.1,250,50,100,25,75,0,25,25,25
21.297,400.01,474144.88,100,3650.42,1900.12,172203.08,250,0,200,0,0,0,25,25,0
21.77,150,472445.13,200,3550.4,2100.14,170281.97,425.01,50,0,50,0,0,0,25,0
22.243,600.01,465751.18,50,3550.4,2750.24,173113.14,100,100,50,0,0,0,0,75,25
22.717,400.01,473887.32,0,4100.53,1800.1,169321.52,325,50,50,25,50,25,0,25,25
23.19,500.01,472754.16,0,3850.47,2300.17,170787.49,225,0,0,0,25,25,0,50,0
23.663,200,471775.69,50,3800.46,2450.19,171242.5,100,50,50,0,0,0,25,50,25
24.136,300,477390.25,200,4200.56,1650.09,169422.62,150,0,0,25,25,0,25,50,0
24.609,250,457824.96,0,3650.42,1200.05,171697.48,275,0,0,0,25,0,75,75,50
25.082,450.01,464103.87,0,4050.52,1950.12,171697.48,100,0,50,0,25,0,25,25,25
25.555,200,471930.19,0,3300.34,1800.1,177411.43,175,50,0,0,0,0,0,50,0
26.028,450.01,469046.35,100,3550.4,2000.13,169675.37,125,50,0,0,0,0,0,25,25
26.501,450.01,480121.01,0,3900.48,1700.09,168007.32,175,100,50,0,0,0,0,50,25
26.974,600.01,479348.06,50,3750.45,2000.13,170433.63,200,0,50,0,25,50,25,0,50
27.447,300,462817,50,5000.79,2150.15,171040.29,50,0,0,0,0,0,0,0,0
27.92,400.01,471981.7,0,2850.26,1900.12,166187.81,325,150,0,0,25,0,25,25,25
28.393,100,461787.61,50,3500.39,2350.18,173264.84,125,150,0,0,0,0,0,0,25
28.866,300,457361.92,0,3550.4,1900.12,173416.51,250,50,0,0,0,25,0,50,0
29.339,300,460603.82,100,4150.55,1450.07,167350.25,225,0,0,0,0,0,0,50,0
29.812,650.01,458648.3,0,3850.47,2350.18,172607.54,350,50,0,0,0,0,0,25,50
30.285,650.01,469870.23,200,3400.37,1900.12,171242.5,275,50,50,0,0,0,0,25,0
30.758,500.01,450982.72,100,3550.4,2250.16,174427.79,325,50,0,25,0,25,0,75,0
31.231,200,476617.49,100,3700.43,1850.11,164065.34,75,50,0,25,25,0,0,0,0
31.705,450.01,468582.92,50,3650.42,1700.09,169119.33,325,50,0,0,0,0,0,100,0
32.178,450.01,458956.99,0,3650.42,1900.12,167097.53,100,50,0,0,25,0,25,125,0
32.651,400.01,474762.95,0,3300.34,2550.21,171141.4,275,50,0,25,0,0,25,25,25
33.124,550.01,466729.36,0,4450.63,2800.25,175995.39,225,150,0,0,0,0,25,50,0
33.597,400.01,462611.09,100,3200.32,2000.13,176652.84,250,50,0,50,25,0,25,75,0
34.07,400.01,457413.39,0,3400.37,2050.13,173113.14,225,0,0,25,0,50,0,75,25
34.543,250,469612.71,0,4100.53,2300.17,165682.44,225,100,0,0,25,0,0,100,25
35.016,200,468376.96,100,4650.69,2150.15,169422.62,325,50,0,0,25,0,0,75,0
35.489,550.01,467501.67,100,3900.48,1600.08,172961.47,175,0,0,25,0,0,0,50,0
35.962,200,458596.79,150,2950.28,2200.16,171444.71,300,0,50,0,0,0,0,75,0
36.435,250,471621.1,50,4950.78,2000.13,181002.67,225,50,0,0,50,25,0,25,25
36.908,550.01,469612.71,350,3450.38,2150.15,179131.06,325,0,0,0,0,0,0,0,25
37.381,450.01,471930.19,0,3700.43,1650.09,176045.95,175,50,0,0,0,0,0,100,0
37.854,250,472908.7,100,3350.36,1750.1,173365.97,225,50,0,25,0,0,25,50,25
38.327,50,472290.64,0,3750.45,1750.1,170838.07,400.01,50,50,0,0,0,0,50,0
38.8,450.01,467295.71,0,3450.38,2100.14,175540.26,275,0,50,25,0,25,0,75,25
39.273,700.02,472651.18,50,2800.25,2000.13,173113.14,350,100,0,0,0,25,25,100,75
39.746,450.01,470282.24,100,3400.37,2200.16,172809.78,300,200,0,0,0,0,25,0,25
40.219,350,472908.7,200,3350.36,2000.13,172455.86,250,150,50,0,0,0,0,75,0
40.692,200,464206.85,100,3550.4,2000.13,170079.76,225,0,0,50,0,0,0,100,0
41.166,500.01,464824.52,100,4100.53,2300.17,175742.56,150,150,0,0,0,0,50,50,0
41.639,600.01,451136.97,100,3250.33,1500.07,170433.63,225,50,0,25,0,50,25,25,0
42.112,450.01,460706.75,50,3300.34,2350.18,171394.16,225,0,0,0,0,25,0,25,25
42.585,500.01,473475.25,50,3250.33,2100.14,172203.08,250,50,0,0,25,0,0,0,0
43.058,500.01,464567.1,150,3350.36,1750.1,177462,50,0,0,0,0,0,25,50,50
43.531,300,464361.19,100,3250.33,1800.1,172203.08,250,0,0,25,25,25,25,75,25
44.004,500.01,463692.1,0,3750.45,2650.22,174478.35,200,0,0,0,25,0,0,0,0
44.477,100,465442.3,150,2750.24,1950.12,166137.28,250,50,0,25,50,25,50,50,25
44.95,400.01,468376.96,0,3100.3,2200.16,166137.28,275,0,0,50,0,0,0,50,0
45.423,300,479296.59,50,3350.36,3100.31,174073.83,275,50,50,0,0,0,0,50,0
45.896,300,475484.14,50,3650.42,2450.19,170838.07,175,0,50,0,0,0,0,0,0
46.369,500.01,476617.49,50,3050.29,2350.18,175691.97,275,50,0,0,50,0,0,0,25
46.842,300,480481.65,0,3400.37,2100.14,172658.11,300,0,0,0,0,0,25,50,0
47.315,300,466677.84,50,3450.38,1450.07,166288.91,225,0,0,0,0,25,0,0,50
47.788,350,477390.25,100,4150.55,1450.07,169018.23,300,150,0,0,0,0,0,0,25
48.261,300,474196.4,0,3900.48,2200.16,176147.09,300,100,0,0,25,0,25,100,50
48.734,450.01,468634.48,0,3250.33,1600.08,175691.97,175,50,0,0,0,0,0,25,25
49.207,300,474196.4,200,3700.43,1400.06,166642.64,175,100,0,50,0,0,50,75,0
49.68,400.01,472187.71,100,3200.32,2100.14,171343.6,175,100,0,25,0,0,25,100,25
50.154,200,475535.7,0,3300.34,1700.09,174427.79,250,50,0,50,25,50,0,50,0
50.627,100,475638.68,0,3600.41,2300.17,169372.07,325,0,0,0,25,25,50,50,0
51.1,300,474865.98,50,4000.51,2400.18,166288.91,175,0,0,0,25,0,0,25,0
51.573,500.01,478266.08,150,3500.39,2250.16,174832.3,175,0,0,0,25,0,0,25,0
52.046,450.01,466163,100,3600.41,2050.13,175894.25,275,50,0,0,0,0,0,0,0
52.519,350,470900.11,200,4200.56,1850.11,171545.82,225,0,0,0,25,25,0,50,25
52.992,250,467604.65,0,3650.42,2100.14,176096.54,200,100,0,25,0,0,0,25,25
53.465,500.01,464052.35,100,4500.64,1850.11,168765.52,350,0,0,0,25,0,25,25,0
53.938,450.01,466986.83,100,3300.34,1700.09,173719.88,300,50,0,0,0,0,25,50,25
54.411,400.01,483367.59,50,3650.42,2050.13,169018.23,125,100,0,0,25,0,0,0,0
54.884,450.01,478369.15,100,3900.48,1450.07,172101.97,325,50,0,0,0,0,25,50,25
55.357,400.01,479811.83,100,3550.4,1350.06,173062.58,200,100,0,0,0,0,25,25,0
55.83,300,469612.71,100,3700.43,1650.09,177462,175,50,0,0,0,50,25,75,50
56.303,400.01,464155.28,0,3450.38,1900.12,172405.3,150,50,0,0,0,0,25,25,0
56.776,200,470797.18,100,3300.34,2800.25,167148.1,100,50,0,0,25,0,25,75,0
57.249,450.01,473114.71,100,3350.36,2250.16,167956.77,225,150,0,0,0,25,0,25,0
57.722,50,473011.73,100,4450.63,1950.12,170079.76,325,0,50,0,0,0,0,75,0
58.195,350,475329.6,50,3100.3,1650.09,172405.3,500.01,100,100,0,0,0,25,50,0
58.668,450.01,473990.39,50,2750.24,2000.13,172607.54,150,50,50,0,0,0,25,50,25
59.142,650.01,471415.15,50,3100.3,2050.13,170534.75,250,50,0,0,25,0,0,50,0
59.615,350,473475.25,0,3850.47,2050.13,171545.82,150,0,0,0,0,0,25,50,0
60.088,500.01,469509.78,50,3200.32,1750.1,174225.52,75,100,0,0,0,0,25,25,25
60.561,300,485016.91,150,4250.57,2300.17,174276.09,175,50,0,0,0,0,0,0,25
61.034,250,467913.58,0,3550.4,2250.16,172708.65,275,50,0,0,0,0,50,25,0
61.507,0,477184.19,50,3350.36,1250.05,172203.08,250,0,0,0,0,25,0,75,25
61.98,200,469458.26,150,4150.55,2100.14,169321.52,350,100,0,25,0,0,0,25,25
62.453,300,473423.84,100,3200.32,1700.09,170130.33,300,50,0,0,0,25,0,0,0
62.926,150,474093.37,50,3750.45,1650.09,173669.34,275,0,0,0,0,0,0,50,25
63.399,400.01,465905.58,0,2950.28,2100.14,172910.9,300,0,0,0,0,25,25,125,50
63.872,200,475432.73,200,3550.4,1400.06,170029.24,50,100,0,0,0,0,0,0,50
64.345,400.01,480893.91,50,3450.38,2300.17,167451.35,125,50,100,0,0,25,0,25,25
64.818,100,484965.34,50,3800.46,2450.19,168563.29,225,50,0,0,0,25,0,50,25
65.291,450.01,478008.51,50,3100.3,1550.08,169574.28,225,0,0,0,25,0,0,50,25
65.764,50,470745.66,0,3300.34,1850.11,178119.52,175,50,0,0,0,0,0,50,0
66.237,400.01,468582.92,150,3200.32,2450.19,179232.22,350,100,0,50,50,0,0,25,0
66.71,400.01,464309.78,0,3550.4,2200.16,178878.2,300,0,0,0,0,0,50,0,0
67.183,250,463125.84,50,3300.34,1700.09,173669.34,275,50,100,25,0,0,0,50,0
67.656,250,448514.12,0,3000.29,1950.12,168462.22,300,50,0,0,0,0,0,100,0
68.129,250,465545.27,200,3000.29,1850.11,170433.63,225,50,0,0,0,0,0,0,0
68.603,450.01,481306.11,0,3800.46,1900.12,166541.61,300,150,0,0,75,25,0,50,0
69.076,200,481976.13,50,3400.37,1650.09,174073.83,250,50,50,25,25,0,0,25,0
69.549,450.01,465699.72,50,3550.4,1250.05,171293.07,225,150,0,0,25,0,0,100,75
70.022,200,477699.38,50,3500.39,2250.16,169675.37,150,50,0,0,0,25,25,25,0
70.495,300,487284.92,50,3900.48,2400.18,170332.55,225,50,0,0,0,25,0,50,0
70.968,300,487233.36,200,4300.59,2150.15,169776.47,300,200,0,0,0,50,0,50,0
71.441,200,487852.01,0,3250.33,2150.15,173416.51,300,50,0,0,0,0,25,0,25
71.914,600.01,463331.7,50,3300.34,2150.15,179990.97,275,100,50,0,0,0,0,50,25
72.387,150,457104.6,0,3450.38,2250.16,176652.84,350,50,50,50,0,50,0,25,25
72.86,550.01,473681.31,50,4150.55,1600.08,178068.91,175,0,0,0,0,0,0,25,50
73.333,400.01,494452.11,100,3500.39,1900.12,167148.1,325,50,0,25,0,0,0,50,0
73.806,350,484449.96,50,3650.42,2100.14,167350.25,250,250,0,25,0,0,0,0,50
74.279,600.01,501312.8,150,3500.39,1800.1,165732.97,225,0,0,0,0,25,25,100,0
74.752,350,494658.36,0,3150.31,1900.12,169119.33,250,100,0,0,25,0,0,75,0
75.225,200,490842.3,50,3750.45,2100.14,167451.35,125,0,0,25,0,25,25,0,0
75.698,350,501003.28,150,3000.29,2250.16,172708.65,250,100,0,0,0,0,0,0,25
76.171,400.01,497959.43,50,3300.34,1450.07,165328.7,300,0,0,0,0,0,25,50,0
76.644,250,493987.95,150,3050.29,2500.2,165278.17,125,50,0,0,25,0,0,0,0
77.117,350,486357.04,100,3150.31,1500.07,164570.66,125,100,0,0,0,0,25,0,0
77.591,400.01,477905.38,100,3200.32,2350.18,162044.19,225,0,0,0,25,0,25,25,0
78.064,350,489965.83,250,3250.33,1800.1,162044.19,125,150,0,0,0,0,25,0,25
78.537,250,482594.44,100,3800.46,2450.19,170686.42,300,0,100,0,50,25,25,50,25
79.01,100,483006.85,300,3750.45,2450.19,162094.73,175,0,0,0,25,25,0,25,0
79.483,550.01,480223.99,0,3600.41,2000.13,164520.12,325,50,0,0,50,0,0,50,25
79.956,350,484243.71,50,3150.31,1900.12,171849.15,175,0,0,0,0,0,0,100,50
80.429,550.01,478266.08,0,4100.53,1850.11,165834.04,125,100,0,25,0,25,0,75,0
80.902,700.02,482955.28,100,3450.38,1550.08,166642.64,275,200,0,50,0,25,0,50,75
81.375,100,496050.94,50,3950.49,2100.14,161488.47,300,100,0,0,0,25,0,0,25
81.848,350,485583.9,0,3300.34,2300.17,163307.38,150,0,0,50,0,25,25,25,0
82.321,150,486924.08,250,3950.49,1600.08,165581.39,125,50,0,25,0,25,0,25,25
82.794,450.01,487594.3,50,2550.21,1650.09,166996.44,200,150,0,0,25,0,25,50,25
83.267,450.01,488212.85,50,3750.45,1650.09,168917.14,225,50,0,25,0,0,50,0,0
83.74,400.01,476411.44,0,3050.29,1300.05,165631.93,150,0,0,0,25,0,25,50,50
84.213,400.01,473732.77,100,3300.34,1900.12,165126.54,200,100,0,0,25,0,0,0,0
84.686,450.01,485532.34,50,3250.33,1600.08,171899.74,100,100,50,0,0,0,25,50,0
85.159,450.01,472033.16,0,3450.38,2100.14,164570.66,275,100,100,0,100,0,0,0,25
85.632,650.01,476875.06,150,3450.38,2050.13,167855.68,200,0,0,0,0,25,0,75,0
86.105,200,477750.89,100,4450.63,1700.09,168816.06,200,50,0,25,0,0,0,50,0
86.579,150,481563.83,0,3650.42,2550.21,169220.44,250,0,0,0,0,50,0,75,50
87.052,350,470282.24,0,2950.28,2100.14,164419.07,200,200,0,25,25,0,0,0,0
87.525,400.01,485377.7,50,3300.34,2200.16,168816.06,350,100,0,0,25,0,0,75,0
87.998,300,474762.95,100,3200.32,2400.18,169675.37,150,50,0,0,0,0,0,25,0
88.471,300,467089.76,100,3300.34,2200.16,167451.35,375,50,0,0,0,25,0,0,0
88.944,400.01,474196.4,0,3100.3,2650.22,165530.84,250,0,0,0,0,25,0,150,0
89.417,250,477596.3,0,3600.41,2150.15,166945.9,100,0,50,25,0,0,25,50,25
89.89,250,477956.94,50,3600.41,1750.1,172405.3,125,50,0,50,25,0,25,100,0
90.363,250,477184.19,50,3800.46,1850.11,167754.59,350,100,0,0,25,0,0,0,25
90.836,250,482852.21,150,3350.36,1500.07,170332.55,200,0,0,0,0,0,0,75,0
91.309,550.01,471621.1,100,3900.48,2500.2,166743.77,250,0,0,25,50,25,0,25,25
91.782,300,474659.92,200,3000.29,2050.13,168816.06,250,0,0,25,75,0,50,25,50
92.255,300,466832.33,150,4050.52,1850.11,168057.87,250,100,0,0,0,0,0,100,0
92.728,250,474350.94,50,3600.41,1650.09,167097.53,125,100,0,0,25,0,25,25,25
93.201,300,479605.67,50,4000.51,2250.16,166592.14,175,50,0,0,0,25,0,25,25
93.674,600.01,490584.48,0,4100.53,1850.11,171748.04,175,0,50,0,25,0,25,0,0
94.147,350,490790.73,50,2100.14,2100.14,172708.65,275,0,0,0,25,25,0,0,0
94.62,500.01,481100.06,50,3600.41,1700.09,168967.69,225,50,0,0,0,25,0,25,0
95.093,750.02,475020.57,150,2800.25,1800.1,174680.62,200,0,0,0,0,0,0,25,0
95.567,200,481254.7,0,2750.24,1550.08,167906.22,200,0,0,0,0,100,25,25,0
96.04,500.01,477699.38,0,2950.28,2000.13,166794.29,125,100,0,0,0,25,0,25,25
96.513,100,480842.44,0,2850.26,1800.1,169523.72,150,0,0,25,0,0,0,50,0
96.986,300,469664.27,0,3750.45,1650.09,165985.67,200,150,0,25,50,0,0,75,25
97.459,350,478781.31,0,3050.29,2100.14,167400.8,125,50,0,25,0,0,0,50,0
97.932,500.01,473063.24,0,3400.37,1700.09,169473.17,150,50,0,0,0,0,0,25,0
98.405,550.01,477956.94,150,3000.29,1850.11,166339.44,200,0,0,0,0,25,25,50,0
98.878,250,473526.82,0,2600.21,2400.18,172809.78,75,50,0,25,0,0,25,75,0
99.351,650.01,479142,100,3750.45,1700.09,166238.37,125,0,0,0,0,25,25,0,0
99.824,200,483058.31,0,3300.34,1800.1,166794.29,75,50,0,0,0,25,0,275,0
100.297,350,461375.84,50,3100.3,2050.13,169422.62,350,50,0,0,25,25,0,25,0
100.77,300,470488.19,50,3550.4,1450.07,162044.19,300,50,0,25,0,25,50,50,25
101.243,400.01,478626.72,0,3700.43,1650.09,169018.23,300,150,0,0,25,50,0,50,50
101.716,400.01,493111.24,0,2200.15,2400.18,169523.72,175,50,50,0,0,0,0,50,0
102.189,450.01,474917.49,0,2650.22,1800.1,173365.97,325,0,0,0,0,0,0,0,25
102.662,500.01,472393.66,50,4300.59,1600.08,169169.86,100,50,50,0,0,50,0,150,25
103.135,850.02,477441.76,100,3250.33,2350.18,166996.44,275,50,0,0,0,0,25,75,25
103.608,300,466471.93,100,2800.25,1800.1,168260.01,175,50,100,0,0,0,0,50,0
104.081,350,474762.95,50,3650.42,1850.11,169270.96,75,50,0,0,0,25,0,25,0
104.554,250,474711.53,200,3400.37,2750.24,166288.91,150,50,0,0,0,0,25,75,0
105.028,350,476411.44,50,4200.56,1950.12,173264.84,150,50,50,25,25,0,25,75,0
105.501,400.01,468325.45,0,3850.47,1700.09,167602.98,225,150,0,25,0,0,0,0,0
105.974,450.01,459008.41,0,3300.34,3000.29,170989.71,200,50,0,0,0,0,0,75,0
106.447,250,471363.63,50,2500.2,1650.09,165581.39,100,0,0,0,25,50,25,25,50
106.92,500.01,478729.8,50,3200.32,1250.05,164469.6,250,100,0,25,0,0,0,100,0
107.393,550.01,477905.38,50,3050.29,1350.06,165884.59,350,50,50,25,25,25,0,75,25
107.866,300,473784.34,0,3600.41,2600.22,168310.6,350,50,0,0,25,25,0,25,0
108.339,250,467707.68,100,3750.45,2000.13,162498.94,225,150,0,0,0,0,0,0,50
108.812,500.01,472342.1,50,3700.43,1750.1,166389.98,175,50,0,0,0,0,0,75,0
109.285,200,479090.49,50,3550.4,2350.18,172405.3,125,0,0,0,0,0,0,50,0
109.758,350,480378.62,50,3400.37,2250.16,175742.56,150,100,0,25,0,0,0,100,25
110.231,350,477854.01,0,3450.38,2050.13,170686.42,375,200,0,25,50,50,0,25,25
110.704,350,475020.57,50,3750.45,1750.1,164671.73,275,50,0,0,0,0,0,75,0
111.177,450.01,481718.47,0,3600.41,2250.16,168866.58,375,0,0,0,0,0,0,50,0
111.65,400.01,479502.7,0,2500.2,2000.13,165328.7,125,0,0,0,25,25,0,50,50
112.123,400.01,488470.62,0,4350.6,1700.09,167097.53,200,50,50,0,0,0,0,0,0
112.596,300,487439.56,150,3550.4,2000.13,158558.37,325,100,0,0,75,0,0,75,25
113.069,500.01,476050.79,150,3100.3,1650.09,166339.44,150,100,0,0,50,0,25,75,25
113.542,200,492904.89,100,3600.41,2150.15,167097.53,225,150,50,0,0,0,0,25,0
114.016,200,484759.14,50,3100.3,1400.06,173719.88,125,0,0,0,0,0,0,100,50
114.489,200,483212.9,50,2900.27,2350.18,170787.49,450.01,100,0,25,0,25,0,50,25
114.962,250,474608.41,50,3650.42,1850.11,169473.17,150,150,0,0,75,0,0,50,25
115.434,250,485429.26,100,4250.57,1750.1,167047,275,0,0,25,25,0,25,50,25
115.908,650.01,477802.4,0,3550.4,2450.19,174478.35,150,50,0,0,0,25,0,100,0
116.381,500.01,475741.71,50,3550.4,1900.12,171141.4,125,100,50,0,0,25,25,25,0
116.854,400.01,469715.73,0,3000.29,2300.17,168260.01,275,150,50,0,0,0,0,75,0
117.327,250,476617.49,100,3350.36,2650.22,176602.24,200,50,50,0,0,0,0,0,25
117.8,500.01,491151.67,0,3550.4,2500.2,170534.75,200,50,0,25,75,0,25,25,0
118.273,250,470333.65,50,3100.3,1350.06,171950.3,200,50,50,25,0,0,0,75,0
118.746,400.01,478317.59,150,3500.39,2150.15,160983.21,325,0,50,0,25,0,0,25,0
119.219,450.01,481409.19,0,3700.43,2100.14,166137.28,225,0,0,0,0,0,0,25,0
119.692,300,474247.91,50,3550.4,2350.18,165076.02,125,0,0,0,0,0,25,50,25
120.165,300,483058.31,50,3250.33,1350.06,166036.2,225,50,0,0,0,0,0,0,0
120.638,400.01,475484.14,150,4250.57,1800.1,167501.88,225,100,0,0,50,0,0,50,0
121.111,200,468119.54,100,3700.43,1300.05,166491.04,200,50,100,0,0,25,50,25,0
121.584,400.01,481048.55,0,3400.37,1500.07,160376.98,275,250,50,0,50,0,0,75,50
122.057,250,482182.19,0,4050.52,1700.09,166440.53,200,250,0,0,0,0,25,50,0
122.53,350,478832.87,50,2900.27,2350.18,170130.33,325,0,0,0,25,0,0,25,0
123.004,150,476359.97,100,3400.37,1800.1,167653.49,275,50,0,0,0,25,0,50,0
123.477,200,475844.74,50,3450.38,1850.11,166238.37,275,0,100,0,0,0,0,0,75
123.95,350,475638.68,50,3100.3,1550.08,169574.28,250,100,50,25,0,0,25,0,0
124.423,250,474299.42,0,2750.24,1750.1,160882.19,200,100,0,25,0,25,25,100,75
124.896,600.01,877392.01,0,49527.57,2650.22,167906.22,1125.04,1450.07,3750.47,4150.57,3575.44,8202.31,2000.14,8327.49,17536.23
125.369,9752.97,39705094.64,2400.18,3819109.46,72769.29,201098.55,18060.62,27224.45,100835.24,71996.18,56885.57,92769.09,22041.71,63770.45,143018.55
125.842,54643.04,229707055.1,14356.52,18381572.29,312242.98,292947.52,45717.98,92380.88,299181.96,205082.91,146127.38,230761.11,49158.04,135454.57,266520.64
126.314,99306.84,396054533.9,19962.6,30740131.94,513719.1,365978.13,54672.19,133990.05,452112.07,298138.65,214869.02,315347.52,68285.12,182207.47,364028.87
126.788,137336.15,533326161.9,28926.44,39951141.52,673215.35,427989.12,59389.67,173487.94,571348.35,366108.92,258314.31,402837.19,81930.39,216390.73,432994.25
127.261,163985.04,628889064.1,31832.02,46352035.41,769464.57,451338.88,64083.49,190844.79,632773.79,401593.76,290281.28,428400.25,90380.28,233361.06,468304.06
127.734,174293.01,668542714.9,35539.9,48906497.97,810726.97,482096.1,63179.76,203964.12,668148.26,420395.08,309009.7,455374.23,93726.38,243278.4,486031.41
128.207,177781.03,701413065.7,35038.79,51515151.15,855526.29,493600.55,67071.2,211668.75,712664.13,447662.07,319558.01,478032.19,97199.1,252209.94,499089.07
128.68,183545.49,713351365.9,40351.43,52268235.54,857848.65,502841.03,68854.08,211871.54,722358.37,453662.17,321678.86,471886.92,95588.46,253380.87,502303.58
129.153,189109.61,719096366.1,39148.41,52847269.93,866877.85,502686.14,69783.25,221305.03,725031.95,453353.04,323212.14,480692.44,101931.36,249384.82,505440.98
129.626,185467.44,730354616.3,39298.78,53084969.94,861808.12,504958.31,68703.41,226328.45,733107.83,451189.71,327403.99,479039.46,101427.86,253991.8,515065.1
130.099,186377.87,727667566.3,38246.2,53098138.69,858587.71,502273.01,70360.88,221558.67,716645.87,456315.29,321091.14,474391.17,96267.92,255213.82,510083.61
130.572,191133.43,725444016.2,39850.16,52682032.43,855315.16,495355.28,69557.24,217297.61,718899.14,454022.72,326355.89,481209.19,97274.59,262879.28,504300.06
131.045,187541.36,732539266.4,35439.68,53115838.69,867247.48,509038.83,73374.95,221305.03,728439.96,459535.75,332568.73,482836.63,100018.12,259822.76,519503.28
131.518,180258.46,737097216.5,38597.06,53330851.19,873164.08,511518.71,71114.34,217500.52,723930.97,453945.42,328503.25,484128.43,99816.76,258422.12,511640.1
131.992,178893.28,729301766.3,37143.58,53227588.69,853045.82,501446.84,72520.91,215218.24,724088.2,450623.11,319225.91,477025.01,93399.29,252133.57,511951.48
132.465,191791.22,721042016.1,41103.36,52602726.18,855367.99,499484.87,73827.11,214761.82,727601.09,448846.45,327710.7,471628.77,99741.24,255366.61,507775.01
132.938,184405.28,719401866.1,38396.57,52722813.68,847242.11,517254.75,73776.88,219580.16,700515.4,444263.88,324950.1,478006.36,98130.31,251828.13,498778.14
