/* DATA DESCRIPTION:
Citation:	Andersen, Katrine K; Bigler, Matthias; Buchardt, Susanne L; Clausen, Henrik Brink; Dahl-Jensen, Dorthe; Davies, Siwan M; Fischer, Hubertus; Goto-Azuma, Kumiko; Hansson, Margareta E; Heinemeier, Jan; Johnsen, Sigfus J; Larsen, L B; Muscheler, Raimund; Olsen, G J; Rasmussen, Sune Olander; Röthlisberger, Regine; Ruth, Urs; Seierstad, Inger K; Siggaard-Andersen, Marie-Louise; Steffensen, Jørgen Peder; Svensson, Anders M; Vinther, Bo M (2007): Greenland Ice Core Chronology 2005 (GICC05) and 20 year means of oxygen isotope data from ice core NGRIP. PANGAEA, https://doi.org/10.1594/PANGAEA.586838
Related to:	Andersen, Katrine K; Svensson, Anders M; Johnsen, Sigfus J; Rasmussen, Sune Olander; Bigler, Matthias; Röthlisberger, Regine; Ruth, Urs; Siggaard-Andersen, Marie-Louise; Steffensen, Jørgen Peder; Dahl-Jensen, Dorthe; Vinther, Bo M; Clausen, Henrik Brink (2006): The Greenland Ice Core Chronology 2005, 15-42 ka. Part 1: constructing the time scale. Quaternary Science Reviews, 25(23-24), 3246-3257, https://doi.org/10.1016/j.quascirev.2006.08.002
	Rasmussen, Sune Olander; Andersen, Katrine K; Svensson, Anders M; Steffensen, Jørgen Peder; Vinther, Bo M; Clausen, Henrik Brink; Siggaard-Andersen, Marie-Louise; Johnsen, Sigfus J; Larsen, L B; Dahl-Jensen, Dorthe; Bigler, Matthias; Röthlisberger, Regine; Fischer, Hubertus; Goto-Azuma, Kumiko; Hansson, Margareta E; Ruth, Urs (2006): A new Greenland ice core chronology for the last glacial termination. Journal of Geophysical Research: Atmospheres, 111, D06102, https://doi.org/10.1029/2005JD006079
	Rasmussen, Sune Olander; Seierstad, Inger K; Andersen, Katrine K; Bigler, Matthias; Dahl-Jensen, Dorthe; Johnsen, Sigfus J (2008): Synchronization of the NGRIP, GRIP, and GISP2 ice cores across MIS 2 and palaeoclimatic implications. Quaternary Science Reviews, 27(1-2), 18-28, https://doi.org/10.1016/j.quascirev.2007.01.016
	Svensson, Anders M; Andersen, Katrine K; Bigler, Matthias; Clausen, Henrik Brink; Dahl-Jensen, Dorthe; Davies, Siwan M; Johnsen, Sigfus J; Muscheler, Raimund; Rasmussen, Sune Olander; Röthlisberger, Regine; Steffensen, Jørgen Peder; Vinther, Bo M (2006): The Greenland Ice Core Chronology 2005, 15-42 ka. Part 2: comparison to other records. Quaternary Science Reviews, 25(23-24), 3258-3267, https://doi.org/10.1016/j.quascirev.2006.08.003
	Vinther, Bo M; Clausen, Henrik Brink; Johnsen, Sigfus J; Rasmussen, Sune Olander; Andersen, Katrine K; Buchardt, Susanne L; Dahl-Jensen, Dorthe; Seierstad, Inger K; Siggaard-Andersen, Marie-Louise; Steffensen, Jørgen Peder; Svensson, Anders M; Olsen, G J; Heinemeier, Jan (2006): A synchronized dating of three Greenland ice cores throughout the Holocene. Journal of Geophysical Research: Atmospheres, 111, D13102, https://doi.org/10.1029/2005JD006921
Project(s):	North Greenland Ice Core Project (NGRIP) (URI: http://www.gfy.ku.dk/~www-glac/ngrip/index_eng.htm)
Coverage:	LATITUDE: 75.100000 * LONGITUDE: -42.320000
	DATE/TIME START: 1996-07-01T00:00:00 * DATE/TIME END: 1996-07-01T00:00:00
	MINIMUM DEPTH, ice/snow: 7.35 m * MAXIMUM DEPTH, ice/snow: 2128.48 m
Event(s):	NGRIP * LATITUDE: 75.100000 * LONGITUDE: -42.320000 * DATE/TIME: 1996-07-01T00:00:00 * ELEVATION: 2925.0 m * CAMPAIGN: NGRIP * BASIS: Sampling/drilling ice * METHOD/DEVICE: Ice drill (ICEDRILL)
Comment:	The dating of the 0-7.85 kyr BP part is described in Vinther et al., 2006. The dating of the 7.85-14.65 kyr BP part is described in Rasmussen et al., 2006. The dating of the part below 14.65 kyr BP is described in Andersen et al., 2006, Svensson et al., 2006. The transferal of GICC05 to the GRIP ice core in the 14.65-32.35 kyr BP part is described in Rasmussen et al., 2007
Parameter(s):	AGE [ka BP] (Age) * GEOCODE
	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE
	Age, error [±] (Age e)
	δ18O, water [‰ SMOW] (δ18O H2O) * COMMENT: 20 yera means
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	4176 data points
*/
Age [ka BP]	Depth ice/snow [m]	Age e [±]	δ18O H2O [‰ SMOW]
2.59	485.80	0.002	-35.41
2.61	489.17	0.002	-35.14
2.63	492.12	0.002	-35.14
2.65	495.41	0.002	-35.43
2.67	498.71	0.002	-35.32
2.69	501.78	0.003	-35.12
2.71	505.33	0.003	-35.10
2.73	508.48	0.003	-34.83
2.75	511.93	0.003	-34.91
2.77	514.90	0.003	-34.99
2.79	517.85	0.003	-34.92
2.81	520.77	0.003	-34.63
2.83	524.12	0.003	-35.49
2.85	527.42	0.003	-35.20
2.87	530.64	0.003	-34.98
2.89	533.83	0.003	-34.81
2.91	537.17	0.003	-34.38
2.93	540.47	0.003	-34.81
2.95	543.62	0.003	-34.85
2.97	546.74	0.003	-34.79
2.99	549.87	0.003	-35.45
3.01	552.82	0.003	-35.14
3.03	555.91	0.003	-34.94
3.05	558.87	0.003	-35.14
3.07	562.10	0.003	-34.97
3.09	564.90	0.004	-34.87
3.11	567.71	0.004	-35.04
3.13	570.64	0.004	-35.26
3.15	573.67	0.004	-34.54
3.17	576.95	0.004	-35.25
3.19	579.97	0.004	-35.28
3.21	583.19	0.004	-34.76
3.23	586.34	0.004	-35.54
3.25	589.48	0.004	-35.25
3.27	592.26	0.004	-35.24
3.29	595.50	0.004	-34.89
3.31	598.44	0.004	-34.29
3.33	601.36	0.004	-34.98
3.35	604.69	0.004	-35.42
3.37	607.89	0.004	-34.66
3.39	610.92	0.004	-34.80
3.41	613.93	0.004	-34.67
3.43	616.92	0.004	-35.19
3.45	619.98	0.004	-35.28
3.47	622.86	0.004	-34.75
3.49	625.87	0.005	-35.10
3.51	628.99	0.005	-35.42
3.53	632.01	0.005	-34.77
3.55	634.92	0.005	-34.63
3.57	637.89	0.005	-35.09
3.59	640.99	0.005	-35.18
3.61	644.05	0.005	-34.93
3.63	647.02	0.005	-34.28
3.65	650.00	0.005	-34.71
3.67	653.05	0.005	-34.68
3.69	656.12	0.005	-34.41
3.71	659.08	0.005	-34.65
3.73	662.09	0.005	-35.36
3.75	664.95	0.005	-35.27
3.77	667.95	0.005	-34.78
3.79	670.98	0.005	-35.01
3.81	674.26	0.005	-35.17
3.83	677.07	0.005	-35.36
3.85	680.06	0.006	-34.90
3.87	682.84	0.006	-35.34
3.89	685.65	0.006	-35.16
3.91	688.47	0.006	-34.85
3.93	691.68	0.006	-35.12
3.95	694.49	0.006	-34.96
3.97	697.32	0.006	-35.14
3.99	700.63	0.006	-34.41
4.01	704.11	0.006	-35.20
4.03	706.92	0.006	-34.74
4.05	710.13	0.007	-35.53
4.07	713.11	0.007	-35.14
4.09	715.86	0.007	-34.87
4.11	718.63	0.007	-35.20
4.13	721.41	0.007	-34.72
4.15	724.12	0.007	-34.76
4.17	726.81	0.007	-34.50
4.19	729.63	0.007	-34.78
4.21	732.59	0.007	-35.01
4.23	735.13	0.007	-35.26
4.25	738.22	0.008	-34.92
4.27	740.98	0.008	-34.63
4.29	744.00	0.008	-34.79
4.31	746.65	0.008	-34.75
4.33	749.44	0.008	-35.00
4.35	752.45	0.008	-35.47
4.37	755.34	0.008	-35.20
4.39	758.01	0.008	-34.76
4.41	760.81	0.008	-34.06
4.43	763.36	0.008	-34.80
4.45	765.89	0.009	-35.15
4.47	768.33	0.009	-34.83
4.49	770.94	0.009	-35.27
4.51	773.61	0.009	-34.83
4.53	776.64	0.009	-34.21
4.55	779.48	0.009	-34.57
4.57	782.39	0.009	-34.51
4.59	784.91	0.009	-35.05
4.61	787.90	0.009	-34.69
4.63	790.63	0.009	-35.21
4.65	793.03	0.010	-35.02
4.67	795.69	0.010	-34.71
4.69	798.64	0.010	-34.79
4.71	800.95	0.010	-35.09
4.73	804.14	0.010	-34.54
4.75	807.06	0.010	-34.82
4.77	809.86	0.010	-34.66
4.79	812.37	0.010	-34.93
4.81	814.86	0.010	-34.42
4.83	817.78	0.010	-34.89
4.85	820.20	0.011	-34.79
4.87	822.79	0.011	-34.65
4.89	825.43	0.011	-34.55
4.91	827.85	0.011	-34.57
4.93	830.52	0.011	-34.08
4.95	833.42	0.011	-34.92
4.97	835.93	0.011	-34.79
4.99	838.83	0.011	-34.53
5.01	841.59	0.011	-34.80
5.03	844.20	0.011	-34.63
5.05	846.81	0.012	-34.84
5.07	850.05	0.012	-34.64
5.09	852.79	0.012	-35.11
5.11	855.68	0.012	-34.73
5.13	858.50	0.012	-35.05
5.15	861.14	0.012	-33.85
5.17	863.91	0.012	-34.63
5.19	866.83	0.012	-34.90
5.21	869.41	0.012	-34.74
5.23	872.14	0.012	-34.56
5.25	874.64	0.013	-35.27
5.27	877.24	0.013	-35.03
5.29	879.73	0.013	-34.77
5.31	882.13	0.013	-35.39
5.33	885.06	0.013	-34.96
5.35	887.67	0.013	-34.78
5.37	890.47	0.013	-35.10
5.39	893.00	0.013	-34.35
5.41	895.73	0.013	-34.81
5.43	898.46	0.013	-34.91
5.45	901.20	0.014	-34.47
5.47	903.83	0.014	-34.53
5.49	906.50	0.014	-34.70
5.51	909.22	0.014	-34.36
5.53	911.77	0.014	-34.22
5.55	914.42	0.014	-35.06
5.57	917.03	0.014	-34.78
5.59	919.58	0.014	-35.19
5.61	922.16	0.014	-33.88
5.63	924.65	0.014	-35.20
5.65	927.19	0.015	-35.18
5.67	929.55	0.015	-34.51
5.69	931.99	0.015	-35.25
5.71	934.79	0.015	-34.69
5.73	937.22	0.015	-34.71
5.75	939.77	0.015	-34.55
5.77	942.18	0.015	-34.50
5.79	944.93	0.015	-34.71
5.81	947.43	0.015	-35.02
5.83	950.12	0.015	-34.71
5.85	953.03	0.016	-33.95
5.87	955.55	0.016	-34.20
5.89	958.09	0.016	-34.61
5.91	960.18	0.016	-34.91
5.93	962.78	0.016	-34.73
5.95	965.21	0.016	-34.85
5.97	967.97	0.016	-35.03
5.99	970.27	0.016	-34.77
6.01	972.71	0.016	-34.78
6.03	975.29	0.016	-35.49
6.05	977.83	0.017	-34.27
6.07	980.04	0.017	-35.17
6.09	982.61	0.017	-34.71
6.11	985.21	0.017	-34.39
6.13	987.78	0.017	-34.42
6.15	989.94	0.017	-34.89
6.17	992.39	0.017	-34.89
6.19	994.99	0.017	-34.58
6.21	997.45	0.017	-34.60
6.23	1000.34	0.017	-35.13
6.25	1002.84	0.018	-34.38
6.27	1005.35	0.018	-35.20
6.29	1007.78	0.018	-34.55
6.31	1010.77	0.018	-34.60
6.33	1013.29	0.018	-34.86
6.35	1015.62	0.018	-34.99
6.37	1018.21	0.018	-34.23
6.39	1020.62	0.018	-34.62
6.41	1022.89	0.018	-34.07
6.43	1025.55	0.018	-34.97
6.45	1027.60	0.019	-34.32
6.47	1029.94	0.019	-34.50
6.49	1032.45	0.019	-34.53
6.51	1034.79	0.019	-35.01
6.53	1037.43	0.019	-34.97
6.55	1039.75	0.019	-34.98
6.57	1042.22	0.019	-34.45
6.59	1044.88	0.019	-34.37
6.61	1047.34	0.019	-34.61
6.63	1049.75	0.019	-34.57
6.65	1052.32	0.020	-34.74
6.67	1054.83	0.020	-34.37
6.69	1057.53	0.020	-34.49
6.71	1060.01	0.020	-34.52
6.73	1062.56	0.020	-34.58
6.75	1064.83	0.020	-35.12
6.77	1067.20	0.020	-34.69
6.79	1069.60	0.020	-34.32
6.81	1072.08	0.020	-34.36
6.83	1074.49	0.020	-34.72
6.85	1077.09	0.021	-34.56
6.87	1079.59	0.021	-34.97
6.89	1082.24	0.021	-34.32
6.91	1084.41	0.022	-34.26
6.93	1086.53	0.022	-35.11
6.95	1088.77	0.023	-34.73
6.97	1091.33	0.023	-34.47
6.99	1093.71	0.023	-34.82
7.01	1095.88	0.024	-34.90
7.03	1098.20	0.024	-34.77
7.05	1100.75	0.025	-34.40
7.07	1103.61	0.025	-34.95
7.09	1106.00	0.025	-34.97
7.11	1108.25	0.026	-34.36
7.13	1110.46	0.026	-35.28
7.15	1112.82	0.027	-34.74
7.17	1115.24	0.027	-34.68
7.19	1117.64	0.027	-34.93
7.21	1119.92	0.028	-34.87
7.23	1122.07	0.028	-34.12
7.25	1124.25	0.029	-34.84
7.27	1126.65	0.029	-34.99
7.29	1129.13	0.029	-34.73
7.31	1131.51	0.030	-34.64
7.33	1134.16	0.030	-34.74
7.35	1136.34	0.031	-34.31
7.37	1138.52	0.031	-34.55
7.39	1141.01	0.031	-34.62
7.41	1143.07	0.032	-34.50
7.43	1145.40	0.032	-34.44
7.45	1147.83	0.033	-33.88
7.47	1150.16	0.033	-34.77
7.49	1152.66	0.033	-34.78
7.51	1155.07	0.034	-35.04
7.53	1157.29	0.034	-34.34
7.55	1159.81	0.035	-34.52
7.57	1162.23	0.035	-34.08
7.59	1164.07	0.035	-34.01
7.61	1166.38	0.036	-34.88
7.63	1168.31	0.036	-33.90
7.65	1170.54	0.037	-34.01
7.67	1173.11	0.037	-34.65
7.69	1175.36	0.037	-34.26
7.71	1177.35	0.038	-34.09
7.73	1179.41	0.038	-34.75
7.75	1182.27	0.039	-34.35
7.77	1184.71	0.039	-34.13
7.79	1186.97	0.039	-33.76
7.81	1189.47	0.040	-34.35
7.83	1191.64	0.040	-34.40
7.85	1194.10	0.041	-34.62
7.87	1196.22	0.041	-34.98
7.89	1198.38	0.041	-34.51
7.91	1200.51	0.042	-34.78
7.93	1202.58	0.042	-34.83
7.95	1204.84	0.043	-33.60
7.97	1207.12	0.043	-34.04
7.99	1209.33	0.043	-34.40
8.01	1211.48	0.044	-34.43
8.03	1213.51	0.044	-35.05
8.05	1215.53	0.045	-34.51
8.07	1217.62	0.045	-34.50
8.09	1219.47	0.045	-33.96
8.11	1221.56	0.046	-35.44
8.13	1223.46	0.046	-35.68
8.15	1225.46	0.047	-35.54
8.17	1227.26	0.047	-36.06
8.19	1228.99	0.047	-35.88
8.21	1230.56	0.048	-36.03
8.23	1232.53	0.048	-35.21
