/* DATA DESCRIPTION:
Citation:	Andersen, Katrine K; Bigler, Matthias; Buchardt, Susanne L; Clausen, Henrik Brink; Dahl-Jensen, Dorthe; Davies, Siwan M; Fischer, Hubertus; Goto-Azuma, Kumiko; Hansson, Margareta E; Heinemeier, Jan; Johnsen, Sigfus J; Larsen, L B; Muscheler, Raimund; Olsen, G J; Rasmussen, Sune Olander; Röthlisberger, Regine; Ruth, Urs; Seierstad, Inger K; Siggaard-Andersen, Marie-Louise; Steffensen, Jørgen Peder; Svensson, Anders M; Vinther, Bo M (2007): Greenland Ice Core Chronology 2005 (GICC05) and 20 year means of oxygen isotope data from ice core NGRIP. PANGAEA, https://doi.org/10.1594/PANGAEA.586838
Related to:	Andersen, Katrine K; Svensson, Anders M; Johnsen, Sigfus J; Rasmussen, Sune Olander; Bigler, Matthias; Röthlisberger, Regine; Ruth, Urs; Siggaard-Andersen, Marie-Louise; Steffensen, Jørgen Peder; Dahl-Jensen, Dorthe; Vinther, Bo M; Clausen, Henrik Brink (2006): The Greenland Ice Core Chronology 2005, 15-42 ka. Part 1: constructing the time scale. Quaternary Science Reviews, 25(23-24), 3246-3257, https://doi.org/10.1016/j.quascirev.2006.08.002
	Rasmussen, Sune Olander; Andersen, Katrine K; Svensson, Anders M; Steffensen, Jørgen Peder; Vinther, Bo M; Clausen, Henrik Brink; Siggaard-Andersen, Marie-Louise; Johnsen, Sigfus J; Larsen, L B; Dahl-Jensen, Dorthe; Bigler, Matthias; Röthlisberger, Regine; Fischer, Hubertus; Goto-Azuma, Kumiko; Hansson, Margareta E; Ruth, Urs (2006): A new Greenland ice core chronology for the last glacial termination. Journal of Geophysical Research: Atmospheres, 111, D06102, https://doi.org/10.1029/2005JD006079
	Rasmussen, Sune Olander; Seierstad, Inger K; Andersen, Katrine K; Bigler, Matthias; Dahl-Jensen, Dorthe; Johnsen, Sigfus J (2008): Synchronization of the NGRIP, GRIP, and GISP2 ice cores across MIS 2 and palaeoclimatic implications. Quaternary Science Reviews, 27(1-2), 18-28, https://doi.org/10.1016/j.quascirev.2007.01.016
	Svensson, Anders M; Andersen, Katrine K; Bigler, Matthias; Clausen, Henrik Brink; Dahl-Jensen, Dorthe; Davies, Siwan M; Johnsen, Sigfus J; Muscheler, Raimund; Rasmussen, Sune Olander; Röthlisberger, Regine; Steffensen, Jørgen Peder; Vinther, Bo M (2006): The Greenland Ice Core Chronology 2005, 15-42 ka. Part 2: comparison to other records. Quaternary Science Reviews, 25(23-24), 3258-3267, https://doi.org/10.1016/j.quascirev.2006.08.003
	Vinther, Bo M; Clausen, Henrik Brink; Johnsen, Sigfus J; Rasmussen, Sune Olander; Andersen, Katrine K; Buchardt, Susanne L; Dahl-Jensen, Dorthe; Seierstad, Inger K; Siggaard-Andersen, Marie-Louise; Steffensen, Jørgen Peder; Svensson, Anders M; Olsen, G J; Heinemeier, Jan (2006): A synchronized dating of three Greenland ice cores throughout the Holocene. Journal of Geophysical Research: Atmospheres, 111, D13102, https://doi.org/10.1029/2005JD006921
Project(s):	North Greenland Ice Core Project (NGRIP) (URI: http://www.gfy.ku.dk/~www-glac/ngrip/index_eng.htm)
Coverage:	LATITUDE: 75.100000 * LONGITUDE: -42.320000
	DATE/TIME START: 1996-07-01T00:00:00 * DATE/TIME END: 1996-07-01T00:00:00
	MINIMUM DEPTH, ice/snow: 7.35 m * MAXIMUM DEPTH, ice/snow: 2128.48 m
Event(s):	NGRIP * LATITUDE: 75.100000 * LONGITUDE: -42.320000 * DATE/TIME: 1996-07-01T00:00:00 * ELEVATION: 2925.0 m * CAMPAIGN: NGRIP * BASIS: Sampling/drilling ice * METHOD/DEVICE: Ice drill (ICEDRILL)
Comment:	The dating of the 0-7.85 kyr BP part is described in Vinther et al., 2006. The dating of the 7.85-14.65 kyr BP part is described in Rasmussen et al., 2006. The dating of the part below 14.65 kyr BP is described in Andersen et al., 2006, Svensson et al., 2006. The transferal of GICC05 to the GRIP ice core in the 14.65-32.35 kyr BP part is described in Rasmussen et al., 2007
Parameter(s):	AGE [ka BP] (Age) * GEOCODE
	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE
	Age, error [±] (Age e)
	δ18O, water [‰ SMOW] (δ18O H2O) * COMMENT: 20 yera means
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	4176 data points
*/
Age [ka BP]	Depth ice/snow [m]	Age e [±]	δ18O H2O [‰ SMOW]
8.25	1234.78	0.049	-35.68
8.27	1237.16	0.049	-34.50
8.29	1239.20	0.049	-34.70
8.31	1241.04	0.050	-34.87
8.33	1242.94	0.050	-34.95
8.35	1244.84	0.051	-34.41
8.37	1246.74	0.051	-35.36
8.39	1248.70	0.051	-34.79
8.41	1250.75	0.052	-34.46
8.43	1252.59	0.052	-35.07
8.45	1254.39	0.053	-34.70
8.47	1256.50	0.053	-34.43
8.49	1258.40	0.053	-34.83
8.51	1260.45	0.054	-34.99
8.53	1262.41	0.054	-34.59
8.55	1264.20	0.055	-34.35
8.57	1266.07	0.055	-34.83
8.59	1267.97	0.055	-34.18
8.61	1269.66	0.056	-35.02
8.63	1271.79	0.056	-35.46
8.65	1273.68	0.057	-35.21
8.67	1275.67	0.057	-34.01
8.69	1277.56	0.058	-34.92
8.71	1279.40	0.058	-34.49
8.73	1281.18	0.058	-35.34
8.75	1283.04	0.059	-34.22
8.77	1285.07	0.059	-35.57
8.79	1286.76	0.060	-35.22
8.81	1288.68	0.060	-34.08
8.83	1290.44	0.060	-35.15
8.85	1292.17	0.061	-34.57
8.87	1294.04	0.061	-34.17
8.89	1295.85	0.062	-34.30
8.91	1297.54	0.062	-34.71
8.93	1299.74	0.062	-34.57
8.95	1301.54	0.063	-34.47
8.97	1303.40	0.063	-34.68
8.99	1305.08	0.064	-35.57
9.01	1306.82	0.064	-35.18
9.03	1308.46	0.064	-34.92
9.05	1310.23	0.065	-34.73
9.07	1312.12	0.065	-34.61
9.09	1313.93	0.066	-34.98
9.11	1315.62	0.066	-34.47
9.13	1317.55	0.066	-34.34
9.15	1319.24	0.067	-34.70
9.17	1321.01	0.067	-34.83
9.19	1322.88	0.068	-34.92
9.21	1324.40	0.068	-35.62
9.23	1326.11	0.068	-35.66
9.25	1327.73	0.069	-36.05
9.27	1329.25	0.069	-35.19
9.29	1330.87	0.070	-35.04
9.31	1332.57	0.070	-34.91
9.33	1334.36	0.070	-34.56
9.35	1336.18	0.071	-34.87
9.37	1337.81	0.071	-34.80
9.39	1339.56	0.072	-34.83
9.41	1341.22	0.072	-35.12
9.43	1342.94	0.072	-35.12
9.45	1344.72	0.073	-34.92
9.47	1346.41	0.073	-34.66
9.49	1347.87	0.074	-35.01
9.51	1349.52	0.074	-34.56
9.53	1351.16	0.074	-34.98
9.55	1352.67	0.075	-35.13
9.57	1354.48	0.075	-34.95
9.59	1356.13	0.076	-34.77
9.61	1357.78	0.076	-34.96
9.63	1359.35	0.077	-34.85
9.65	1360.87	0.077	-34.84
9.67	1362.51	0.077	-34.62
9.69	1364.19	0.078	-34.68
9.71	1365.83	0.078	-34.87
9.73	1367.39	0.079	-34.66
9.75	1369.07	0.079	-34.49
9.77	1370.71	0.079	-35.12
9.79	1371.87	0.080	-35.37
9.81	1373.44	0.080	-35.22
9.83	1375.15	0.081	-34.54
9.85	1376.70	0.081	-35.06
9.87	1378.20	0.081	-35.26
9.89	1379.72	0.082	-34.85
9.91	1381.21	0.082	-35.46
9.93	1382.79	0.083	-34.65
9.95	1384.34	0.083	-35.10
9.97	1385.88	0.083	-34.94
9.99	1387.37	0.084	-35.11
10.01	1388.82	0.084	-35.79
10.03	1390.23	0.085	-35.21
10.05	1391.72	0.085	-35.32
10.07	1393.18	0.085	-35.29
10.09	1394.61	0.086	-35.45
10.11	1396.05	0.086	-34.99
10.13	1397.61	0.087	-35.02
10.15	1399.13	0.087	-34.89
10.17	1400.55	0.087	-35.93
10.19	1402.07	0.088	-35.54
10.21	1403.52	0.088	-36.33
10.23	1405.04	0.089	-36.39
10.25	1406.44	0.089	-36.01
10.27	1407.91	0.089	-36.01
10.29	1409.42	0.089	-35.20
10.31	1410.77	0.089	-36.12
10.33	1412.14	0.089	-36.18
10.35	1413.48	0.089	-36.36
10.37	1414.80	0.090	-35.96
10.39	1416.18	0.090	-36.12
10.41	1417.50	0.090	-36.04
10.43	1418.84	0.090	-35.53
10.45	1420.22	0.090	-36.34
10.47	1421.55	0.090	-35.46
10.49	1422.87	0.090	-35.73
10.51	1424.23	0.091	-35.86
10.53	1425.59	0.091	-35.99
10.55	1426.93	0.091	-35.89
10.57	1428.22	0.091	-36.12
10.59	1429.54	0.091	-36.13
10.61	1430.85	0.091	-36.16
10.63	1432.22	0.091	-35.50
10.65	1433.50	0.092	-35.77
10.67	1434.84	0.092	-36.05
10.69	1436.11	0.092	-36.45
10.71	1437.43	0.092	-35.88
10.73	1438.71	0.092	-36.22
10.75	1439.92	0.092	-36.83
10.77	1441.16	0.092	-35.84
10.79	1442.44	0.093	-36.59
10.81	1443.80	0.093	-36.09
10.83	1445.12	0.093	-37.23
10.85	1446.33	0.093	-37.60
10.87	1447.53	0.093	-37.25
10.89	1448.64	0.093	-37.15
10.91	1449.92	0.093	-37.00
10.93	1451.03	0.094	-38.01
10.95	1452.29	0.094	-36.53
10.97	1453.54	0.094	-37.05
10.99	1454.75	0.094	-36.44
11.01	1455.98	0.094	-36.64
11.03	1457.18	0.094	-36.89
11.05	1458.38	0.094	-37.11
11.07	1459.59	0.095	-36.71
11.09	1460.85	0.095	-36.43
11.11	1461.97	0.095	-37.13
11.13	1463.16	0.095	-36.62
11.15	1464.37	0.095	-37.25
11.17	1465.52	0.095	-37.39
11.19	1466.67	0.095	-37.60
11.21	1467.90	0.095	-36.57
11.23	1469.13	0.096	-36.16
11.25	1470.36	0.096	-36.58
11.27	1471.51	0.096	-37.54
11.29	1472.66	0.096	-36.67
11.31	1473.88	0.096	-36.91
11.33	1475.02	0.096	-37.45
11.35	1476.16	0.096	-37.63
11.37	1477.23	0.097	-37.11
11.39	1478.16	0.097	-38.46
11.41	1479.15	0.097	-38.26
11.43	1480.13	0.097	-38.72
11.45	1481.24	0.097	-37.41
11.47	1482.32	0.097	-37.84
11.49	1483.41	0.097	-36.90
11.51	1484.59	0.098	-36.60
11.53	1485.69	0.098	-36.87
11.55	1486.95	0.098	-36.78
11.57	1488.10	0.098	-36.41
11.59	1489.26	0.098	-36.57
11.61	1490.44	0.098	-36.68
11.63	1491.45	0.098	-38.49
11.65	1492.33	0.099	-39.04
11.67	1492.94	0.099	-39.60
11.69	1493.62	0.100	-39.72
11.71	1494.26	0.100	-40.85
11.73	1494.85	0.101	-40.55
11.75	1495.43	0.102	-39.87
11.77	1496.06	0.102	-40.45
11.79	1496.68	0.103	-40.97
11.81	1497.25	0.104	-39.17
11.83	1497.81	0.104	-38.93
11.85	1498.35	0.105	-41.52
11.87	1498.93	0.106	-39.73
11.89	1499.53	0.106	-41.94
11.91	1500.15	0.107	-40.34
11.93	1500.74	0.108	-41.54
11.95	1501.29	0.108	-40.54
11.97	1501.85	0.109	-39.60
11.99	1502.51	0.110	-40.17
12.01	1503.09	0.110	-39.32
12.03	1503.65	0.111	-40.77
12.05	1504.25	0.112	-40.74
12.07	1504.78	0.112	-41.89
12.09	1505.35	0.113	-40.61
12.11	1505.87	0.114	-41.76
12.13	1506.37	0.114	-42.09
12.15	1506.94	0.115	-38.91
12.17	1507.49	0.115	-41.40
12.19	1508.03	0.116	-40.90
12.21	1508.58	0.117	-39.90
12.23	1509.20	0.117	-40.71
12.25	1509.74	0.118	-41.01
12.27	1510.29	0.119	-40.41
12.29	1510.78	0.119	-40.95
12.31	1511.34	0.120	-41.73
12.33	1511.83	0.121	-41.17
12.35	1512.41	0.121	-40.73
12.37	1512.95	0.122	-41.21
12.39	1513.56	0.123	-41.05
12.41	1514.20	0.123	-41.39
12.43	1514.75	0.124	-40.02
12.45	1515.27	0.125	-41.91
12.47	1515.84	0.125	-40.62
12.49	1516.38	0.126	-39.09
12.51	1516.89	0.127	-40.95
12.53	1517.46	0.127	-40.54
12.55	1517.94	0.128	-41.43
12.57	1518.39	0.129	-42.71
12.59	1518.90	0.129	-40.59
12.61	1519.50	0.130	-41.82
12.63	1520.04	0.131	-40.92
12.65	1520.59	0.131	-42.27
12.67	1521.21	0.132	-41.82
12.69	1521.82	0.132	-41.95
12.71	1522.36	0.133	-41.06
12.73	1522.91	0.134	-39.86
12.75	1523.44	0.134	-40.17
12.77	1524.02	0.135	-40.36
12.79	1524.70	0.136	-39.88
12.81	1525.30	0.136	-38.98
12.83	1525.94	0.137	-39.81
12.85	1526.67	0.138	-40.11
12.87	1527.42	0.138	-39.42
12.89	1528.24	0.139	-37.79
12.91	1528.98	0.139	-38.25
12.93	1529.76	0.140	-39.11
12.95	1530.73	0.140	-38.96
12.97	1531.50	0.141	-39.87
12.99	1532.26	0.141	-39.55
13.01	1533.12	0.142	-39.49
13.03	1533.86	0.142	-40.52
13.05	1534.55	0.143	-39.77
13.07	1535.21	0.143	-40.57
13.09	1535.89	0.144	-40.17
13.11	1536.56	0.145	-41.51
13.13	1537.23	0.145	-40.08
13.15	1537.94	0.146	-40.53
13.17	1538.64	0.146	-40.10
13.19	1539.37	0.147	-40.58
13.21	1540.00	0.147	-39.45
13.23	1540.80	0.148	-39.30
13.25	1541.65	0.148	-38.97
13.27	1542.48	0.149	-39.03
13.29	1543.37	0.149	-39.35
13.31	1544.20	0.150	-39.07
13.33	1545.02	0.150	-38.56
13.35	1545.94	0.151	-38.36
13.37	1546.78	0.151	-38.76
13.39	1547.75	0.152	-38.14
13.41	1548.55	0.152	-38.56
13.43	1549.46	0.153	-38.79
13.45	1550.33	0.153	-38.33
13.47	1551.27	0.154	-37.74
13.49	1552.17	0.155	-38.08
13.51	1553.16	0.155	-38.29
13.53	1553.95	0.156	-38.99
13.55	1554.75	0.156	-39.36
13.57	1555.50	0.157	-39.64
13.59	1556.26	0.157	-40.05
13.61	1557.08	0.158	-39.21
13.63	1557.89	0.158	-39.09
13.65	1558.84	0.159	-38.67
13.67	1559.72	0.159	-38.93
13.69	1560.62	0.160	-37.66
13.71	1561.51	0.160	-38.45
13.73	1562.43	0.161	-39.42
13.75	1563.36	0.161	-38.81
13.77	1564.34	0.162	-37.86
13.79	1565.20	0.162	-39.05
13.81	1566.16	0.163	-37.96
13.83	1567.16	0.163	-38.00
13.85	1568.06	0.164	-38.43
13.87	1568.98	0.165	-38.21
13.89	1569.95	0.165	-38.61
13.91	1570.75	0.166	-38.03
13.93	1571.51	0.166	-39.99
13.95	1572.26	0.167	-39.03
13.97	1572.97	0.167	-39.73
13.99	1573.59	0.168	-40.21
14.01	1574.28	0.168	-39.90
14.03	1575.03	0.169	-40.94
14.05	1575.90	0.169	-38.05
14.07	1576.77	0.170	-38.34
14.09	1577.59	0.170	-38.01
14.11	1578.54	0.171	-38.68
14.13	1579.30	0.171	-38.04
14.15	1580.19	0.172	-37.59
14.17	1581.18	0.173	-37.46
14.19	1582.16	0.173	-38.42
14.21	1583.16	0.174	-37.76
14.23	1584.06	0.174	-37.19
14.25	1585.16	0.175	-37.13
14.27	1586.22	0.175	-37.05
14.29	1587.24	0.176	-37.54
14.31	1588.24	0.176	-36.81
14.33	1589.20	0.177	-37.49
14.35	1590.16	0.178	-36.07
14.37	1591.12	0.178	-37.17
14.39	1592.08	0.179	-37.29
14.41	1593.14	0.179	-37.04
14.43	1594.21	0.180	-36.86
14.45	1595.05	0.180	-36.26
14.47	1596.12	0.181	-36.11
14.49	1597.21	0.181	-36.14
14.51	1598.32	0.182	-36.14
14.53	1599.47	0.182	-36.98
14.55	1600.52	0.183	-35.81
14.57	1601.40	0.184	-36.74
14.59	1602.32	0.184	-37.48
14.61	1603.31	0.185	-37.52
14.63	1604.17	0.185	-37.97
14.65	1604.89	0.186	-40.64
14.67	1605.38	0.187	-41.96
14.69	1605.96	0.189	-42.47
14.71	1606.49	0.189	-40.81
14.73	1607.08	0.191	-41.03
14.75	1607.68	0.191	-39.92
14.77	1608.28	0.191	-40.68
14.79	1608.80	0.192	-42.44
14.81	1609.36	0.193	-40.78
14.83	1609.88	0.194	-41.18
14.85	1610.39	0.194	-40.14
14.87	1610.90	0.195	-41.47
14.89	1611.37	0.195	-41.76
14.91	1611.83	0.196	-41.65
14.93	1612.30	0.196	-40.88
14.95	1612.83	0.197	-42.61
14.97	1613.32	0.198	-42.37
14.99	1613.72	0.198	-41.54
15.01	1614.18	0.198	-43.17
15.03	1614.66	0.199	-39.98
15.05	1615.13	0.200	-43.51
15.07	1615.55	0.202	-42.76
15.09	1615.98	0.204	-40.12
15.11	1616.39	0.204	-42.26
15.13	1616.84	0.205	-42.99
15.15	1617.32	0.205	-42.08
15.17	1617.73	0.206	-40.57
15.19	1618.18	0.207	-43.57
15.21	1618.67	0.208	-40.55
15.23	1619.12	0.209	-44.91
15.25	1619.63	0.209	-41.99
15.27	1620.11	0.211	-41.29
15.29	1620.56	0.211	-42.08
15.31	1621.02	0.213	-40.75
15.33	1621.45	0.214	-40.66
15.35	1621.92	0.214	-40.04
15.37	1622.38	0.215	-43.26
15.39	1622.83	0.216	-42.38
15.41	1623.27	0.217	-42.89
15.43	1623.77	0.218	-41.61
15.45	1624.25	0.219	-41.95
15.47	1624.71	0.219	-43.57
15.49	1625.17	0.220	-41.88
15.51	1625.60	0.221	-43.21
15.53	1626.03	0.223	-44.56
15.55	1626.44	0.224	-42.31
15.57	1626.87	0.224	-42.15
15.59	1627.34	0.226	-42.12
15.61	1627.74	0.226	-42.20
15.63	1628.16	0.226	-40.39
15.65	1628.56	0.226	-43.50
15.67	1628.98	0.227	-43.08
15.69	1629.41	0.228	-44.63
15.71	1629.81	0.230	-42.79
15.73	1630.21	0.231	-44.02
15.75	1630.60	0.231	-43.85
15.77	1631.06	0.231	-40.21
15.79	1631.51	0.233	-41.70
15.81	1631.99	0.234	-41.15
15.83	1632.52	0.234	-40.81
15.85	1632.96	0.235	-43.15
15.87	1633.38	0.235	-42.98
15.89	1633.83	0.237	-41.55
15.91	1634.32	0.237	-40.53
15.93	1634.76	0.240	-41.60
15.95	1635.26	0.241	-41.94
15.97	1635.70	0.243	-42.30
15.99	1636.21	0.245	-41.42
16.01	1636.66	0.246	-41.29
16.03	1637.12	0.247	-42.99
16.05	1637.54	0.248	-44.97
16.07	1637.99	0.249	-43.25
16.09	1638.43	0.250	-40.35
16.11	1638.85	0.252	-43.59
16.13	1639.30	0.254	-41.86
16.15	1639.76	0.254	-41.64
16.17	1640.23	0.255	-44.27
16.19	1640.66	0.255	-39.89
16.21	1641.06	0.257	-42.36
16.23	1641.51	0.257	-41.99
16.25	1641.94	0.259	-40.71
16.27	1642.37	0.260	-42.10
16.29	1642.79	0.261	-42.33
16.31	1643.27	0.262	-42.50
16.33	1643.76	0.264	-39.74
16.35	1644.22	0.265	-42.81
16.37	1644.71	0.265	-41.62
16.39	1645.15	0.266	-40.74
16.41	1645.64	0.267	-42.58
16.43	1646.11	0.268	-41.26
16.45	1646.55	0.269	-41.18
16.47	1646.99	0.269	-38.29
16.49	1647.48	0.272	-40.38
16.51	1647.90	0.272	-41.68
16.53	1648.30	0.273	-41.52
16.55	1648.75	0.273	-40.58
16.57	1649.20	0.275	-42.77
16.59	1649.73	0.277	-42.78
16.61	1650.24	0.278	-40.88
16.63	1650.75	0.279	-41.55
16.65	1651.20	0.280	-40.65
16.67	1651.66	0.281	-42.69
16.69	1652.10	0.282	-39.36
16.71	1652.56	0.283	-40.72
16.73	1653.03	0.284	-41.80
16.75	1653.52	0.285	-40.92
16.77	1653.96	0.287	-39.26
16.79	1654.49	0.288	-40.64
16.81	1654.97	0.290	-39.46
16.83	1655.41	0.292	-40.35
16.85	1655.84	0.293	-40.30
16.87	1656.28	0.294	-42.10
16.89	1656.66	0.295	-41.25
16.91	1657.11	0.296	-42.41
16.93	1657.54	0.298	-40.69
16.95	1658.02	0.299	-42.12
16.97	1658.50	0.300	-40.42
16.99	1658.94	0.301	-42.23
17.01	1659.44	0.303	-40.00
17.03	1659.92	0.306	-39.76
17.05	1660.37	0.306	-38.99
17.07	1660.89	0.308	-42.35
17.09	1661.36	0.309	-39.80
17.11	1661.88	0.310	-40.26
17.13	1662.31	0.310	-40.48
17.15	1662.80	0.312	-40.56
17.17	1663.28	0.313	-40.17
17.19	1663.78	0.313	-41.24
17.21	1664.18	0.315	-42.24
17.23	1664.59	0.316	-39.81
17.25	1665.04	0.317	-39.80
17.27	1665.49	0.318	-41.58
17.29	1665.89	0.321	-40.55
17.31	1666.33	0.322	-40.64
17.33	1666.86	0.323	-39.94
17.35	1667.31	0.325	-41.25
17.37	1667.78	0.328	-42.94
17.39	1668.19	0.328	-42.38
17.41	1668.65	0.329	-41.52
17.43	1669.09	0.330	-40.75
17.45	1669.55	0.331	-40.72
17.47	1669.95	0.332	-41.49
17.49	1670.38	0.333	-41.22
17.51	1670.80	0.333	-38.85
17.53	1671.20	0.333	-40.46
17.55	1671.65	0.334	-41.85
17.57	1672.12	0.335	-39.58
17.59	1672.61	0.336	-39.70
17.61	1673.08	0.337	-40.89
17.63	1673.63	0.338	-40.04
17.65	1674.11	0.338	-40.70
17.67	1674.49	0.340	-42.53
17.69	1674.92	0.341	-41.35
17.71	1675.35	0.342	-41.31
17.73	1675.80	0.343	-41.04
17.75	1676.27	0.343	-40.90
17.77	1676.80	0.345	-38.95
17.79	1677.31	0.346	-41.45
17.81	1677.78	0.346	-42.40
17.83	1678.20	0.347	-43.36
17.85	1678.67	0.347	-41.14
17.87	1679.16	0.348	-40.93
17.89	1679.64	0.349	-42.52
17.91	1680.05	0.350	-41.74
17.93	1680.47	0.351	-43.47
17.95	1680.96	0.351	-42.27
17.97	1681.39	0.351	-42.68
17.99	1681.82	0.351	-41.83
18.01	1682.25	0.353	-40.50
18.03	1682.64	0.354	-42.77
18.05	1683.07	0.355	-42.90
18.07	1683.57	0.356	-42.77
18.09	1684.07	0.356	-42.99
18.11	1684.55	0.357	-40.60
18.13	1685.06	0.358	-40.68
18.15	1685.55	0.358	-40.98
18.17	1686.04	0.358	-42.25
18.19	1686.50	0.359	-41.83
18.21	1686.95	0.359	-41.63
18.23	1687.35	0.360	-44.35
18.25	1687.86	0.361	-42.17
18.27	1688.35	0.361	-40.74
18.29	1688.78	0.362	-43.78
18.31	1689.23	0.364	-42.40
18.33	1689.66	0.364	-43.02
18.35	1690.04	0.365	-42.35
18.37	1690.43	0.366	-41.89
18.39	1690.92	0.366	-42.12
18.41	1691.32	0.368	-42.25
18.43	1691.75	0.368	-42.82
18.45	1692.19	0.370	-40.04
18.47	1692.67	0.370	-42.21
18.49	1693.11	0.372	-41.75
18.51	1693.54	0.374	-39.92
18.53	1693.97	0.375	-40.92
18.55	1694.41	0.377	-42.85
18.57	1694.92	0.378	-41.37
18.59	1695.36	0.380	-40.41
18.61	1695.82	0.380	-40.96
18.63	1696.29	0.381	-40.12
18.65	1696.74	0.381	-41.70
18.67	1697.18	0.382	-41.13
18.69	1697.67	0.383	-41.01
18.71	1698.13	0.384	-42.66
18.73	1698.59	0.384	-42.25
18.75	1699.01	0.386	-41.46
18.77	1699.51	0.387	-41.24
18.79	1700.00	0.389	-40.87
18.81	1700.51	0.389	-41.97
18.83	1700.94	0.390	-40.39
18.85	1701.38	0.392	-40.26
18.87	1701.82	0.393	-42.36
18.89	1702.27	0.394	-42.09
18.91	1702.68	0.396	-40.85
18.93	1703.14	0.398	-42.11
18.95	1703.56	0.398	-41.29
18.97	1703.99	0.400	-42.16
18.99	1704.42	0.400	-40.04
19.01	1704.87	0.401	-42.61
19.03	1705.33	0.401	-41.81
19.05	1705.76	0.402	-42.03
19.07	1706.18	0.404	-41.50
19.09	1706.68	0.405	-42.48
19.11	1707.08	0.406	-42.75
19.13	1707.55	0.407	-41.38
19.15	1708.02	0.407	-43.74
19.17	1708.40	0.408	-42.52
19.19	1708.82	0.410	-40.54
19.21	1709.27	0.410	-43.75
19.23	1709.72	0.411	-41.23
19.25	1710.14	0.412	-42.72
19.27	1710.58	0.413	-40.42
19.29	1711.04	0.414	-41.28
19.31	1711.47	0.414	-41.68
19.33	1711.88	0.415	-41.75
19.35	1712.33	0.416	-42.86
19.37	1712.79	0.418	-43.07
19.39	1713.29	0.419	-42.36
19.41	1713.72	0.420	-40.85
19.43	1714.18	0.421	-41.35
19.45	1714.61	0.422	-42.17
19.47	1715.10	0.422	-41.37
19.49	1715.54	0.424	-42.65
19.51	1716.03	0.425	-40.93
19.53	1716.53	0.425	-42.56
19.55	1716.99	0.426	-40.46
19.57	1717.40	0.427	-40.83
19.59	1717.83	0.428	-40.89
19.61	1718.29	0.428	-41.84
19.63	1718.67	0.430	-39.93
19.65	1719.11	0.431	-41.50
19.67	1719.51	0.432	-42.05
19.69	1719.89	0.433	-41.43
19.71	1720.28	0.434	-41.40
19.73	1720.73	0.434	-41.63
19.75	1721.17	0.434	-42.80
19.77	1721.64	0.436	-43.02
19.79	1722.09	0.438	-41.40
19.81	1722.54	0.438	-40.22
19.83	1723.03	0.438	-40.69
19.85	1723.44	0.439	-41.43
19.87	1723.90	0.440	-40.66
19.89	1724.34	0.441	-41.60
19.91	1724.81	0.442	-42.62
19.93	1725.24	0.443	-42.14
19.95	1725.63	0.444	-42.66
19.97	1726.07	0.445	-41.97
19.99	1726.48	0.445	-41.69
20.01	1726.96	0.446	-42.76
20.03	1727.42	0.446	-42.71
20.05	1727.81	0.447	-41.33
20.07	1728.24	0.447	-42.68
20.09	1728.67	0.448	-42.01
20.11	1729.12	0.449	-42.60
20.13	1729.56	0.450	-42.19
20.15	1730.04	0.452	-42.79
20.17	1730.55	0.452	-40.37
20.19	1731.00	0.452	-41.40
20.21	1731.47	0.453	-42.46
20.23	1731.96	0.453	-42.54
20.25	1732.41	0.454	-41.92
20.27	1732.92	0.457	-42.38
20.29	1733.32	0.458	-43.13
20.31	1733.76	0.459	-41.86
20.33	1734.14	0.460	-43.12
20.35	1734.57	0.460	-44.51
20.37	1735.04	0.461	-42.45
20.39	1735.43	0.462	-43.21
20.41	1735.82	0.463	-43.52
20.43	1736.26	0.463	-42.04
20.45	1736.75	0.463	-41.92
20.47	1737.16	0.465	-43.20
20.49	1737.61	0.465	-43.36
20.51	1738.09	0.465	-44.97
20.53	1738.51	0.466	-42.52
20.55	1738.97	0.467	-42.06
20.57	1739.44	0.469	-41.89
20.59	1739.86	0.471	-42.42
20.61	1740.31	0.472	-40.62
20.63	1740.77	0.472	-40.09
20.65	1741.14	0.473	-43.60
20.67	1741.54	0.474	-42.12
20.69	1741.97	0.474	-39.93
20.71	1742.43	0.476	-42.75
20.73	1742.87	0.476	-42.39
20.75	1743.32	0.476	-42.98
20.77	1743.70	0.477	-40.72
20.79	1744.13	0.477	-43.35
20.81	1744.54	0.478	-42.55
20.83	1744.94	0.481	-42.08
20.85	1745.31	0.482	-43.27
20.87	1745.74	0.484	-42.27
20.89	1746.13	0.485	-43.93
20.91	1746.52	0.486	-42.95
20.93	1746.92	0.487	-43.09
20.95	1747.30	0.488	-44.85
20.97	1747.68	0.489	-43.50
20.99	1748.07	0.490	-42.52
21.01	1748.43	0.492	-42.26
21.03	1748.81	0.494	-43.68
21.05	1749.18	0.495	-43.31
21.07	1749.54	0.496	-42.63
21.09	1749.92	0.496	-41.83
21.11	1750.29	0.497	-42.08
21.13	1750.69	0.499	-41.92
21.15	1751.11	0.499	-43.89
21.17	1751.50	0.500	-42.88
21.19	1751.91	0.501	-43.91
21.21	1752.32	0.502	-42.58
21.23	1752.71	0.503	-42.68
21.25	1753.09	0.503	-41.02
21.27	1753.45	0.504	-41.96
21.29	1753.85	0.505	-42.42
