# Partial results of XRF analyses performed on rock samples from the Picos de Europa formation at Fuente Dé
# The dataset contains sample codes, major and minor elemental abundance, geolocation information and a brief description of the hand specimen
# Citation: T. Racine (2017) Characterising the dolostone host of an MVT Zn-Pb deposit in the Picos de Europa mining district (NW Spain): optical mineralogy, geochemical and fluid inclusion studies, Master Thesis
#
Sample name,File #,Type,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2, Alloy 3, Match Qual 3,Mg,Mg Err,Al,Al Err,Si,Si Err,P,P Err,S,S Err,Cl,Cl Err,K,K Err,Ca,Ca Err,Sc,Sc Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,As,As Err,Se,Se Err,Br,Br Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Ru,Ru Err,Rh,Rh Err,Pd,Pd Err,Ag,Ag Err,Cd,Cd Err,In,In Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,I,I Err,Ba,Ba Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Re,Re Err,Os,Os Err,Ir,Ir Err,Pt,Pt Err,Au,Au Err,Pb,Pb Err,Bi,Bi Err,Th,Th Err,U,U Err,Transect,Lat,Long,Description
fdtd29,2401, MajMudRock  Emp, 60.1,No Match, 0.0,No Match, 0.0,No Match, 0.0,  0.1297,  0.0392, 27.4692,  1.6470,,,  1.3350,  0.0203,,,  0.0524,  0.0055,,,  0.0722,  0.0065, 28.2720,  0.2320,,,  0.0265,  0.0018,  0.0138,  0.0006,,,  0.0323,  0.0007,  0.9648,  0.0296,  0.0004,  0.0000,  0.0104,  0.0005,  0.0472,  0.0005,  0.4413,  0.0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,43.16048016,4.802596032,white and some grey dolomite
fdtd33,2392, MajMudRock  Emp, 60.1,No Match, 0.0,No Match, 0.0,No Match, 0.0,  0.2709,  0.0347, 19.5138,  1.2192,  0.2725,  0.0442,  1.6404,  0.0232,,,,,,,  0.1473,  0.0070, 25.0804,  0.1948,,,  0.0024,  0.0012,  0.0061,  0.0004,  0.0014,  0.0002,  0.0289,  0.0006,  1.4324,  0.0252,  0.0005,  0.0000,  0.0051,  0.0004,  0.0055,  0.0001,  0.0276,  0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,43.16053751,4.802557322,"grey, white, and pink dolomite (taken 3 m right of transect line)"
fdtd33,2393, MajMudRock  Emp, 60.1,No Match, 0.0,No Match, 0.0,No Match, 0.0,  0.5607,  0.0231,  4.3263,  0.3847,,,  1.2776,  0.0171,,,,,,,,, 14.4536,  0.0869,,,,,,,,,  0.0184,  0.0001,  1.5054,  0.0156,  0.0003,  0.0000,,,  0.0058,  0.0001,  0.0068,  0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,43.16053751,4.802557322,"grey, white, and pink dolomite (taken 3 m right of transect line)"
fdtd33,2394, MajMudRock  Emp, 60.1,No Match, 0.0,No Match, 0.0,No Match, 0.0,  0.3539,  0.0311, 14.5599,  0.9362,,,  1.2678,  0.0189,,,,,,,  0.0231,  0.0059, 21.4469,  0.1541,,,,,  0.0062,  0.0004,,,  0.0268,  0.0005,  1.4171,  0.0223,  0.0004,  0.0000,  0.0014,  0.0003,  0.0025,  0.0001,  0.0166,  0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,43.16053751,4.802557322,"grey, white, and pink dolomite (taken 3 m right of transect line)"
fdtd33,2395, MajMudRock  Emp, 60.1,No Match, 0.0,No Match, 0.0,No Match, 0.0,  0.1524,  0.0384, 26.1003,  1.5698,  0.3618,  0.0489,  1.6658,  0.0235,,,  0.0433,  0.0053,,,  0.1730,  0.0073, 28.0231,  0.2295,,,  0.0221,  0.0017,  0.0106,  0.0005,  0.0023,  0.0003,  0.0334,  0.0008,  1.2552,  0.0292,  0.0005,  0.0000,  0.0084,  0.0005,  0.0050,  0.0001,  0.0340,  0.0010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,43.16053751,4.802557322,"grey, white, and pink dolomite (taken 3 m right of transect line)"
fdtd33,2396, MajMudRock  Emp, 60.1,No Match, 0.0,No Match, 0.0,No Match, 0.0,  0.2965,  0.0337, 16.3600,  1.0653,,,  1.2373,  0.0186,,,  0.0087,  0.0044,,,  0.0271,  0.0060, 24.7479,  0.1864,,,  0.0017,  0.0011,  0.0108,  0.0005,  0.0028,  0.0003,  0.0258,  0.0005,  0.8375,  0.0277,  0.0003,  0.0000,  0.0016,  0.0004,  0.0037,  0.0001,  0.0117,  0.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,43.16053751,4.802557322,"grey, white, and pink dolomite (taken 3 m right of transect line)"
fdtd34,2397, MajMudRock  Emp, 60.1,No Match, 0.0,No Match, 0.0,No Match, 0.0,  0.2164,  0.0359, 22.1734,  1.3471,,,  1.2168,  0.0184,,,  0.0400,  0.0050,,,  0.0167,  0.0060, 26.3299,  0.2040,,,  0.0106,  0.0014,  0.0117,  0.0005,  0.0020,  0.0003,  0.0279,  0.0006,  1.1165,  0.0261,  0.0003,  0.0000,  0.0073,  0.0004,,,  0.0132,  0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,43.16063582,4.802490963,mainly white dolomite
fdtd34,2398, MajMudRock  Emp, 60.1,No Match, 0.0,No Match, 0.0,No Match, 0.0,  0.2006,  0.0373, 22.8427,  1.4196,,,  1.3189,  0.0199,,,,,,,  0.0976,  0.0067, 27.5816,  0.2222,,,  0.0098,  0.0014,  0.0083,  0.0005,  0.0001,  0.0002,  0.0387,  0.0009,  1.0601,  0.0287,  0.0004,  0.0000,  0.0077,  0.0004,  0.0049,  0.0001,  0.0203,  0.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,43.16063582,4.802490963,mainly white dolomite
fdtd38,2405, MajMudRock  Emp, 60.1,No Match, 0.0,No Match, 0.0,No Match, 0.0,  0.4470,  0.0274,  9.1873,  0.6477,,,  1.1243,  0.0162,,,,,,,,, 18.7173,  0.1236,,,,,,,,,  0.0193,  0.0002,  1.3500,  0.0191,  0.0003,  0.0000,,,  0.0002,  0.0001,  0.0105,  0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,43.16069828,4.802448797,pink dolomite
fdtd39,2402, MajMudRock  Emp, 60.1,No Match, 0.0,No Match, 0.0,No Match, 0.0,  0.2668,  0.0338, 18.3122,  1.1367,,,  1.4188,  0.0208,,,  0.0300,  0.0046,,,  0.0616,  0.0063, 23.8550,  0.1790,,,  0.0026,  0.0011,  0.0080,  0.0005,  0.0008,  0.0002,  0.0264,  0.0005,  1.1666,  0.0245,  0.0003,  0.0000,  0.0037,  0.0004,,,  0.0104,  0.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,43.16071262,4.802439119,pink dolomite
fdtd39,2403, MajMudRock  Emp, 60.1,No Match, 0.0,No Match, 0.0,No Match, 0.0,  0.2091,  0.0372, 24.4648,  1.4911,,,  1.3283,  0.0201,,,  0.0140,  0.0048,,,  0.0531,  0.0064, 27.5033,  0.2211,,,  0.0163,  0.0015,  0.0105,  0.0005,,,  0.0325,  0.0007,  1.0533,  0.0282,  0.0004,  0.0000,  0.0082,  0.0005,,,  0.0189,  0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,43.16071262,4.802439119,pink dolomite
fdtd39,2404, MajMudRock  Emp, 60.1,No Match, 0.0,No Match, 0.0,No Match, 0.0,  0.2335,  0.0356, 21.6133,  1.3237,,,  1.3825,  0.0205,,,,,,,  0.1062,  0.0067, 26.0523,  0.2038,,,  0.0067,  0.0013,  0.0105,  0.0005,  0.0016,  0.0003,  0.0277,  0.0005,  1.0025,  0.0274,  0.0003,  0.0000,  0.0080,  0.0004,,,  0.0100,  0.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,43.16071262,4.802439119,pink dolomite
