# Weather station Innsbruck (airport), Austria, WMO_ID=11120,selection from 01.01.2019 till 31.12.2019, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=11120&lang=en
#
"Local time in Innsbruck (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"30.12.2019 23:00";"-3.3";"722.2";"778.0";"-0.7";"90";"Wind blowing from the north";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"22.0";"-4.8";"No precipitation";"1";"";"";"";"";
"30.12.2019 22:00";"-2.6";"722.5";"778.0";"-0.7";"90";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"22.0";"-4.0";"No precipitation";"1";"";"";"";"";
"30.12.2019 21:00";"-2.7";"722.7";"778.3";"-0.6";"88";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"23.0";"-4.4";"No precipitation";"1";"";"";"";"";
"30.12.2019 20:00";"-1.9";"722.9";"778.4";"-0.1";"88";"Wind blowing from the north";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"27.0";"-3.7";"No precipitation";"1";"";"";"";"";
"30.12.2019 19:00";"-1.9";"723.2";"778.7";"0.1";"88";"Wind blowing from the north";"2";"";"";"no clouds";" ";"";"";"";"3.1";"";"";"";"";"";"23.0";"-3.7";"No precipitation";"1";"";"";"";"";
"30.12.2019 18:00";"-1.2";"723.3";"778.6";"0.2";"85";"Wind blowing from the north";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"-3.4";"No precipitation";"1";"";"";"";"";
"30.12.2019 17:00";"-0.4";"723.0";"778.2";"-0.5";"80";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"35.0";"-3.4";"No precipitation";"1";"";"";"";"";
"30.12.2019 16:00";"0.3";"723.1";"778.1";"-0.9";"81";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"-2.6";"No precipitation";"1";"";"";"";"";
"30.12.2019 15:00";"2.6";"723.1";"777.7";"-1.7";"67";"Wind blowing from the north";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"55.0";"-2.9";"No precipitation";"1";"";"";"";"";
"30.12.2019 14:00";"1.7";"723.5";"778.3";"-2.0";"64";"Wind blowing from the north";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"55.0";"-4.5";"No precipitation";"1";"";"";"";"";
"30.12.2019 13:00";"0.7";"724.0";"779.1";"-1.8";"69";"Wind blowing from the north";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"50.0";"-4.5";"No precipitation";"1";"";"";"";"";
"30.12.2019 12:00";"-0.8";"724.8";"780.2";"-1.0";"77";"Wind blowing from the north";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"45.0";"-4.4";"No precipitation";"1";"";"";"";"";
"30.12.2019 11:00";"-1.9";"725.5";"781.2";"0.0";"83";"Wind blowing from the north";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"35.0";"-4.4";"No precipitation";"1";"";"";"";"";
"30.12.2019 10:00";"-2.8";"725.8";"781.8";"0.5";"88";"Wind blowing from the north";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"28.0";"-4.6";"No precipitation";"1";"";"";"";"";
"30.12.2019 09:00";"-4.9";"725.8";"782.2";"0.4";"92";"Wind blowing from the north";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"28.0";"-6.0";"No precipitation";"1";"";"";"";"";
"30.12.2019 08:00";"-5.6";"725.5";"781.9";"";"93";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"25.0";"-6.6";"No precipitation";"1";"";"";"";"";
"30.12.2019 07:00";"-5.4";"725.3";"781.7";"-0.5";"92";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"-6.0";"";"";"";"";"";"";"26.0";"-6.5";"No precipitation";"1";"";"";"";"";
"30.12.2019 06:00";"-5.9";"725.4";"781.9";"-0.3";"92";"Wind blowing from the north";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"25.0";"-7.0";"No precipitation";"1";"";"";"";"";
"30.12.2019 05:00";"-5.5";"725.5";"782.0";"-0.1";"92";"Wind blowing from the north";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"27.0";"-6.6";"No precipitation";"1";"";"";"";"";
"30.12.2019 04:00";"-5.0";"725.8";"782.2";"0.1";"93";"Wind blowing from the north";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"27.0";"-6.0";"No precipitation";"1";"";"";"";"";
"30.12.2019 03:00";"-4.6";"725.7";"782.0";"-0.3";"92";"Wind blowing from the north";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"30.0";"-5.7";"No precipitation";"1";"";"";"";"";
"30.12.2019 02:00";"-4.9";"725.6";"781.9";"-0.4";"91";"Wind blowing from the north";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"28.0";"-6.2";"No precipitation";"1";"";"";"";"";
"30.12.2019 01:00";"-4.7";"725.7";"782.0";"-0.2";"92";"Wind blowing from the north";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"28.0";"-5.8";"No precipitation";"1";"";"";"";"";
"30.12.2019 00:00";"-4.4";"726.0";"782.2";"0.1";"90";"Wind blowing from the north";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"30.0";"-5.8";"No precipitation";"1";"";"";"";"";
"29.12.2019 23:00";"-4.3";"726.0";"782.2";"0.0";"89";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"26.0";"-5.8";"No precipitation";"1";"";"";"";"";
"29.12.2019 22:00";"-3.6";"725.9";"782.0";"0.4";"89";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"-5.1";"No precipitation";"1";"";"";"";"";
"29.12.2019 21:00";"-3.5";"725.9";"782.0";"0.4";"88";"Wind blowing from the north";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"-5.2";"No precipitation";"1";"";"";"";"";
"29.12.2019 20:00";"-2.8";"726.0";"781.9";"0.8";"86";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"28.0";"-4.8";"No precipitation";"1";"";"";"";"";
"29.12.2019 19:00";"-3.3";"725.5";"781.6";"0.6";"86";"Wind blowing from the north";"2";"";"";"no clouds";" ";"";"";"";"2.6";"";"";"";"";"";"30.0";"-5.3";"No precipitation";"1";"";"";"";"";
"29.12.2019 18:00";"-1.8";"725.5";"781.2";"0.7";"85";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"-4.0";"No precipitation";"1";"";"";"";"";
"29.12.2019 17:00";"-1.4";"725.2";"780.8";"0.1";"84";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"35.0";"-3.8";"No precipitation";"1";"";"";"";"";
"29.12.2019 16:00";"-0.2";"724.9";"780.2";"-0.3";"78";"Wind blowing from the north";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"600-1000";"";"";"30.0";"-3.6";"No precipitation";"1";"";"";"";"";
"29.12.2019 15:00";"2.5";"724.8";"779.5";"-1.0";"64";"Wind blowing from the north";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"600-1000";"";"";"55.0";"-3.7";"No precipitation";"1";"";"";"";"";
"29.12.2019 14:00";"1.6";"725.1";"780.1";"-1.5";"63";"Wind blowing from the north";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"600-1000";"";"";"45.0";"-4.8";"No precipitation";"1";"";"";"";"";
"29.12.2019 13:00";"0.6";"725.2";"780.4";"-1.8";"66";"Wind blowing from the north";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"600-1000";"";"";"40.0";"-5.0";"No precipitation";"1";"";"";"";"";
"29.12.2019 12:00";"0.2";"725.8";"781.1";"-1.0";"70";"Wind blowing from the north";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"600-1000";"";"";"40.0";"-4.7";"No precipitation";"1";"";"";"";"";
"29.12.2019 11:00";"-0.7";"726.6";"782.1";"0.2";"69";"Wind blowing from the north";"2";"";"";"20–30%.";" ";"";"";"";"";"";"";"300-600";"";"";"50.0";"-5.7";"No precipitation";"1";"";"";"";"";
"29.12.2019 10:00";"-1.5";"727.0";"782.8";"0.7";"74";"Wind blowing from the north";"1";"";"";"40%.";" ";"";"";"";"";"";"";"300-600";"";"";"40.0";"-5.6";"No precipitation";"1";"";"";"";"";
"29.12.2019 09:00";"-2.5";"726.8";"782.8";"0.7";"80";"Wind blowing from the north";"3";"";"";"60%.";" ";"";"";"";"";"";"";"600-1000";"";"";"45.0";"-5.5";"No precipitation";"1";"";"";"";"";
"29.12.2019 08:00";"-1.9";"726.4";"782.2";"0.6";"78";"Wind blowing from the north";"1";"";"";"60%.";" ";"";"";"";"";"";"";"600-1000";"";"";"55.0";"-5.2";"No precipitation";"1";"";"";"";"";
"29.12.2019 07:00";"-1.6";"726.3";"782.0";"0.4";"78";"Wind blowing from the north";"2";"";"";"100%.";" ";"";"";"-1.7";"";"";"";"600-1000";"";"";"40.0";"-4.9";"No precipitation";"1";"";"";"";"";
"29.12.2019 06:00";"-1.5";"726.1";"781.8";"0.0";"76";"Wind blowing from the north";"3";"";"";"100%.";" ";"";"";"";"";"";"";"600-1000";"";"";"50.0";"-5.3";"No precipitation";"1";"";"";"";"";
"29.12.2019 05:00";"-1.2";"725.8";"781.4";"-0.4";"77";"Wind blowing from the north";"2";"";"";"100%.";" ";"";"";"";"";"";"";"600-1000";"";"";"55.0";"-4.8";"No precipitation";"1";"";"";"";"";
"29.12.2019 04:00";"-0.9";"725.9";"781.4";"-0.2";"78";"Wind blowing from the north";"1";"";"";"100%.";" ";"";"";"";"";"";"";"600-1000";"";"";"45.0";"-4.3";"No precipitation";"1";"";"";"";"";
"29.12.2019 03:00";"-0.8";"726.1";"781.6";"";"78";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"";"";"600-1000";"";"";"40.0";"-4.2";"No precipitation";"1";"";"";"";"";
"29.12.2019 02:00";"-0.8";"726.2";"781.7";"";"73";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"";"";"300-600";"";"";"55.0";"-5.1";"No precipitation";"1";"";"";"";"";
"29.12.2019 01:00";"-0.8";"726.1";"781.6";"-0.2";"74";"Wind blowing from the north";"2";"";"";"100%.";" ";"";"";"";"";"";"";"600-1000";"";"";"60.0";"-5.0";"No precipitation";"1";"";"";"";"";
