Event	IGSN	Sample label	Samp type	Latitude	Longitude	Mineral	Position	SiO2 [%]	TiO2 [%]	Al2O3 [%]	FeO [%]	MnO [%]	MgO [%]	CaO [%]	Na2O [%]	K2O [%]	Cr2O3 [%]	NiO [%]	Total [%]	δ18O [‰]	δ18O std dev [±]	Si [# of ions]	Ti [# of ions]	Al [# of ions]	Cr [# of ions]	Fe2+ [# of ions]	Fe3+ [# of ions]	Mn2+ [# of ions]	Mg [# of ions]	Ca [# of ions]	Na [# of ions]	K [# of ions]	Ni [# of ions]	Cat [#]	Mg#	En [%]	Fs [%]	Wo [%]	An [%]	Ab [%]	Or [%]
Pukeonake	hdl:10273/IELEG0006	NZ12	Pukeonake	-39.144856	175.566722	OPX 1	rim	55.94	0.11	2.11	10.40	0.25	30.74	1.63	0.03	0.02	0.12		101.36			1.95	0.00	0.09	0.00	0.30	0.00	0.01	1.59	0.06	0.00	0.00		4.01	84.00	81.00	16	3			
Pukeonake	hdl:10273/IELEG0006	NZ12	Pukeonake	-39.144856	175.566722	OPX 2	core	53.58	0.25	1.69	17.80	0.38	24.83	1.70	0.05	#0.00	0.06		100.35			1.95	0.01	0.07	0.00	0.54	0.00	0.01	1.35	0.07	0.00	0.00		4.01	71.00	68.00	28	3			
Pukeonake	hdl:10273/IELEG0006	NZ12	Pukeonake	-39.144856	175.566722	OPX 2	core2	53.82	0.28	1.61	17.49	0.27	25.32	1.82	0.06	#0.00	0.06		100.73			1.95	0.01	0.07	0.00	0.53	0.00	0.01	1.37	0.07	0.00	0.00		4.01	72.00	69.00	27	4			
Pukeonake	hdl:10273/IELEG0006	NZ12	Pukeonake	-39.144856	175.566722	OPX 2	rim	55.41	0.21	1.61	11.45	0.28	29.78	1.77	0.01	#0.00	0.16		100.67			1.95	0.01	0.07	0.00	0.34	0.00	0.01	1.56	0.07	0.00	0.00		4.01	82.00	79.00	17	3			
Pukeonake	hdl:10273/IELEG0006	NZ12	Pukeonake	-39.144856	175.566722	OPX 2	rim	55.43	0.24	1.65	11.47	0.23	29.88	1.70	0.01	0.01	0.11		100.73			1.95	0.01	0.07	0.00	0.34	0.00	0.01	1.57	0.06	0.00	0.00		4.01	82.00	79.00	17	3			
Pukeonake	hdl:10273/IELEG0006	NZ12	Pukeonake	-39.144856	175.566722	OPX 2	mantle	54.78	0.23	2.20	11.86	0.27	29.23	1.79	0.04	0.01	0.10		100.50			1.94	0.01	0.09	0.00	0.35	0.00	0.01	1.54	0.07	0.00	0.00		4.01	81.00	78.00	18	3			
Pukeonake	hdl:10273/IELEG0006	NZ12	Pukeonake	-39.144856	175.566722	OPX 3	core	53.98	0.30	1.41	17.85	0.29	25.01	1.93	0.06	0.01	0.14		100.97			1.96	0.01	0.06	0.00	0.54	0.00	0.01	1.35	0.07	0.00	0.00		4.01	71.00	68.00	28	4			
Pukeonake	hdl:10273/IELEG0006	NZ12	Pukeonake	-39.144856	175.566722	OPX 3	rim	55.55	0.17	1.67	12.03	0.20	29.60	1.87	0.04	#0.00	0.07		101.20			1.95	0.00	0.07	0.00	0.35	0.00	0.01	1.55	0.07	0.00	0.00		4.01	81.00	78.00	18	4			
Pukeonake	hdl:10273/IELEG0006	NZ12	Pukeonake	-39.144856	175.566722	OPX 4	matrix	53.32	0.25	5.92	10.14	0.25	28.41	2.21	0.08	0.01	0.10		100.69			1.87	0.01	0.24	0.00	0.30	0.00	0.01	1.49	0.08	0.01	0.00		4.00	83.00	79.00	16	4			
Pukeonake	hdl:10273/IELEG0006	NZ12	Pukeonake	-39.144856	175.566722	OPX 5	core	53.59	0.19	1.66	19.58	0.37	23.99	1.76	0.07	#0.00	0.17		101.38			1.95	0.01	0.07	0.00	0.60	0.00	0.01	1.30	0.07	0.01	0.00		4.01	68.00	66.00	31	3			
Pukeonake	hdl:10273/IELEG0006	NZ12	Pukeonake	-39.144856	175.566722	OPX 5	core2	53.62	0.30	1.62	19.12	0.38	23.90	1.83	0.07	#0.00	0.13		100.97			1.95	0.01	0.07	0.00	0.58	0.00	0.01	1.30	0.07	0.01	0.00		4.00	69.00	66.00	30	4			
Pukeonake	hdl:10273/IELEG0006	NZ12	Pukeonake	-39.144856	175.566722	OPX 5	rim	55.91	0.24	1.54	11.14	0.31	29.99	1.83	0.03	#0.00	0.12		101.10			1.96	0.01	0.06	0.00	0.33	0.00	0.01	1.57	0.07	0.00	0.00		4.00	82.00	79.00	17	3			
Pukeonake	hdl:10273/IELEG0006	NZ12	Pukeonake	-39.144856	175.566722	OPX 5	rim2	55.79	0.20	1.71	10.86	0.28	30.33	1.80	0.05	0.02	0.28		101.31			1.95	0.01	0.07	0.01	0.32	0.00	0.01	1.58	0.07	0.00	0.00		4.01	83.00	80.00	17	3			
Pukeonake	hdl:10273/IELEG0006	NZ12	Pukeonake	-39.144856	175.566722	OPX 6	matrix	55.23	0.32	1.15	13.57	0.30	27.11	2.46	0.03	0.02	0.20		100.37			1.97	0.01	0.05	0.01	0.41	0.00	0.01	1.44	0.09	0.00	0.00		3.99	78.00	74.00	21	5			
Pukeonake	hdl:10273/IELEG0006	NZ12	Pukeonake	-39.144856	175.566722	OPX 7	matrix	54.90	0.30	0.95	12.89	0.30	26.27	4.76	0.08	0.01	0.16		100.62			1.97	0.01	0.04	0.00	0.39	0.00	0.01	1.40	0.18	0.01	0.00		4.01	78.00	71.00	20	9			
Ruapehu	hdl:10273/IELEG0003	NZ7	Ruapehu	-39.211971	175.540709	OPX 1	rim	52.58	0.30	1.08	21.66	0.50	22.16	1.62	0.05		0.03		99.97			1.96	0.01	0.05	0.00	0.68	0.00	0.02	1.23	0.06	0.00	0.00	0.00	4.01	64.00	62.00	35	3			
Ruapehu	hdl:10273/IELEG0003	NZ7	Ruapehu	-39.211971	175.540709	OPX 2	rim	53.38	0.34	1.17	21.50	0.44	22.53	1.62	0.05		0.00		101.03			1.96	0.01	0.05	0.00	0.66	0.00	0.01	1.24	0.06	0.00	0.00	0.00	4.00	65.00	63.00	34	3			
Ruapehu	hdl:10273/IELEG0003	NZ7	Ruapehu	-39.211971	175.540709	OPX 3	rim	52.95	0.33	1.46	23.37	0.39	21.50	1.70	0.03		0.02		101.74			1.95	0.01	0.06	0.00	0.72	0.00	0.01	1.18	0.07	0.00	0.00	0.00	4.01	62.00	60.00	37	3			
Ruapehu	hdl:10273/IELEG0003	NZ7	Ruapehu	-39.211971	175.540709	OPX 4	rim	53.11	0.27	1.06	23.73	0.40	21.16	1.61	0.04		0.01		101.39			1.97	0.01	0.05	0.00	0.73	0.00	0.01	1.17	0.06	0.00	0.00	0.00	4.00	61.00	59.00	38	3			
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	OL 1	core	40.30	0.00	0.00	10.93	0.14	47.96	0.12	#0.00	#0.00	#0.00	0.36	99.81	5.06	0.01	1.00	0.00	0.00	0.00	0.23	0.00	0.00	1.77	0.00	0.00	0.00	0.01	3.00	89.00						
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	OL 1	core	40.64	0.00	0.00	9.75	0.10	48.99	0.10	#0.00	#0.00	#0.00	0.36	99.94	5.23	0.01	1.00	0.00	0.00	0.00	0.20	0.00	0.00	1.79	0.00	0.00	0.00	0.01	3.00	90.00						
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	OL 2	core	39.47	0.00	0.00	16.34	0.23	43.11	0.14	#0.00	#0.00	#0.00	0.35	99.64	4.98	0.01	1.00	0.00	0.00	0.00	0.35	0.00	0.00	1.63	0.00	0.00	0.00	0.01	3.00	82.00						
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	OL 2	rim	39.18	0.00	0.00	16.96	0.24	42.57	0.19	#0.00	#0.00	#0.00	0.27	99.40	5.15	0.01	1.00	0.00	0.00	0.00	0.36	0.00	0.01	1.62	0.01	0.00	0.00	0.01	3.00	82.00						
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	OL 2	rim	39.26	0.00	0.00	16.63	0.19	42.96	0.18	#0.00	#0.00	#0.00	0.30	99.52	4.92	0.07	1.00	0.00	0.00	0.00	0.35	0.00	0.00	1.63	0.00	0.00	0.00	0.01	3.00	82.00						
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	OL 3	core	39.34	0.00	0.00	16.64	0.24	42.89	0.17	#0.00	#0.00	#0.00	0.30	99.58	5.25	0.02	1.00	0.00	0.00	0.00	0.35	0.00	0.01	1.63	0.00	0.00	0.00	0.01	3.00	82.00						
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	OL 3	core	39.47	0.00	0.00	16.34	0.23	43.11	0.14	#0.00	#0.00	#0.00	0.35	99.64			1.00	0.00	0.00	0.00	0.35	0.00	0.00	1.63	0.00	0.00	0.00	0.01	3.00	82.00						
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	OL 3	rim	39.18	0.00	0.00	16.96	0.24	42.57	0.19	#0.00	#0.00	#0.00	0.27	99.40			1.00	0.00	0.00	0.00	0.36	0.00	0.01	1.62	0.01	0.00	0.00	0.01	3.00	82.00						
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	OL 3	rim	39.26	0.00	0.00	16.63	0.19	42.96	0.18	#0.00	#0.00	#0.00	0.30	99.52			1.00	0.00	0.00	0.00	0.35	0.00	0.00	1.63	0.00	0.00	0.00	0.01	3.00	82.00						
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	OL 4	core	39.34	0.00	0.00	16.64	0.24	42.89	0.17	#0.00	#0.00	#0.00	0.30	99.58			1.00	0.00	0.00	0.00	0.35	0.00	0.01	1.63	0.00	0.00	0.00	0.01	3.00	82.00						
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	OL 5	core	41.23	0.03	0.04	9.73	0.13	48.57	0.13	0.01	#0.00	0.09	0.00	99.95			1.01	0.00	0.00	0.00	0.20	0.00	0.00	1.77	0.00	0.00	0.00	0.00	2.99	90.00						
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	OL 5	core	41.24	0.00	0.05	10.20	0.13	48.49	0.13	0.04	#0.00	0.09	0.00	100.37			1.01	0.00	0.00	0.00	0.21	0.00	0.00	1.77	0.00	0.00	0.00	0.00	2.99	89.00						
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	OL 5	core	41.36	0.04	0.03	9.72	0.15	48.83	0.15	0.04	#0.00	0.06	0.00	100.36			1.01	0.00	0.00	0.00	0.20	0.00	0.00	1.77	0.00	0.00	0.00	0.00	2.99	90.00						
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	OL 5	core	41.24	0.03	0.05	9.83	0.13	48.71	0.14	0.02	#0.00	0.05	0.00	100.20			1.01	0.00	0.00	0.00	0.20	0.00	0.00	1.77	0.00	0.00	0.00	0.00	2.99	90.00						
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	OL 6	core	39.35	0.00	0.00	15.72	0.20	43.48	0.17	#0.00	#0.00	#0.00	0.42	99.32			1.00	0.00	0.00	0.00	0.33	0.00	0.00	1.65	0.00	0.00	0.00	0.01	3.00	83.00						
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	OL 6	core	39.41	0.00	0.00	15.96	0.25	43.68	0.17	#0.00	#0.00	#0.00	0.39	99.87			1.00	0.00	0.00	0.00	0.34	0.00	0.01	1.65	0.00	0.00	0.00	0.01	3.00	83.00						
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	OL 6	rim	38.90	0.00	0.00	19.21	0.22	41.27	0.17	#0.00	#0.00	#0.00	0.22	100.00			1.00	0.00	0.00	0.00	0.41	0.00	0.00	1.58	0.00	0.00	0.00	0.00	3.00	79.00						
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	OL 6	rim	39.40	0.00	0.00	15.73	0.22	43.77	0.18	#0.00	#0.00	#0.00	0.42	99.71			1.00	0.00	0.00	0.00	0.33	0.00	0.00	1.65	0.00	0.00	0.00	0.01	3.00	83.00						
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	OL 7	core	41.46	0.00	0.00	5.87	0.04	51.61	0.11	#0.00	#0.00	#0.00	0.40	99.49			1.00	0.00	0.00	0.00	0.12	0.00	0.00	1.86	0.00	0.00	0.00	0.01	3.00	94.00						
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	OL 7	core	38.42	0.00	0.00	5.70	0.10	48.29	0.17	#0.00	#0.00	#0.00	0.40	93.08			1.00	0.00	0.00	0.00	0.12	0.00	0.00	1.87	0.00	0.00	0.00	0.01	3.00	94.00						
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	OL 7	core	41.48	0.00	0.00	5.80	0.07	51.62	0.11	#0.00	#0.00	#0.00	0.39	99.46			1.00	0.00	0.00	0.00	0.12	0.00	0.00	1.86	0.00	0.00	0.00	0.01	3.00	94.00						
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	OL 7	core	41.35	0.00	0.00	6.03	0.09	52.14	0.10	#0.00	#0.00	#0.00	0.40	100.11			1.00	0.00	0.00	0.00	0.12	0.00	0.00	1.87	0.00	0.00	0.00	0.01	3.00	94.00						
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	OL 8	core, surr. by OPX	40.77	0.05	0.04	12.40	0.26	46.98	0.13	#0.00	#0.00	0.05	#0.00	100.68			1.00	0.00	0.00	0.00	0.26	0.00	0.01	1.72	0.00	0.00	0.00	0.00	2.99	87.00						
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	OL 8	core, surr. by OPX	40.83	0.03	0.04	12.64	0.26	46.85	0.13	0.02	#0.00	0.03	#0.00	100.82			1.00	0.00	0.00	0.00	0.26	0.00	0.01	1.72	0.00	0.00	0.00	0.00	2.99	87.00						
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	OL 8	core, surr. by OPX	40.71	0.00	0.05	12.36	0.14	46.96	0.15	#0.00	#0.00	0.03	#0.00	100.41			1.00	0.00	0.00	0.00	0.25	0.00	0.00	1.73	0.00	0.00	0.00	0.00	2.99	87.00						
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	OL 8	core, surr. by OPX	40.86	0.02	0.05	12.25	0.15	46.87	0.11	0.01	#0.00	0.04	#0.00	100.37			1.01	0.00	0.00	0.00	0.25	0.00	0.00	1.72	0.00	0.00	0.00	0.00	2.99	87.00						
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	OL 8	core, surr. by OPX	40.90	0.01	0.05	12.64	0.22	46.75	0.15	0.03	#0.00	0.09	#0.00	100.83			1.01	0.00	0.00	0.00	0.26	0.00	0.00	1.71	0.00	0.00	0.00	0.00	2.99	87.00						
Pukeonake	hdl:10273/IELEG0005	NZ11	Pukeonake	-39.144782	175.566633	OL 1	matrix	40.01	0.04	0.02	14.96	0.20	44.99	0.17	0.02	0.01	0.05		100.47			1.00	0.00	0.00	0.00	0.31	0.00	0.00	1.68	0.00	0.00	0.00		3.00	84.00						
Pukeonake	hdl:10273/IELEG0005	NZ11	Pukeonake	-39.144782	175.566633	OL 2	matrix	40.15	0.00	0.04	15.13	0.20	45.09	0.18	0.02	0.00	0.02		100.83			1.00	0.00	0.00	0.00	0.31	0.00	0.00	1.67	0.00	0.00	0.00		3.00	84.00						
Pukeonake	hdl:10273/IELEG0005	NZ11	Pukeonake	-39.144782	175.566633	OL 3	matrix	39.96	0.00	0.00	15.49	0.20	44.83	0.18	0.02	0.01	0.01		100.71			1.00	0.00	0.00	0.00	0.32	0.00	0.00	1.67	0.00	0.00	0.00		3.00	84.00						
Pukeonake	hdl:10273/IELEG0005	NZ11	Pukeonake	-39.144782	175.566633	OL 4	matrix	39.62	0.01	0.04	17.21	0.21	43.39	0.22	0.01	0.03	0.01		100.74			1.00	0.00	0.00	0.00	0.36	0.00	0.00	1.63	0.01	0.00	0.00		3.00	82.00						
Pukeonake	hdl:10273/IELEG0006	NZ12	Pukeonake	-39.144856	175.566722	OL 1	matrix	39.83	0.02	0.02	16.27	0.28	44.47	0.19	0.01	0.01	0.03		101.13			1.00	0.00	0.00	0.00	0.34	0.00	0.01	1.66	0.00	0.00	0.00		3.00	83.00						
Pukeonake	hdl:10273/IELEG0006	NZ12	Pukeonake	-39.144856	175.566722	OL 2	matrix	38.27	0.03	0.03	24.69	0.31	37.58	0.24	0.01	0.01	#0.00		101.17			1.00	0.00	0.00	0.00	0.54	0.00	0.01	1.46	0.01	0.00	0.00		3.00	73.00						
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	PLAG 1	core	49.94	0.00	31.77	0.49	0.00	#0.00	14.52	2.93	0.13	#0.00	#0.00	99.79			2.28	0.00	1.71	0.00	0.02	0.00	0.00	0.00	0.71	0.26	0.01	0.00	4.99					73	27	1
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	PLAG 2	core	54.57	0.00	28.64	0.47	0.00	#0.00	11.24	4.82	0.34	#0.00	#0.00	100.08			2.47	0.00	1.52	0.00	0.02	0.00	0.00	0.00	0.54	0.42	0.02	0.00	4.99					55	43	2
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	PLAG 3	in matrix	57.15	0.23	25.15	1.08	0.04	0.21	9.22	5.07	0.89	#0.00	#0.00	99.17			2.60	0.01	1.35	0.00	0.04	0.00	0.00	0.01	0.45	0.45	0.05	0.00	4.96					47	47	5
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	PLAG 4	core	58.26	0.00	16.59	4.52	0.00	#0.00	5.39	4.41	4.79	#0.00	#0.00	93.96			2.86	0.00	0.96	0.00	0.19	0.00	0.00	0.00	0.28	0.42	0.30	0.00	5.02					28	42	30
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	PLAG 5	core	59.47	1.00	18.66	3.30	0.10	1.35	8.03	4.61	2.87	#0.00	#0.00	99.96			2.74	0.03	1.01	0.00	0.13	0.00	0.00	0.09	0.40	0.41	0.17	0.00	5.00					41	42	17
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	PLAG 6	core	59.39	1.09	18.55	3.27	0.07	1.27	8.14	4.78	1.88	#0.00	#0.00	99.06			2.75	0.04	1.01	0.00	0.13	0.00	0.00	0.09	0.40	0.43	0.11	0.00	4.97					43	45	12
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	PLAG 7	core	50.94	0.00	31.06	0.55	0.00	#0.00	13.96	3.30	0.17	#0.00	#0.00	99.98			2.32	0.00	1.67	0.00	0.02	0.00	0.00	0.00	0.68	0.29	0.01	0.00	4.99					69	30	1
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	PLAG 8	core	50.84	0.00	31.17	0.44	0.00	#0.00	14.33	3.19	0.18	#0.00	#0.00	100.15			2.31	0.00	1.67	0.00	0.02	0.00	0.00	0.00	0.70	0.28	0.01	0.00	4.99					71	28	1
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	PLAG 9	core	53.37	0.00	29.33	0.50	0.00	#0.00	12.16	4.16	0.22	#0.00	#0.00	99.74			2.42	0.00	1.57	0.00	0.02	0.00	0.00	0.00	0.59	0.37	0.01	0.00	4.98					61	38	1
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	PLAG 10	core	50.98	0.00	31.12	0.52	0.00	#0.00	14.09	3.33	0.19	#0.00	#0.00	100.22			2.32	0.00	1.67	0.00	0.02	0.00	0.00	0.00	0.69	0.29	0.01	0.00	5.00					69	30	1
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	PLAG 11	core	50.36	0.02	31.10	0.52	0.00	0.17	14.76	2.96	0.16	#0.00	#0.00	100.06			2.30	0.00	1.67	0.00	0.02	0.00	0.00	0.01	0.72	0.26	0.01	0.00	5.00					73	26	1
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	PLAG 12	core	60.51	0.71	20.51	3.62	0.05	0.38	3.65	5.48	3.60	#0.00	#0.00	99.08			2.78	0.02	1.11	0.00	0.14	0.00	0.00	0.03	0.18	0.49	0.21	0.00	4.98					20	56	24
Pukeonake	hdl:10273/IELEG0004	NZ9	Pukeonake	-39.145109	175.565720	PLAG 1	core	54.91	0.06	29.16	0.54	0.04	0.08	11.03	4.82	0.47	0.00		101.10			2.46	0.00	1.54	0.00	0.02	0.00	0.00	0.01	0.53	0.42	0.03		5.00					54	43	3
Pukeonake	hdl:10273/IELEG0004	NZ9	Pukeonake	-39.145109	175.565720	PLAG 1	rim	56.96	0.07	28.16	0.49	0.00	0.07	9.99	5.21	0.68	0.02		101.65			2.52	0.00	1.47	0.00	0.02	0.00	0.00	0.00	0.47	0.45	0.04		4.98					49	47	4
Pukeonake	hdl:10273/IELEG0004	NZ9	Pukeonake	-39.145109	175.565720	PLAG 2	matrix	58.02	0.06	26.57	0.42	0.00	0.09	9.87	4.96	0.93			100.98			2.58	0.00	1.39	0.00	0.02	0.00	0.01	0.00	0.47	0.43	0.05		4.95					49	45	6
Pukeonake	hdl:10273/IELEG0004	NZ9	Pukeonake	-39.145109	175.565720	PLAG 3	matrix	56.58	0.06	26.38	0.41	0.04	0.11	9.89	4.78	0.94			99.19			2.57	0.00	1.41	0.00	0.02	0.00	0.01	0.00	0.48	0.42	0.05		4.96					50	44	6
Pukeonake	hdl:10273/IELEG0004	NZ9	Pukeonake	-39.145109	175.565720	PLAG 4	matrix	55.80	0.03	27.52	0.44	0.03	0.15	11.08	4.17	1.08			100.32			2.51	0.00	1.46	0.00	0.02	0.00	0.01	0.00	0.53	0.36	0.06		4.97					56	38	6
Pukeonake	hdl:10273/IELEG0004	NZ9	Pukeonake	-39.145109	175.565720	PLAG 5	matrix	55.51	0.09	28.12	0.53	0.00	0.09	11.88	4.10	0.68			101.03			2.49	0.00	1.48	0.00	0.02	0.00	0.01	0.00	0.57	0.36	0.04		4.96					59	37	4
Pukeonake	hdl:10273/IELEG0004	NZ9	Pukeonake	-39.145109	175.565720	PLAG 5	matrix	55.88	0.07	26.02	0.55	0.01	0.11	9.76	4.96	0.75			98.18			2.56	0.00	1.41	0.00	0.02	0.00	0.01	0.00	0.48	0.44	0.04		4.97					50	46	5
Pukeonake	hdl:10273/IELEG0004	NZ9	Pukeonake	-39.145109	175.565720	PLAG 6	matrix	56.27	0.09	25.97	0.56	0.00	0.09	9.95	5.02	0.73			98.75			2.57	0.00	1.40	0.00	0.02	0.00	0.01	0.00	0.49	0.44	0.04		4.97					50	46	4
Pukeonake	hdl:10273/IELEG0004	NZ9	Pukeonake	-39.145109	175.565720	PLAG 6	matrix	55.88	0.07	26.28	0.55	0.03	0.10	10.25	4.72	0.73			98.73			2.55	0.00	1.42	0.00	0.02	0.00	0.01	0.00	0.50	0.42	0.04		4.96					52	43	4
Pukeonake	hdl:10273/IELEG0004	NZ9	Pukeonake	-39.145109	175.565720	PLAG 7	matrix	53.26	0.02	29.03	0.47	0.00	0.11	12.74	3.79	0.34			99.84			2.42	0.00	1.55	0.00	0.02	0.00	0.01	0.00	0.62	0.33	0.02		4.97					64	34	2
Pukeonake	hdl:10273/IELEG0004	NZ9	Pukeonake	-39.145109	175.565720	PLAG 8	matrix	57.24	0.07	26.91	0.72	0.00	0.12	10.33	4.79	0.66			100.90			2.56	0.00	1.42	0.00	0.03	0.00	0.01	0.00	0.49	0.42	0.04		4.96					52	44	4
Pukeonake	hdl:10273/IELEG0004	NZ9	Pukeonake	-39.145109	175.565720	PLAG 9	matrix	56.10	0.05	26.52	0.78	0.00	0.17	10.70	4.42	0.65			99.42			2.55	0.00	1.42	0.00	0.03	0.00	0.01	0.00	0.52	0.39	0.04		4.96					55	41	4
Pukeonake	hdl:10273/IELEG0004	NZ9	Pukeonake	-39.145109	175.565720	PLAG 10	matrix	54.94	0.08	27.64	0.68	0.00	0.10	11.38	4.31	0.60			99.78			2.49	0.00	1.48	0.00	0.03	0.00	0.01	0.00	0.55	0.38	0.03		4.97					57	39	4
Pukeonake	hdl:10273/IELEG0004	NZ9	Pukeonake	-39.145109	175.565720	PLAG 11	matrix	55.74	0.06	27.18	0.77	0.03	0.11	10.89	4.48	0.67			99.95			2.52	0.00	1.45	0.00	0.03	0.00	0.01	0.00	0.53	0.39	0.04		4.97					55	41	4
Pukeonake	hdl:10273/IELEG0004	NZ9	Pukeonake	-39.145109	175.565720	PLAG 12	matrix	56.89	0.22	24.49	1.66	0.01	0.28	9.49	4.40	1.18			98.75			2.61	0.01	1.32	0.00	0.06	0.00	0.02	0.00	0.47	0.39	0.07		4.95					50	42	7
Pukeonake	hdl:10273/IELEG0004	NZ9	Pukeonake	-39.145109	175.565720	PLAG 13	matrix	54.56	0.04	27.39	0.74	0.00	0.12	11.20	4.43	0.60			99.10			2.49	0.00	1.47	0.00	0.03	0.00	0.01	0.00	0.55	0.39	0.03		4.98					56	40	4
Pukeonake	hdl:10273/IELEG0005	NZ11	Pukeonake	-39.144782	175.566633	PLAG 1	core	57.57	0.06	27.94	0.56	0.10	0.08	9.95	5.11	0.68	0.00		102.05	7.10	0.01	2.54	0.00	1.45	0.00	0.02	0.00	0.00	0.01	0.47	0.44	0.04		4.97					50	46	4
Pukeonake	hdl:10273/IELEG0005	NZ11	Pukeonake	-39.144782	175.566633	PLAG 2	rim	56.61	0.07	28.38	0.50	0.02	0.09	10.14	5.21	0.63	0.00		101.64			2.51	0.00	1.48	0.00	0.02	0.00	0.00	0.01	0.48	0.45	0.04		4.99					50	46	4
Pukeonake	hdl:10273/IELEG0005	NZ11	Pukeonake	-39.144782	175.566633	PLAG 3	matrix	54.61	0.06	29.41	0.52	0.00	0.07	11.75	4.45	0.46	0.01		101.33			2.44	0.00	1.55	0.00	0.02	0.00	0.00	0.00	0.56	0.39	0.03		4.99					58	40	3
Pukeonake	hdl:10273/IELEG0005	NZ11	Pukeonake	-39.144782	175.566633	PLAG 4	matrix	55.22	0.02	27.18	0.75	0.01	0.10	10.99	4.49	0.55			99.33			2.51	0.00	1.46	0.00	0.03	0.00	0.01	0.00	0.54	0.40	0.03		4.97					56	41	3
Pukeonake	hdl:10273/IELEG0005	NZ11	Pukeonake	-39.144782	175.566633	PLAG 5	matrix	56.58	0.05	26.95	0.75	0.01	0.08	10.62	4.57	0.59			100.29			2.54	0.00	1.43	0.00	0.03	0.00	0.01	0.00	0.51	0.40	0.03		4.95					54	42	4
Pukeonake	hdl:10273/IELEG0005	NZ11	Pukeonake	-39.144782	175.566633	PLAG 6	matrix	56.04	0.07	27.53	0.92	0.02	0.10	11.31	4.43	0.49			100.91			2.51	0.00	1.45	0.00	0.03	0.00	0.01	0.00	0.54	0.38	0.03		4.97					57	40	3
