Event	IGSN	Sample label	Samp type	Latitude	Longitude	Mineral	Position	SiO2 [%]	TiO2 [%]	Al2O3 [%]	FeO [%]	MnO [%]	MgO [%]	CaO [%]	Na2O [%]	K2O [%]	Cr2O3 [%]	NiO [%]	Total [%]	δ18O [‰]	δ18O std dev [±]	Si [# of ions]	Ti [# of ions]	Al [# of ions]	Cr [# of ions]	Fe2+ [# of ions]	Fe3+ [# of ions]	Mn2+ [# of ions]	Mg [# of ions]	Ca [# of ions]	Na [# of ions]	K [# of ions]	Ni [# of ions]	Cat [#]	Mg#	En [%]	Fs [%]	Wo [%]	An [%]	Ab [%]	Or [%]
Pukeonake	hdl:10273/IELEG0004	NZ9	Pukeonake	-39.145109	175.565720	CPX 10	core	51.33	0.69	2.59	10.46	0.26	15.68	17.81	0.45	#0.00	0.17		99.44			1.92	0.02	0.11	0.00	0.33	0.00	0.01	0.87	0.71	0.03	0.00		4.02	72.00	45.00	17	37			
Pukeonake	hdl:10273/IELEG0004	NZ9	Pukeonake	-39.145109	175.565720	CPX 11	core	51.17	0.69	2.67	11.26	0.29	15.54	16.98	0.47	0.01	0.13		99.18			1.92	0.02	0.12	0.00	0.35	0.00	0.01	0.87	0.68	0.03	0.00		4.01	71.00	45.00	19	36			
Pukeonake	hdl:10273/IELEG0005	NZ11	Pukeonake	-39.144782	175.566633	CPX 1	core	51.95	0.64	2.16	9.94	0.22	15.63	18.42	0.40	#0.00	0.18		99.56	6.27		1.94	0.02	0.10	0.01	0.31	0.00	0.01	0.87	0.74	0.03	0.00		4.01	73.00	45.00	16	38			
Pukeonake	hdl:10273/IELEG0005	NZ11	Pukeonake	-39.144782	175.566633	CPX 1	rim	52.65	0.51	1.96	9.47	0.29	16.15	18.20	0.37	0.04	0.22		99.85			1.95	0.01	0.09	0.01	0.29	0.00	0.01	0.89	0.72	0.03	0.00		4.00	75.00	47.00	16	38			
Pukeonake	hdl:10273/IELEG0005	NZ11	Pukeonake	-39.144782	175.566633	CPX 2	rim	51.99	0.61	2.41	10.80	0.30	15.80	17.13	0.45	#0.00	0.12		99.61			1.94	0.02	0.11	0.00	0.34	0.00	0.01	0.88	0.68	0.03	0.00		4.01	72.00	46.00	18	36			
Pukeonake	hdl:10273/IELEG0005	NZ11	Pukeonake	-39.144782	175.566633	CPX 3	core	52.69	0.61	2.00	9.13	0.24	15.93	18.43	0.39	#0.00	0.17		99.57			1.95	0.02	0.09	0.00	0.28	0.00	0.01	0.88	0.73	0.03	0.00		4.00	75.00	46.00	15	38			
Pukeonake	hdl:10273/IELEG0005	NZ11	Pukeonake	-39.144782	175.566633	CPX 3	rim	53.22	0.30	3.48	5.02	0.16	18.28	18.62	0.44	0.01	0.56		100.08			1.93	0.01	0.15	0.02	0.15	0.00	0.00	0.99	0.72	0.03	0.00		4.00	86.00	53.00	8	39			
Pukeonake	hdl:10273/IELEG0005	NZ11	Pukeonake	-39.144782	175.566633	CPX 4	core	51.64	0.58	2.49	10.29	0.25	15.81	18.00	0.43	#0.00	0.08		99.57			1.93	0.02	0.11	0.00	0.32	0.00	0.01	0.88	0.72	0.03	0.00		4.02	73.00	46.00	17	37			
Pukeonake	hdl:10273/IELEG0005	NZ11	Pukeonake	-39.144782	175.566633	CPX 4	rim	52.34	0.48	3.04	6.03	0.21	17.29	20.00	0.27	#0.00	0.78		100.44			1.91	0.01	0.13	0.02	0.18	0.00	0.01	0.94	0.78	0.02	0.00		4.01	83.00	49.00	10	41			
Pukeonake	hdl:10273/IELEG0005	NZ11	Pukeonake	-39.144782	175.566633	CPX 5	core	52.10	0.57	2.45	9.63	0.21	15.88	18.42	0.40	0.01	0.12		99.80			1.93	0.02	0.11	0.00	0.30	0.00	0.01	0.88	0.73	0.03	0.00		4.01	74.00	46.00	16	38			
Pukeonake	hdl:10273/IELEG0005	NZ11	Pukeonake	-39.144782	175.566633	CPX 5	rim	51.63	0.66	2.73	11.15	0.32	15.62	16.97	0.44	#0.00	0.14		99.66			1.93	0.02	0.12	0.00	0.35	0.00	0.01	0.87	0.68	0.03	0.00		4.01	71.00	46.00	19	36			
Pukeonake	hdl:10273/IELEG0005	NZ11	Pukeonake	-39.144782	175.566633	CPX 6	core	52.61	0.58	2.14	9.48	0.26	16.13	18.13	0.42	#0.00	0.24		99.98			1.95	0.02	0.09	0.01	0.29	0.00	0.01	0.89	0.72	0.03	0.00		4.00	75.00	47.00	16	38			
Pukeonake	hdl:10273/IELEG0005	NZ11	Pukeonake	-39.144782	175.566633	CPX 6	rim	52.31	0.51	2.59	10.22	0.24	15.55	17.65	0.47	#0.00	0.19		99.73			1.94	0.01	0.11	0.01	0.32	0.00	0.01	0.86	0.70	0.03	0.00		4.00	73.00	46.00	17	37			
Pukeonake	hdl:10273/IELEG0005	NZ11	Pukeonake	-39.144782	175.566633	CPX 7	core	52.23	0.62	2.15	10.02	0.22	15.63	18.67	0.42	#0.00	0.21		100.17			1.94	0.02	0.09	0.01	0.31	0.00	0.01	0.86	0.74	0.03	0.00		4.01	73.00	45.00	17	39			
Pukeonake	hdl:10273/IELEG0005	NZ11	Pukeonake	-39.144782	175.566633	CPX 7	rim	51.46	0.72	2.78	10.92	0.31	15.37	17.29	0.47	0.02	0.20		99.54			1.92	0.02	0.12	0.01	0.34	0.00	0.01	0.86	0.69	0.03	0.00		4.01	71.00	45.00	18	36			
Pukeonake	hdl:10273/IELEG0005	NZ11	Pukeonake	-39.144782	175.566633	CPX 8	core	53.40	0.44	1.69	8.09	0.21	17.13	18.85	0.28	0.01	0.20		100.29			1.96	0.01	0.07	0.01	0.25	0.00	0.01	0.94	0.74	0.02	0.00		4.00	79.00	48.00	13	38			
Pukeonake	hdl:10273/IELEG0005	NZ11	Pukeonake	-39.144782	175.566633	CPX 8	rim	52.90	0.31	3.65	5.15	0.12	17.64	19.33	0.42	0.02	0.45		99.98			1.92	0.01	0.16	0.01	0.16	0.00	0.00	0.96	0.75	0.03	0.00		4.00	86.00	51.00	9	40			
Pukeonake	hdl:10273/IELEG0005	NZ11	Pukeonake	-39.144782	175.566633	CPX 9	core	52.01	0.71	2.32	9.98	0.17	15.36	18.63	0.41	#0.00	0.22		99.83			1.94	0.02	0.10	0.01	0.31	0.00	0.01	0.85	0.74	0.03	0.00		4.00	73.00	45.00	17	39			
Pukeonake	hdl:10273/IELEG0005	NZ11	Pukeonake	-39.144782	175.566633	CPX 9	rim	51.66	0.69	2.76	10.87	0.24	15.91	16.70	0.41	0.01	0.12		99.36			1.93	0.02	0.12	0.00	0.34	0.00	0.01	0.89	0.67	0.03	0.00		4.00	72.00	47.00	18	35			
Pukeonake	hdl:10273/IELEG0006	NZ12	Pukeonake	-39.144856	175.566722	CPX 1	core	52.57	0.54	2.19	9.55	0.20	16.67	17.15	0.44	#0.00	0.36		99.67	6.37	0.02	1.95	0.01	0.10	0.01	0.30	0.00	0.01	0.92	0.68	0.03	0.00		4.00	75.00	48.00	16	36			
Pukeonake	hdl:10273/IELEG0006	NZ12	Pukeonake	-39.144856	175.566722	CPX 1	rim	51.88	0.70	2.74	11.15	0.27	15.59	17.05	0.44	#0.00	0.11		99.92			1.93	0.02	0.12	0.00	0.35	0.00	0.01	0.86	0.68	0.03	0.00		4.00	71.00	46.00	19	36			
Pukeonake	hdl:10273/IELEG0006	NZ12	Pukeonake	-39.144856	175.566722	CPX 2	core	52.15	0.60	2.33	9.19	0.25	15.99	18.67	0.40	#0.00	0.20		99.77			1.94	0.02	0.10	0.01	0.29	0.00	0.01	0.88	0.74	0.03	0.00		4.01	75.00	46.00	15	39			
Pukeonake	hdl:10273/IELEG0006	NZ12	Pukeonake	-39.144856	175.566722	CPX 2	rim	52.60	0.52	2.31	7.04	0.14	16.94	19.88	0.27	#0.00	0.09		99.77			1.94	0.01	0.10	0.00	0.22	0.00	0.00	0.93	0.78	0.02	0.00		4.01	81.00	48.00	11	41			
