Latitude	Longitude	Depth LAB [km]
-14.25	34.25	184.9600
-14.25	35.00	128.8700
-14.25	35.75	139.1400
-14.25	36.50	149.9700
-14.25	37.25	137.9800
-14.25	38.00	149.6040
-15.00	26.00	235.3400
-15.00	26.75	220.7250
-15.00	27.50	207.3840
-15.00	28.25	196.3180
-15.00	29.00	187.7320
-15.00	29.75	179.3620
-15.00	30.50	164.8900
-15.00	31.25	167.7500
-15.00	32.00	177.9000
-15.00	32.75	174.4800
-15.00	33.50	168.5700
-15.00	34.25	183.1600
-15.00	35.00	154.1000
-15.00	35.75	120.1500
-15.00	36.50	134.0900
-15.00	37.25	120.0200
-15.00	38.00	120.7870
-15.75	26.00	248.7390
-15.75	26.75	228.2820
-15.75	27.50	209.4400
-15.75	28.25	193.7210
-15.75	29.00	182.3210
-15.75	29.75	175.2600
-15.75	30.50	170.9400
-15.75	31.25	179.9200
-15.75	32.00	196.1400
-15.75	32.75	144.0500
-15.75	33.50	151.4800
-15.75	34.25	132.5300
-15.75	35.00	119.5200
-15.75	35.75	115.4000
-15.75	36.50	154.2000
-15.75	37.25	122.7000
-15.75	38.00	127.5920
-16.50	26.00	260.8450
-16.50	26.75	232.5170
-16.50	27.50	205.8250
-16.50	28.25	182.8540
-16.50	29.00	167.0210
-16.50	29.75	164.3630
-16.50	30.50	181.3600
-16.50	31.25	182.9500
-16.50	32.00	162.0700
-16.50	32.75	128.9500
-16.50	33.50	143.9800
-16.50	34.25	119.2300
-16.50	35.00	139.1000
-16.50	35.75	172.6200
-16.50	36.50	137.1400
-16.50	37.25	173.6600
-16.50	38.00	178.9950
-17.25	26.00	271.9470
-17.25	26.75	233.6880
-17.25	27.50	196.1890
-17.25	28.25	160.5040
-17.25	29.00	128.2230
-17.25	29.75	101.4600
-17.25	30.50	82.3100
-17.25	31.25	86.0500
-17.25	32.00	134.0300
-17.25	32.75	161.8900
-17.25	33.50	178.5900
-17.25	34.25	142.7200
-17.25	35.00	162.2900
-17.25	35.75	166.7200
-17.25	36.50	159.1000
-17.25	37.25	183.0800
-17.25	38.00	203.8240
-18.00	26.00	282.5370
-18.00	26.75	233.2800
-18.00	27.50	183.6980
-18.00	28.25	133.8490
-18.00	29.00	84.8162
-18.00	29.75	40.7870
-18.00	30.50	13.9772
-18.00	31.25	31.3173
-18.00	32.00	100.8420
-18.00	32.75	162.1480
-18.00	33.50	188.9260
-18.00	34.25	173.5040
-18.00	35.00	177.4890
-18.00	35.75	175.8390
-18.00	36.50	178.5070
-18.00	37.25	198.1380
-18.00	38.00	223.2110
