Latitude	Longitude	Depth Moho [km]
-14.25	34.25	42.9000
-14.25	35.00	40.5900
-14.25	35.75	38.3200
-14.25	36.50	39.5300
-14.25	37.25	38.8900
-14.25	38.00	37.5104
-15.00	26.00	27.3814
-15.00	26.75	29.7283
-15.00	27.50	31.9480
-15.00	28.25	33.9299
-15.00	29.00	35.5873
-15.00	29.75	36.8351
-15.00	30.50	37.3900
-15.00	31.25	37.1600
-15.00	32.00	40.0500
-15.00	32.75	40.5800
-15.00	33.50	40.1300
-15.00	34.25	40.8000
-15.00	35.00	42.2600
-15.00	35.75	44.5100
-15.00	36.50	39.0600
-15.00	37.25	39.6600
-15.00	38.00	39.3589
-15.75	26.00	28.0510
-15.75	26.75	30.6768
-15.75	27.50	33.1033
-15.75	28.25	35.1152
-15.75	29.00	36.5149
-15.75	29.75	37.3295
-15.75	30.50	38.1300
-15.75	31.25	37.1100
-15.75	32.00	41.2800
-15.75	32.75	37.7000
-15.75	33.50	39.4800
-15.75	34.25	43.6200
-15.75	35.00	42.7200
-15.75	35.75	41.6800
-15.75	36.50	39.0300
-15.75	37.25	39.9700
-15.75	38.00	40.0198
-16.50	26.00	28.8335
-16.50	26.75	31.9018
-16.50	27.50	34.7389
-16.50	28.25	37.0297
-16.50	29.00	38.3140
-16.50	29.75	38.0636
-16.50	30.50	36.9300
-16.50	31.25	47.3100
-16.50	32.00	45.3800
-16.50	32.75	39.6200
-16.50	33.50	39.3550
-16.50	34.25	44.6300
-16.50	35.00	41.8800
-16.50	35.75	41.8900
-16.50	36.50	36.0000
-16.50	37.25	37.0800
-16.50	38.00	39.2150
-17.25	26.00	29.6564
-17.25	26.75	33.3414
-17.25	27.50	36.8533
-17.25	28.25	39.9437
-17.25	29.00	42.2957
-17.25	29.75	43.6216
-17.25	30.50	43.4300
-17.25	31.25	34.9600
-17.25	32.00	38.3200
-17.25	32.75	38.2500
-17.25	33.50	42.2700
-17.25	34.25	43.6800
-17.25	35.00	43.3200
-17.25	35.75	45.3400
-17.25	36.50	38.8900
-17.25	37.25	40.9000
-17.25	38.00	41.9156
-18.00	26.00	30.4498
-18.00	26.75	34.8221
-18.00	27.50	39.0518
-18.00	28.25	42.8559
-18.00	29.00	45.6710
-18.00	29.75	46.3715
-18.00	30.50	42.8375
-18.00	31.25	33.1234
-18.00	32.00	33.6688
-18.00	32.75	36.7466
-18.00	33.50	41.7374
-18.00	34.25	43.9345
-18.00	35.00	45.1586
-18.00	35.75	46.4159
-18.00	36.50	43.2216
-18.00	37.25	43.8759
-18.00	38.00	44.5732
