Depth [m]	Age [ka BP]	Placoliths small [%]	Placoliths small acc rate [10**6 #/cm**2/ka]	G. muellerae [%]	G. muellerae acc rate [10**6 #/cm**2/ka]	G. oceanica [%]	G. oceanica acc rate [10**6 #/cm**2/ka]	F. profunda [%]	F. profunda acc rate [10**6 #/cm**2/ka]	Cocco rew [%]	Cocco rew acc rate [10**6 #/cm**2/ka]	E. huxleyi [%]	E. huxleyi acc rate [10**6 #/cm**2/ka]	Helicosphaera spp. [%]	Helicosphaera spp. acc rate [10**6 #/cm**2/ka]	Syracosphaera spp. [%]	Syracosphaera spp. acc rate [10**6 #/cm**2/ka]	O. fragilis [%]	Oolithotus fragilis acc rate [10**6 #/cm**2/ka]	Umbellosphaera spp. [%]	Umbellosphaera spp. acc rate [10**6 #/cm**2/ka]	Acc rate cocco [10**6 #/cm**2/ka]
0.68	9.39	90.05	447155.98	0.94	4687.17	2.83	14061.51	0.00	0.00	1.59	7874.44	0.00	0.00	0.00	0.00	2.27	11249.21	0.08	374.97	0.11	562.46	1162315.30
0.70	9.48	88.86	339890.20	1.14	4373.59	5.06	19368.74	0.49	1874.39	0.47	1780.67	0.00	0.00	0.16	624.80	1.80	6872.78	0.17	656.04	0.02	93.72	895336.68
0.72	9.57	96.78	378678.96	0.31	1229.48	0.31	1229.48	1.10	4303.17	0.00	0.00	0.00	0.00	0.00	0.00	0.63	2458.95	0.02	92.21	0.07	276.63	915887.63
0.74	9.65	88.00	482286.68	0.66	3633.04	4.64	25431.31	0.66	3633.04	1.04	5722.05	0.00	0.00	0.33	1816.52	1.82	9990.87	0.13	726.61	0.10	544.96	1282830.76
0.76	9.74	91.80	537532.20	0.48	2785.14	2.54	14854.08	0.16	928.38	1.71	10026.51	0.00	0.00	0.32	1856.76	1.74	10212.18	0.14	835.54	0.08	464.19	1370572.67
0.78	9.83	83.33	261903.65	0.20	617.70	6.88	21619.40	0.20	617.70	1.62	5096.00	0.00	0.00	0.39	1235.39	2.36	7412.37	0.29	926.55	0.12	370.62	735658.24
0.80	9.92	96.29	398786.75	0.15	630.99	0.46	1892.98	0.61	2523.97	0.30	1261.98	0.00	0.00	0.00	0.00	1.83	7571.90	0.00	0.00	0.07	283.95	969421.05
0.82	10.01	96.13	351094.11	0.68	2485.62	0.51	1864.22	1.19	4349.84	0.17	621.41	0.00	0.00	0.00	0.00	1.02	3728.43	0.00	0.00	0.03	93.21	854911.29
0.84	10.05	97.07	181107.34	0.20	371.88	0.00	0.00	1.20	2231.30	0.00	0.00	0.20	371.88	0.00	0.00	0.80	1487.53	0.00	0.00	0.27	502.04	218664.77
0.86	10.09	98.16	350332.93	0.17	609.27	0.00	0.00	0.85	3046.37	0.00	0.00	0.00	0.00	0.00	0.00	0.51	1827.82	0.00	0.00	0.20	731.13	418302.14
0.88	10.14	97.64	337755.38	0.54	1852.41	0.00	0.00	0.54	1852.41	0.25	864.46	0.00	0.00	0.00	0.00	0.71	2469.87	0.05	185.24	0.00	0.00	405401.79
0.90	10.18	93.47	892903.71	0.77	7379.37	1.35	12913.90	1.16	11069.05	0.19	1844.84	0.00	0.00	0.19	1844.84	1.54	14758.74	0.02	184.48	0.14	1291.39	1119563.99
0.92	10.23	96.72	533573.80	0.51	2798.46	0.00	0.00	0.51	2798.46	0.00	0.00	0.00	0.00	0.00	0.00	1.69	9328.21	0.00	0.00	0.14	746.26	646557.86
0.94	10.27	95.19	388730.43	0.18	749.00	0.37	1498.00	1.65	6740.99	0.18	749.00	0.00	0.00	0.00	0.00	1.65	6740.99	0.05	187.25	0.28	1123.50	478635.02
0.96	10.31	96.84	411956.04	0.35	1495.30	0.18	747.65	1.05	4485.91	0.18	747.65	0.00	0.00	0.00	0.00	0.88	3738.26	0.00	0.00	0.31	1308.39	498584.94
0.98	10.36	89.56	445284.20	0.38	1886.80	1.52	7547.19	1.33	6603.79	2.77	13773.62	0.00	0.00	0.19	943.40	1.71	8490.59	0.11	566.04	0.11	566.04	582684.57
1.00	10.40	95.40	342192.61	0.17	626.73	0.17	626.73	2.27	8147.44	0.17	626.73	0.00	0.00	0.00	0.00	0.70	2506.91	0.05	188.02	0.42	1504.14	168897.74
1.02	10.45	89.78	980397.22	1.55	16968.41	2.42	26395.31	0.52	5656.14	0.83	9049.82	0.00	0.00	0.17	1885.38	2.94	32051.45	0.07	754.15	0.03	377.08	514220.49
1.04	10.49	92.76	1026294.91	0.99	10996.02	2.15	23824.70	0.99	10996.02	1.61	17776.89	0.00	0.00	0.00	0.00	0.99	10996.02	0.03	366.53	0.08	916.33	520987.65
1.06	10.53	91.89	889855.17	0.77	7462.10	2.70	26117.34	0.00	0.00	0.69	6715.89	0.19	1865.52	0.00	0.00	3.08	29848.39	0.10	932.76	0.06	559.66	456009.70
1.08	10.58	89.06	615694.37	2.87	19861.11	2.33	16137.15	0.72	4965.28	0.33	2296.44	0.00	0.00	0.36	2482.64	3.23	22343.75	0.08	558.59	0.16	1117.19	325523.86
1.10	10.62	87.10	798804.93	1.40	12854.33	2.60	23872.33	0.20	1836.33	2.22	20383.30	0.00	0.00	0.60	5509.00	4.00	36726.66	0.16	1469.07	0.02	183.63	431839.26
1.12	10.67	90.74	652643.85	0.86	6203.84	2.24	16129.98	0.00	0.00	1.16	8313.14	0.00	0.00	0.00	0.00	3.28	23574.59	0.08	558.35	0.16	1116.69	338671.34
1.14	10.71	88.25	545846.84	0.75	4633.67	3.45	21314.90	0.60	3706.94	1.02	6301.80	0.45	2780.20	0.00	0.00	3.15	19461.43	0.18	1112.08	0.30	1853.47	291248.58
1.16	10.75	91.78	570322.68	0.40	2468.93	2.19	13579.11	0.20	1234.46	1.07	6666.11	0.00	0.00	0.60	3703.39	1.99	12344.65	0.00	0.00	0.12	740.68	292626.72
1.18	10.80	89.90	655074.10	1.02	7429.95	2.21	16098.23	0.34	2476.65	1.09	7925.28	0.00	0.00	0.85	6191.63	2.89	21051.53	0.03	185.75	0.03	185.75	343136.11
1.20	10.84	91.54	659813.49	0.17	1254.40	2.26	16307.18	1.04	7526.39	0.94	6773.75	0.00	0.00	0.17	1254.40	2.26	16307.18	0.08	564.48	0.10	752.64	339408.85
1.24	11.00	89.91	146324.67	0.35	561.71	3.62	5897.92	0.69	1123.41	0.52	842.56	0.17	280.85	0.52	842.56	2.07	3370.24	0.09	140.43	0.04	70.21	205665.73
1.26	11.12	91.11	217987.20	0.58	1391.41	2.91	6957.04	0.00	0.00	1.12	2690.05	0.00	0.00	0.19	463.80	2.33	5565.63	0.00	0.00	0.12	278.28	265028.38
1.28	11.24	94.72	163259.89	0.00	0.00	1.15	1977.20	0.33	564.91	0.41	706.14	0.00	0.00	0.33	564.91	1.47	2542.11	0.04	70.61	0.16	282.46	190939.26
1.30	11.36	91.96	193577.07	0.50	1044.48	2.65	5570.56	0.50	1044.48	2.05	4317.19	0.00	0.00	0.17	348.16	0.66	1392.64	0.13	278.53	0.13	278.53	233175.58
1.32	11.47	90.60	216898.97	1.18	2822.98	2.95	7057.45	0.39	940.99	1.06	2540.68	0.00	0.00	0.00	0.00	1.77	4234.47	0.06	141.15	0.12	282.30	265205.27
1.34	11.59	87.22	199606.09	0.77	1757.10	4.30	9839.74	0.31	702.84	1.90	4357.60	0.00	0.00	0.46	1054.26	1.84	4217.03	0.15	351.42	0.09	210.85	253498.65
1.36	11.71	90.31	140266.31	2.16	3359.67	2.34	3639.64	0.54	839.92	1.22	1889.82	0.00	0.00	0.18	279.97	0.90	1399.86	0.14	209.98	0.00	0.00	172047.66
1.38	11.83	88.22	216899.41	1.54	3788.64	2.70	6630.11	0.39	947.16	2.49	6132.85	0.00	0.00	0.00	0.00	2.31	5682.95	0.09	213.11	0.23	568.30	272346.35
1.40	11.95	91.12	166514.25	0.77	1411.14	3.28	5997.34	0.39	705.57	1.27	2328.38	0.00	0.00	0.58	1058.35	1.54	2822.28	0.04	70.56	0.08	141.11	202430.05
1.42	12.06	89.85	153212.32	1.87	3185.89	1.87	3185.89	0.68	1158.51	2.46	4199.58	0.00	0.00	0.17	289.63	0.51	868.88	0.00	0.00	0.17	289.63	188888.16
1.44	12.18	92.24	225129.36	0.60	1452.45	2.58	6293.94	0.20	484.15	2.18	5325.64	0.00	0.00	0.40	968.30	0.40	968.30	0.09	217.87	0.06	145.24	270353.30
1.46	12.30	92.74	248743.92	1.07	2875.65	1.25	3354.93	0.36	958.55	1.50	4025.91	0.00	0.00	0.71	1917.10	1.07	2875.65	0.05	143.78	0.00	0.00	297123.79
1.48	12.42	94.01	197764.24	1.52	3201.22	0.85	1778.46	0.68	1422.76	0.98	2063.01	0.17	355.69	0.51	1067.07	0.51	1067.07	0.00	0.00	0.03	71.14	233018.34
1.50	12.54	88.37	221587.51	1.34	3357.39	1.93	4849.56	0.15	373.04	1.96	4924.17	0.00	0.00	0.89	2238.26	3.72	9326.07	0.09	223.83	0.09	223.83	277774.99
1.52	12.65	90.95	207634.11	1.59	3623.63	1.11	2536.54	0.32	724.73	1.52	3478.69	0.32	724.73	1.27	2898.91	1.75	3986.00	0.00	0.00	0.03	72.47	252883.45
1.54	12.77	93.18	128792.10	2.86	3947.65	0.54	740.18	0.00	0.00	0.73	1011.59	0.00	0.00	1.43	1973.83	0.89	1233.64	0.05	74.02	0.00	0.00	153107.91
1.56	12.89	92.19	159750.16	1.74	3008.48	0.52	902.54	0.52	902.54	1.95	3384.54	0.17	300.85	0.69	1203.39	1.39	2406.78	0.00	0.00	0.04	75.21	191957.49
1.58	12.98	91.55	206084.16	3.40	7646.91	1.02	2294.07	0.34	764.69	0.93	2102.90	0.51	1147.04	0.68	1529.38	0.85	1911.73	0.00	0.00	0.04	95.59	177297.65
1.60	13.07	93.48	265364.87	1.19	3371.24	0.68	1926.42	0.17	481.61	0.78	2215.39	0.34	963.21	1.36	3852.85	1.19	3371.24	0.03	96.32	0.03	96.32	223572.40
1.62	13.17	89.63	221129.80	3.64	8985.84	1.27	3125.51	0.32	781.38	1.03	2539.48	0.48	1172.07	0.32	781.38	1.43	3516.20	0.04	97.67	0.12	293.02	194321.30
1.64	13.26	90.77	234058.23	2.23	5755.53	1.49	3837.02	0.30	767.40	1.45	3741.09	0.89	2302.21	0.60	1534.81	0.89	2302.21	0.00	0.00	0.04	95.93	203085.80
1.66	13.35	87.76	202137.73	3.03	6985.32	0.38	873.17	0.76	1746.33	1.82	4191.19	2.84	6548.74	0.38	873.17	1.14	2619.50	0.04	87.32	0.15	349.27	181420.93
1.68	13.44	90.22	141002.18	2.36	3688.19	1.27	1985.95	0.36	567.41	2.56	4000.26	0.36	567.41	0.00	0.00	0.91	1418.53	0.00	0.00	0.05	85.11	123100.10
1.70	13.53	87.19	162892.76	3.69	6887.64	1.66	3099.44	0.00	0.00	2.40	4476.97	1.47	2755.06	0.18	344.38	1.29	2410.68	0.14	258.29	0.09	172.19	147148.76
1.72	13.63	83.15	97812.05	5.53	6506.81	1.78	2098.97	0.71	839.59	3.07	3610.23	2.32	2728.66	0.18	209.90	0.54	629.69	0.29	335.84	0.29	335.84	92644.74
1.74	13.72	85.50	95572.92	3.80	4247.69	1.71	1911.46	0.19	212.38	3.28	3661.10	1.52	1699.07	0.19	212.38	1.71	1911.46	0.07	80.91	0.36	404.54	88043.93
1.76	13.77	89.76	141462.64	2.08	3283.47	0.35	547.24	0.35	547.24	2.43	3830.71	0.87	1368.11	0.17	273.62	1.22	1915.35	0.17	273.62	0.35	547.24	150616.71
1.78	13.83	86.63	149719.66	2.40	4139.71	1.40	2414.83	0.20	344.98	5.11	8831.39	0.80	1379.90	0.20	344.98	0.80	1379.90	0.00	0.00	0.16	275.98	165168.14
1.80	13.89	85.98	149834.81	1.74	3039.25	1.74	3039.25	0.00	0.00	5.13	8935.38	0.87	1519.62	0.35	607.85	2.27	3951.02	0.00	0.00	0.08	136.77	166541.68
1.82	13.95	86.45	202560.33	2.14	5018.39	0.97	2281.08	0.39	912.43	2.96	6934.50	1.75	4105.95	0.78	1824.87	2.53	5930.82	0.12	273.73	0.06	136.87	223921.55
1.84	14.01	84.98	182369.80	3.69	7911.92	1.84	3955.96	0.74	1582.38	3.36	7219.63	2.03	4351.56	0.37	791.19	1.11	2373.58	0.19	415.38	0.19	415.38	205093.17
1.86	14.06	86.35	236806.36	2.18	5977.64	0.67	1839.27	0.34	919.64	4.38	12001.25	2.85	7816.91	0.00	0.00	1.01	2758.91	0.00	0.00	0.15	413.84	262073.58
1.88	14.12	86.32	131947.74	2.49	3800.96	0.53	814.49	0.53	814.49	3.02	4615.46	2.13	3257.97	0.71	1085.99	0.71	1085.99	0.09	135.75	0.44	678.74	146074.20
1.90	14.18	83.91	209552.13	3.30	8235.67	0.37	915.07	1.47	3660.30	3.50	8738.96	1.83	4575.37	0.55	1372.61	2.20	5490.45	0.11	274.52	0.22	549.04	238648.99
1.92	14.24	85.55	243129.33	2.52	7167.08	1.36	3859.20	1.36	3859.20	1.99	5650.97	2.91	8269.71	0.19	551.31	1.75	4961.82	0.15	413.49	0.24	689.14	271598.20
1.94	14.29	85.64	131660.95	1.76	2711.55	1.18	1807.70	0.59	903.85	3.11	4775.35	2.16	3314.12	0.59	903.85	0.98	1506.42	0.18	271.16	0.26	406.73	146926.65
1.96	14.35	85.53	209724.81	1.51	3695.59	3.20	7853.13	0.38	923.90	3.30	8084.11	1.32	3233.64	0.19	461.95	1.70	4157.54	0.23	554.34	0.17	415.75	234328.08
1.98	14.41	82.51	234519.05	3.29	9336.82	1.35	3844.57	0.97	2746.12	5.02	14279.85	1.35	3844.57	0.19	549.22	1.35	3844.57	0.29	823.84	0.00	0.00	271618.95
2.00	14.47	81.94	182283.19	2.24	4975.47	3.25	7237.05	0.20	452.32	6.14	13659.93	0.41	904.63	0.00	0.00	0.81	1809.26	0.24	542.78	0.31	678.47	212583.50
2.02	14.52	87.42	85845.87	0.98	960.24	0.39	384.10	1.76	1728.44	2.41	2362.20	0.00	0.00	0.39	384.10	0.20	192.05	0.68	672.17	0.14	134.43	93839.81
2.04	14.58	80.40	198854.72	2.64	6519.83	5.05	12496.34	0.88	2173.28	4.50	11138.04	1.98	4889.87	0.22	543.32	2.20	5433.19	0.49	1222.47	0.11	271.66	236376.46
2.06	14.64	82.74	171169.54	2.61	5409.42	1.12	2318.32	0.75	1545.55	4.90	10142.66	1.87	3863.87	0.19	386.39	1.31	2704.71	0.72	1487.59	0.39	811.41	197697.22
2.08	14.70	81.01	137932.55	2.28	3889.64	4.74	8078.48	0.70	1196.81	4.08	6941.51	2.28	3889.64	0.70	1196.81	1.05	1795.22	0.16	269.28	0.16	269.28	162710.56
2.10	14.76	86.18	150131.42	2.91	5072.01	1.36	2366.94	1.55	2705.07	3.92	6830.30	1.75	3043.20	0.19	338.13	1.16	2028.80	0.00	0.00	0.31	541.01	166480.71
2.12	14.81	82.33	206487.06	4.85	12172.82	1.62	4057.61	0.36	901.69	5.23	13119.59	1.44	3606.76	0.54	1352.54	1.08	2705.07	0.16	405.76	0.11	270.51	239682.25
2.16	14.93	82.64	163880.40	2.55	5048.45	1.37	2718.40	0.98	1941.71	5.60	11106.59	1.37	2718.40	0.39	776.68	1.17	2330.05	0.21	407.76	0.34	679.60	189512.28
2.18	14.99	84.52	128298.74	1.17	1777.81	1.76	2666.72	1.37	2074.11	4.42	6711.24	0.20	296.30	0.20	296.30	1.56	2370.42	0.09	133.34	0.44	666.68	145063.55
2.20	15.04	78.07	116632.60	1.78	2664.20	0.59	888.07	0.99	1480.11	8.36	12492.12	0.40	592.04	0.59	888.07	2.38	3552.26	0.54	799.26	0.36	532.84	142762.28
2.22	15.10	81.83	119840.23	1.82	2663.12	0.20	295.90	1.41	2071.31	4.80	7027.67	0.81	1183.61	1.01	1479.51	2.42	3550.82	0.36	532.62	0.00	0.00	139961.44
2.24	15.16	81.26	130659.07	0.92	1474.71	0.18	294.94	1.28	2064.59	7.62	12254.82	0.37	589.88	0.55	884.82	3.12	5014.00	0.25	398.17	0.08	132.72	153656.63
2.26	15.22	81.34	124921.73	1.75	2683.28	0.00	0.00	0.39	596.29	6.06	9302.05	0.00	0.00	0.97	1490.71	3.69	5664.71	0.09	134.16	0.35	536.66	146776.71
2.28	15.27	80.70	89236.76	1.00	1107.16	0.00	0.00	2.40	2657.17	5.53	6111.50	0.00	0.00	1.00	1107.16	4.21	4650.05	0.00	0.00	0.00	0.00	105678.53
2.30	15.33	77.50	43663.29	2.27	1277.95	0.00	0.00	2.84	1597.44	5.67	3194.88	0.95	532.48	0.95	532.48	4.91	2768.89	0.00	0.00	0.00	0.00	53837.86
2.32	15.39	70.56	72768.56	2.00	2061.43	0.00	0.00	1.00	1030.72	7.54	7771.60	5.40	5565.87	2.60	2679.86	6.20	6390.44	0.13	133.99	0.00	0.00	98549.77
2.34	15.45	72.46	52494.80	0.38	277.75	0.38	277.75	1.34	972.13	9.03	6541.02	2.30	1666.50	2.49	1805.38	4.79	3471.88	0.00	0.00	0.18	131.93	69238.05
2.36	15.51	64.59	30256.94	0.58	273.41	0.39	182.27	2.14	1002.49	11.28	5285.85	5.25	2460.65	2.33	1093.62	6.81	3189.74	0.00	0.00	0.00	0.00	44766.12
2.38	15.56	64.05	53175.22	1.11	919.46	0.37	306.49	1.48	1225.94	6.50	5394.14	9.97	8275.11	2.03	1685.67	6.46	5363.50	0.00	0.00	0.17	137.92	79344.77
2.40	15.62	57.51	62792.78	1.35	1475.00	0.00	0.00	1.35	1475.00	6.24	6816.60	18.33	20017.83	2.12	2317.85	5.60	6110.71	0.13	136.96	0.00	0.00	104349.49
2.42	15.68	58.81	55100.13	2.53	2371.86	0.00	0.00	1.17	1094.70	9.59	8985.70	18.11	16967.92	2.34	2189.41	5.45	5108.62	0.00	0.00	0.00	0.00	89533.51
2.44	15.74	60.69	60634.63	2.30	2302.58	0.00	0.00	1.54	1535.05	8.95	8941.69	16.32	16309.95	2.30	2302.58	5.19	5180.81	0.00	0.00	0.00	0.00	95481.81
2.46	15.79	53.42	103337.55	5.16	9989.30	0.00	0.00	0.53	1033.38	7.44	14398.37	24.22	46846.36	1.25	2411.21	4.27	8267.00	0.00	0.00	0.00	0.00	184868.73
2.48	15.85	46.26	59931.83	6.77	8776.63	0.19	250.76	0.97	1253.80	6.52	8450.64	27.48	35608.04	1.16	1504.56	7.55	9779.67	0.00	0.00	0.00	0.00	123809.95
2.50	15.91	44.43	38745.73	4.17	3632.41	0.00	0.00	0.60	518.92	10.08	8786.98	28.76	25080.94	2.58	2248.64	5.55	4843.22	0.00	0.00	0.00	0.00	83344.73
2.52	15.97	46.61	36398.92	4.86	3791.55	0.00	0.00	0.78	606.65	9.79	7643.77	24.08	18806.11	3.50	2729.92	5.05	3943.22	0.00	0.00	0.00	0.00	74627.63
2.54	16.02	54.35	63798.65	2.36	2773.85	0.00	0.00	0.39	462.31	10.83	12713.50	14.77	17336.59	1.77	2080.39	9.06	10633.11	0.00	0.00	0.00	0.00	112174.60
2.56	16.08	63.81	55760.91	2.17	1898.98	0.00	0.00	0.79	690.54	11.02	9633.00	4.94	4315.86	2.17	1898.98	8.49	7423.28	0.00	0.00	0.00	0.00	83512.01
2.58	16.14	60.01	69139.40	0.80	918.80	0.00	0.00	0.20	229.70	10.09	11622.77	9.97	11484.95	2.19	2526.69	11.36	13092.84	0.00	0.00	0.00	0.00	110107.30
2.60	16.20	52.08	41678.76	0.87	692.34	0.00	0.00	0.00	0.00	10.90	8723.46	12.46	9969.67	1.90	1523.14	13.67	10938.94	0.00	0.00	0.00	0.00	76484.88
2.62	16.26	59.08	71548.67	2.68	3241.69	0.00	0.00	0.96	1157.75	7.95	9632.44	12.24	14819.14	0.96	1157.75	10.71	12966.75	0.00	0.00	0.00	0.00	115729.55
2.64	16.31	54.86	44048.29	1.36	1089.53	0.00	0.00	0.00	0.00	10.39	8342.71	13.38	10739.69	1.16	933.89	12.99	10428.39	0.00	0.00	0.00	0.00	76730.05
2.66	16.37	56.18	52437.64	1.31	1223.54	0.00	0.00	0.19	174.79	13.81	12890.92	9.55	8914.40	1.50	1398.34	12.17	11361.49	0.00	0.00	0.00	0.00	89199.54
2.68	16.43	60.76	62032.95	2.18	2229.94	0.00	0.00	0.40	405.44	8.61	8788.00	9.33	9527.94	0.99	1013.61	13.50	13785.10	0.00	0.00	0.00	0.00	97572.92
2.70	16.49	60.04	42183.47	0.38	263.65	0.00	0.00	1.50	1054.59	7.50	5272.93	10.13	7118.46	1.69	1186.41	11.63	8173.05	0.00	0.00	0.00	0.00	67145.82
2.72	16.54	52.90	50123.84	4.31	4084.16	0.00	0.00	1.18	1113.86	9.42	8929.47	6.47	6126.25	1.37	1299.51	12.74	12066.85	0.00	0.00	0.00	0.00	90550.47
2.74	16.60	54.85	52499.30	2.96	2832.70	0.00	0.00	1.18	1133.08	9.57	9159.05	5.52	5287.70	0.99	944.23	14.21	13596.94	0.00	0.00	0.00	0.00	91462.86
2.76	16.66	53.97	46005.83	3.66	3121.82	0.00	0.00	1.16	985.84	11.72	9989.84	5.78	4929.20	2.12	1807.37	11.76	10022.70	0.00	0.00	0.00	0.00	81461.84
2.78	16.72	59.58	62197.95	5.17	5399.82	0.00	0.00	0.96	999.97	9.16	9559.69	6.13	6399.79	0.77	799.97	9.96	10399.66	0.00	0.00	0.12	130.00	99757.16
2.80	16.77	57.62	87434.46	4.40	6681.04	0.00	0.00	0.57	871.44	10.97	16644.50	5.55	8423.92	1.15	1742.88	11.87	18009.76	0.00	0.00	0.00	0.00	145003.07
2.84	16.87	56.33	96280.92	5.60	9564.33	0.00	0.00	0.93	1594.06	11.36	19415.59	5.60	9564.33	1.49	2550.49	12.12	20722.72	0.10	175.35	0.00	0.00	121602.50
2.86	16.91	69.04	83723.93	1.92	2332.14	0.58	699.64	0.38	466.43	11.30	13701.34	2.88	3498.21	0.58	699.64	5.58	6763.21	0.00	0.00	0.00	0.00	147820.04
2.88	16.96	80.81	144130.76	0.97	1728.19	1.94	3456.37	0.19	345.64	3.78	6739.93	1.94	3456.37	0.39	691.27	4.84	8640.93	0.29	518.46	0.00	0.00	217392.78
2.90	17.00	71.25	97322.73	1.56	2133.10	0.20	266.64	0.20	266.64	6.27	8559.07	3.32	4532.84	1.95	2666.38	5.47	7465.85	0.00	0.00	0.00	0.00	166502.45
2.92	17.04	72.36	83039.57	1.72	1977.13	0.19	219.68	0.38	439.36	10.41	11950.67	2.11	2416.50	1.72	1977.13	4.79	5492.03	0.00	0.00	0.00	0.00	139885.04
2.94	17.09	74.25	139344.97	1.88	3527.72	0.38	705.54	0.94	1763.86	9.49	17814.99	1.69	3174.95	1.32	2469.40	3.76	7055.44	0.00	0.00	0.09	176.39	228760.30
2.96	17.13	57.39	73346.41	5.78	7385.58	0.00	0.00	0.20	254.68	19.19	24525.21	2.99	3820.13	2.59	3310.78	3.79	4838.83	0.00	0.00	0.00	0.00	155772.87
2.98	17.17	58.33	65776.94	5.16	5815.64	0.18	200.54	0.53	601.62	16.79	18930.92	3.73	4211.33	1.78	2005.39	4.98	5615.10	0.00	0.00	0.00	0.00	137449.36
3.00	17.22	56.88	56266.15	3.80	3763.02	0.00	0.00	0.18	179.19	22.10	21861.37	2.36	2329.49	1.45	1433.53	2.72	2687.87	0.00	0.00	0.00	0.00	120567.84
3.02	17.26	59.87	61193.93	4.32	4412.10	0.38	383.66	1.31	1342.81	15.22	15557.45	1.50	1534.64	2.82	2877.46	3.38	3452.95	0.00	0.00	0.00	0.00	124582.40
3.04	17.30	55.29	81107.52	3.82	5611.21	0.00	0.00	0.35	510.11	16.59	24332.26	2.96	4335.94	4.00	5866.27	3.65	5356.16	0.00	0.00	0.00	0.00	178824.77
3.06	17.34	66.59	115947.54	3.77	6569.27	0.38	656.93	0.57	985.39	11.38	19822.76	2.08	3613.10	1.70	2956.17	3.96	6897.73	0.00	0.00	0.00	0.00	212236.20
3.10	17.43	55.74	135197.16	5.70	13832.05	0.18	446.20	0.37	892.39	15.78	38283.55	2.02	4908.15	1.10	2677.17	9.20	22309.76	0.00	0.00	0.00	0.00	295650.90
3.12	17.47	65.62	116846.83	5.90	10503.09	0.00	0.00	0.37	656.44	10.27	18281.93	2.58	4595.10	0.92	1641.11	5.53	9846.64	0.00	0.00	0.00	0.00	217060.86
3.14	17.52	60.87	152292.16	7.33	18348.45	0.00	0.00	1.28	3210.98	13.90	34770.32	1.65	4128.40	2.38	5963.25	6.97	17431.03	0.00	0.00	0.00	0.00	304950.55
3.16	17.56	70.62	162726.52	3.51	8091.37	0.00	0.00	0.39	899.04	9.99	23015.46	1.17	2697.12	1.17	2697.12	5.85	13485.62	0.00	0.00	0.00	0.00	280868.60
3.18	17.60	66.88	159017.72	2.76	6557.43	0.00	0.00	0.52	1229.52	15.24	36229.81	2.07	4918.07	2.59	6147.59	3.79	9016.47	0.00	0.00	0.00	0.00	289820.38
3.20	17.64	63.74	150233.57	7.99	18830.37	0.35	818.71	0.87	2046.78	10.53	24827.43	3.13	7368.40	1.74	4093.56	5.21	12280.67	0.08	184.21	0.08	184.21	287307.79
3.22	17.69	59.53	178083.87	10.28	30740.67	0.18	530.01	0.35	1060.02	12.40	37100.81	2.83	8480.18	2.13	6360.14	3.90	11660.25	0.00	0.00	0.00	0.00	364625.58
3.24	17.73	69.60	121515.46	5.04	8791.82	0.00	0.00	0.90	1569.97	11.33	19781.59	2.16	3767.92	1.08	1883.96	4.14	7221.85	0.00	0.00	0.18	313.99	226137.32
3.26	17.79	65.37	104007.69	5.39	8568.82	0.00	0.00	0.74	1181.91	10.77	17137.63	3.53	5614.05	1.11	1772.86	3.90	6205.00	0.00	0.00	0.00	0.00	180649.36
3.28	17.84	69.35	101519.06	5.83	8533.49	0.00	0.00	0.20	294.26	6.43	9416.26	3.22	4708.13	0.20	294.26	5.83	8533.49	0.00	0.00	0.20	294.26	166207.07
3.30	17.89	63.17	78731.70	4.97	6189.60	0.00	0.00	0.79	990.34	9.54	11884.03	3.77	4704.10	0.99	1237.92	4.97	6189.60	0.00	0.00	0.12	148.55	141502.34
3.32	17.95	68.76	90680.60	6.60	8705.34	0.18	241.81	1.10	1450.89	7.52	9914.41	2.75	3627.22	0.37	483.63	3.85	5078.11	0.00	0.00	0.00	0.00	149735.99
3.34	18.00	77.59	116676.24	2.87	4321.34	0.00	0.00	1.15	1728.54	7.47	11235.49	0.57	864.27	0.00	0.00	2.49	3745.16	0.10	144.04	0.10	144.04	170736.29
3.36	18.06	69.03	147971.68	6.13	13143.62	0.00	0.00	0.79	1695.95	6.33	13567.60	3.56	7631.78	1.78	3815.89	5.34	11447.67	0.00	0.00	0.00	0.00	243357.78
3.38	18.11	70.96	133911.19	6.61	12473.92	0.19	366.88	1.17	2201.28	5.44	10272.64	3.50	6603.84	0.97	1834.40	4.28	8071.36	0.00	0.00	0.08	146.75	214265.81
3.40	18.16	70.21	154096.71	7.99	17539.46	0.19	417.61	0.95	2088.03	5.90	12945.79	4.57	10022.55	1.52	3340.85	2.66	5846.49	0.00	0.00	0.00	0.00	249201.29
3.42	18.22	68.50	189261.14	9.47	26174.41	0.55	1510.06	0.00	0.00	5.47	15100.62	7.29	20134.16	3.10	8557.02	1.82	5033.54	0.00	0.00	0.05	151.01	313685.72
3.44	18.27	68.65	168669.55	8.43	20713.80	0.17	422.73	0.69	1690.92	4.13	10145.54	5.85	14372.84	4.65	11413.73	2.41	5918.23	0.00	0.00	0.00	0.00	278968.19
3.46	18.32	64.56	96071.86	8.32	12387.49	0.00	0.00	0.00	0.00	5.36	7983.05	6.84	10185.27	4.07	6056.11	2.96	4404.44	0.00	0.00	0.00	0.00	168956.44
3.48	18.38	68.38	213765.76	9.91	30980.55	0.00	0.00	0.00	0.00	4.76	14870.66	8.92	27882.49	0.79	2478.44	0.79	2478.44	0.20	619.61	0.00	0.00	354901.76
