Depth [m]	Age [ka BP]	Placoliths small [%]	Placoliths small acc rate [10**6 #/cm**2/ka]	G. muellerae [%]	G. muellerae acc rate [10**6 #/cm**2/ka]	G. oceanica [%]	G. oceanica acc rate [10**6 #/cm**2/ka]	F. profunda [%]	F. profunda acc rate [10**6 #/cm**2/ka]	Cocco rew [%]	Cocco rew acc rate [10**6 #/cm**2/ka]	E. huxleyi [%]	E. huxleyi acc rate [10**6 #/cm**2/ka]	Helicosphaera spp. [%]	Helicosphaera spp. acc rate [10**6 #/cm**2/ka]	Syracosphaera spp. [%]	Syracosphaera spp. acc rate [10**6 #/cm**2/ka]	O. fragilis [%]	Oolithotus fragilis acc rate [10**6 #/cm**2/ka]	Umbellosphaera spp. [%]	Umbellosphaera spp. acc rate [10**6 #/cm**2/ka]	Acc rate cocco [10**6 #/cm**2/ka]
4.96	22.44	76.05	79764.42	6.12	6422.59	0.00	0.00	0.20	207.18	5.93	6215.41	0.20	207.18	1.19	1243.08	1.19	1243.08	0.00	0.00	0.00	0.00	97868.79
4.98	22.50	83.33	145788.70	4.22	7390.21	0.00	0.00	0.00	0.00	4.42	7726.13	0.00	0.00	0.00	0.00	0.96	1679.59	0.15	268.73	0.00	0.00	163243.47
5.00	22.56	81.73	96480.28	3.78	4456.36	0.00	0.00	0.19	222.82	6.80	8021.45	0.19	222.82	0.57	668.45	0.38	445.64	0.11	133.69	0.00	0.00	110152.23
5.02	22.62	77.89	77653.02	3.86	3844.21	0.19	192.21	0.58	576.63	6.36	6342.94	0.58	576.63	1.54	1537.68	0.39	384.42	0.13	134.55	0.00	0.00	93030.19
5.04	22.68	83.17	81315.67	4.90	4794.56	0.00	0.00	0.20	191.78	1.57	1534.26	0.20	191.78	0.00	0.00	1.77	1726.04	0.00	0.00	0.27	268.50	91230.26
5.06	22.74	79.81	72382.60	2.45	2224.52	0.19	171.12	0.19	171.12	7.17	6502.46	0.38	342.23	1.89	1711.17	1.32	1197.82	0.00	0.00	0.00	0.00	84625.34
5.08	22.80	82.53	125466.16	2.57	3911.41	0.00	0.00	0.40	601.76	6.33	9628.10	0.00	0.00	1.78	2707.90	2.38	3610.54	0.09	135.40	0.00	0.00	141849.42
5.10	22.86	83.81	108540.04	3.22	4174.62	0.00	0.00	0.38	491.13	3.60	4665.75	0.19	245.57	0.57	736.70	0.57	736.70	0.10	135.06	0.10	135.06	120847.75
5.12	22.93	83.78	126439.77	5.26	7939.24	0.00	0.00	0.00	0.00	3.51	5292.83	0.19	294.05	0.58	882.14	0.97	1470.23	0.18	264.64	0.00	0.00	140823.43
5.14	22.99	84.66	91308.35	1.77	1911.10	0.00	0.00	0.39	424.69	4.53	4883.93	0.20	212.34	1.58	1698.76	0.98	1061.72	0.00	0.00	0.00	0.00	100635.44
5.16	23.05	83.90	90721.58	3.38	3654.66	0.00	0.00	0.40	429.96	3.58	3869.64	0.00	0.00	1.39	1504.86	1.19	1289.88	0.13	139.74	0.00	0.00	100891.28
5.18	23.11	83.97	101850.99	3.03	3678.59	0.19	229.91	0.00	0.00	6.25	7587.09	0.00	0.00	0.76	919.65	0.76	919.65	0.23	275.89	0.00	0.00	113187.13
5.20	23.17	82.11	165378.42	3.83	7709.95	0.00	0.00	0.38	770.99	5.74	11564.92	0.00	0.00	0.96	1927.49	1.15	2312.98	0.00	0.00	0.00	0.00	187930.38
5.22	23.23	85.86	129017.20	3.94	5918.22	0.00	0.00	0.00	0.00	4.73	7101.86	0.00	0.00	1.58	2367.29	0.59	887.73	0.09	133.16	0.00	0.00	140211.79
5.24	23.29	83.18	86048.52	4.72	4882.19	0.00	0.00	0.00	0.00	4.13	4271.91	0.00	0.00	0.59	610.27	0.98	1017.12	0.13	132.23	0.00	0.00	96531.13
5.26	23.35	85.85	144122.59	4.85	8146.06	0.00	0.00	0.19	313.31	3.36	5639.58	0.00	0.00	1.31	2193.17	0.19	313.31	0.00	0.00	0.07	125.32	156641.80
5.28	23.41	81.81	89577.57	5.74	6289.95	0.00	0.00	0.40	433.79	4.56	4988.58	0.79	867.58	0.40	433.79	1.19	1301.37	0.24	260.27	0.36	390.41	102164.32
5.30	23.47	79.55	112342.85	7.43	10499.33	0.00	0.00	0.19	262.48	4.09	5774.63	0.00	0.00	0.56	787.45	0.93	1312.42	0.00	0.00	0.09	131.24	131769.42
5.32	23.53	76.79	96794.09	6.18	7790.74	0.00	0.00	0.56	708.25	8.05	10151.58	0.19	236.08	0.75	944.33	0.94	1180.42	0.00	0.00	0.10	129.85	117624.09
5.34	23.59	77.81	105042.14	5.08	6860.86	0.00	0.00	0.00	0.00	6.31	8516.93	0.00	0.00	0.70	946.33	1.75	2365.81	0.00	0.00	0.10	130.12	125963.03
5.36	23.65	80.28	104106.78	4.36	5655.18	0.20	257.05	0.79	1028.22	5.35	6940.45	0.20	257.05	0.40	514.11	0.20	257.05	0.00	0.00	0.00	0.00	121008.50
5.38	23.71	71.75	69576.38	5.46	5293.86	0.00	0.00	0.39	378.13	6.63	6428.25	0.00	0.00	1.56	1512.53	0.97	945.33	0.00	0.00	0.14	132.35	90485.18
5.40	23.77	67.69	60439.77	8.51	7599.15	0.20	176.72	0.59	530.17	6.93	6185.36	0.20	176.72	1.58	1413.80	1.78	1590.52	0.15	132.54	0.00	0.00	83317.02
5.44	23.84	65.73	128570.22	10.00	19557.16	0.00	0.00	0.19	362.17	10.55	20643.67	0.00	0.00	1.48	2897.36	1.48	2897.36	0.24	470.82	0.12	235.41	102291.74
5.46	23.86	76.06	396720.12	5.31	27701.16	0.00	0.00	0.38	1978.65	7.40	38583.75	0.19	989.33	1.14	5935.96	0.95	4946.63	0.09	445.20	0.17	890.39	482102.78
5.48	23.88	72.10	446801.92	5.39	33426.58	0.00	0.00	0.18	1114.22	7.37	45682.99	0.00	0.00	2.52	15599.07	1.80	11142.19	0.07	445.69	0.07	445.69	572830.33
5.50	23.90	73.79	273695.42	9.54	35403.39	0.00	0.00	0.55	2042.50	4.41	16340.03	0.18	680.83	2.39	8850.85	1.28	4765.84	0.24	885.08	0.12	442.54	342849.06
5.52	23.91	68.92	323046.91	9.01	42251.37	0.00	0.00	0.38	1760.47	8.64	40490.89	0.00	0.00	2.63	12323.32	0.94	4401.18	0.09	440.12	0.19	880.24	433254.94
5.54	23.93	67.39	244354.90	9.93	36017.63	0.00	0.00	0.58	2118.68	7.01	25424.21	0.19	706.23	2.92	10593.42	2.34	8474.74	0.13	459.05	0.38	1377.14	335139.19
5.56	23.95	65.92	230212.05	11.12	38822.74	0.00	0.00	0.00	0.00	8.78	30649.53	0.78	2724.40	0.78	2724.40	2.34	8173.21	0.38	1328.15	0.00	0.00	322805.86
5.58	23.97	62.88	187845.95	12.85	38396.19	0.20	590.71	0.00	0.00	12.65	37805.47	0.00	0.00	2.97	8860.66	1.78	5316.39	0.00	0.00	0.15	443.03	276143.60
5.60	23.99	68.73	256327.57	8.23	30677.50	0.00	0.00	0.55	2045.17	7.86	29314.06	0.73	2726.89	1.10	4090.33	2.19	8180.67	0.24	886.24	0.00	0.00	344713.98
5.62	24.00	67.32	146407.51	8.07	17551.78	0.00	0.00	1.77	3852.83	7.09	15411.32	0.79	1712.37	2.17	4709.01	4.72	10274.21	0.00	0.00	0.20	428.09	201013.56
5.64	24.02	63.26	263417.10	13.11	54610.86	0.00	0.00	0.96	4015.50	8.87	36942.64	1.54	6424.81	1.74	7227.91	3.09	12849.61	0.00	0.00	0.32	1325.12	384895.89
5.66	24.04	67.35	185288.89	8.08	22234.67	0.00	0.00	1.15	3176.38	7.51	20646.48	0.96	2646.98	5.39	14823.11	4.04	11117.33	0.00	0.00	0.00	0.00	254282.60
5.68	24.06	65.20	207993.17	5.40	17226.43	0.00	0.00	1.00	3190.08	7.60	24244.60	1.00	3190.08	6.00	19140.48	5.80	18502.46	0.00	0.00	0.00	0.00	294866.79
5.70	24.08	66.83	226613.08	6.84	23176.34	0.00	0.00	2.09	7081.66	7.78	26395.27	0.57	1931.36	3.99	13519.53	5.32	18026.04	0.00	0.00	0.00	0.00	313422.38
