OBJECTID,name,nr,Shape_Leng,Shape_Area,year
606,Weisskar Ferner,2161,360.66838894449,4692.26858520508,2015
137,NN,9028,333.96716250912,4679.56420898438,2015
513,Hennesigl Ferner W,8004,387.29521505671,4630.69145202637,2015
1027,NN,13035,315.61725511917,4560.62345123291,2015
997,Muritz'n Kees M1,22004,257.50841905683,4534.78323364258,2015
974,NN,21010,365.01610326904,4507.62451171875,2015
87,Griesbachjoch Kees S,9030,266.18597507109,4506.53944396973,2015
634,Breitlehn Ferner,14001,335.06033572729,4477.77686309814,2015
1062,NN,5280,389.07541955891,4433.33121490479,2015
1004,Kessler Kees E,5003,324.43907481324,4428.13412475586,2015
763,Raben Kees ob.,5101,284.55848096604,4344.93418121338,2015
1053,NN,5023,397.63097546786,4281.20028686523,2015
1013,Grubenkar Kees,5013,290.49842609027,4246.26316833496,2015
353,Simming Ferner E,3012,338.00243933501,4195.99038696289,2015
11,NN,6061,278.08169644911,4159.96006011963,2015
449,Kalser Kees,6118,323.95169826866,4134.25323486328,2015
54,NN,9017,291.02935030919,4126.11913299561,2015
1076,Wei├ƒenbachkees,5040,297.46579931953,4094.65201568604,2015
577,Seebach Ferner,14040,343.07713526875,4087.76817321777,2015
12,NN,6061,372.97409952365,4038.76670074463,2015
931,Plessnitz Kees,4042,263.33852089798,4027.12538146973,2015
791,Brennkogel Kees,5043,293.50462395994,3906.56088256836,2015
564,Glockhaus Ferner,7035,276.16400349660,3898.76328659058,2015
16,Wilden Kees,6070,305.85911851655,3866.73192596436,2015
988,Muritz'n Kees W,22006,355.97025727940,3831.67810058594,2015
550,S├╝dlicher L├Âcher Ferner ob.,14029,326.91415381137,3822.62913513184,2015
1098,,4038,245.26662823950,3726.96527862549,2015
990,Muritz'n Kees W,22006,272.42512217619,3687.15068054199,2015
772,Raben Kees E,5100,301.35894027028,3620.32722473145,2015
208,NN,5109,263.68220610963,3615.31600952148,2015
617,Pi├Âsmes Ferner,14044,250.03776409764,3589.88137817383,2015
635,Kessel Kees,5148,287.01960906975,3589.74684906006,2015
432,Horn Kees,4010,299.60439790837,3570.17729949951,2015
235,NN,6076,291.09296895468,3543.73172760010,2015
427,Bieltal Ferner E,13027,237.11357170984,3535.03767776489,2015
829,Hirzbach Kees ob.,5061,244.79699741715,3491.54293823242,2015
820,Fuscherkar Kees,5050,224.99312539257,3354.11463928223,2015
541,S├╝dlicher Platzer Ferner W,16004,287.10369687169,3347.33271408081,2015
567,Gschrapp Ferner,2155,440.75426758207,3346.35503387451,2015
1043,Kaltenberg Ferner,13062,264.68694652378,3313.76141738892,2015
355,Simming Ferner M,3013,253.05541410163,3304.93097686768,2015
514,Hennesigl Ferner W,8004,312.47763177429,3277.19115066528,2015
20,NN,6072,264.83424523388,3227.61666870117,2015
1123,Unterschrammach Kees,9095,296.07869456793,3192.54711914063,2015
153,NN,9012,302.09285281466,3151.33232116699,2015
1001,Muritz'n Kees M1,22004,259.13692811148,3130.52536010742,2015
32,NN,6022,313.53528522228,3080.12911224365,2015
792,Brennkogel Kees,5043,281.42253338458,3073.27614593506,2015
120,NN,9108,320.76795544478,3058.56594085693,2015
433,Horn Kees,4010,279.22003854632,3022.57070159912,2015
1118,Breitenkar Kees,9082,209.77498827535,2952.09983062744,2015
987,Muritz'n Kees M2,22005,227.98477169944,2865.49072265625,2015
794,NN,5042,200.03630542336,2833.02313995361,2015
996,Muritz'n Kees M1,22004,269.52378083328,2716.55146789551,2015
305,Unterer Augsten Ferner,13015,211.38556526760,2432.38327407837,2015
908,NN,6023,192.70090084940,2417.62375640869,2015
828,Hirzbach Kees ob.,5061,177.40731235979,2353.51040649414,2015
467,Visnitz Ferner,13003,241.81352003863,2342.51910400391,2015
943,NN,9077,197.39562400222,2326.40802001953,2015
734,├Âstlicher Hinterer ├ûlgruben Ferner,14017,252.68332883632,2307.56935119629,2015
462,Schober Kees W,6121,210.04453375059,2297.74395751953,2015
469,NN,13001,275.33721073625,2293.77794647217,2015
468,Visnitz Ferner,13003,223.26700361296,2193.51145172119,2015
981,Muritz'n Kees E,22003,229.44788822586,2186.04010009766,2015
516,Krummgampen Ferner S,7028,198.80934506458,2175.01010513306,2015
761,Raben Kees ob.,5101,188.59650120942,2174.44892120361,2015
706,Mittlerer Weisskar Ferner,2141,217.34251937895,2155.63504791260,2015
735,Schindler Gletscher,18006,237.03481624488,2121.91944885254,2015
793,NN,5042,193.84340621833,2114.79069519043,2015
998,Muritz'n Kees M1,22004,185.91181905523,2031.67091369629,2015
625,NN,2171,296.98272571383,2024.41513061523,2015
554,Rotschliff Ferner,14025,222.31158562255,1884.15654754639,2015
1000,Muritz'n Kees M1,22004,258.26143216670,1784.76763916016,2015
806,Walcher Kees,5058,157.90481421669,1742.54131317139,2015
807,Walcher Kees,5058,160.41989822853,1642.70084381104,2015
1034,Mittlerer Eisentaler Gletscher,12003,265.27500825311,1624.02822113037,2015
545,S├╝dlicher Platzer Ferner E,16003,185.31810445673,1622.85643386841,2015
551,NN,16005,189.26554930269,1580.45611190796,2015
630,Hennesigl Ferner E,8033,179.58727878767,1535.93663406372,2015
798,NN,5048,185.45562919746,1488.31678771973,2015
1101,NN,5017,241.89638673415,1440.55422210693,2015
7,N├Ârdliches Leiterkeesl,5119,238.23328086093,1362.77385711670,2015
18,NN,6072,187.25252201194,1289.50689697266,2015
986,Muritz'n Kees M2,22005,127.97924053482,1098.36270141602,2015
597,Fallende Bach Ferner M,15002,166.77907533223,1098.30817413330,2015
1068,NN,5018,157.43838462231,1097.22057342529,2015
1069,NN,5018,125.23282727616,988.22380828857,2015
1102,NN,5016,117.36872582760,927.05551147461,2015
535,NN,7031,123.80103104654,872.06187820435,2015
30,NN,5151,188.41624131200,780.40400695801,2015
6,N├Ârdliches Leiterkeesl,5119,123.52117393156,702.70520782471,2015
5,N├Ârdliches Leiterkeesl,5119,118.62490936831,502.36968231201,2015
