171011 80 OPL 20 PDMS 13,7 Fe 600 - 6000 Pa;;;;;;;;;;;
;;;;;;;;;;;
Overspeed at 6000 Pa;;;;;;;;;;;
;;;;;;;;;;;
shear rate;shear stress;viscosity;strain;% strain;torque;velocity;time global;time global;time;normal force;
1/s;Pa;Pa.s;;;micro N.m;rad/s;s;min;s;N;
4.07E-06;-4.29E-08;-0.01053;-1.46E-04;-0.01464;-1.29E-07;8.19E-07;480.016;8;480.02;5.926;
4.44E-06;5.33E-08;0.01201;-1.42E-04;-0.014224;1.61E-07;8.92E-07;490.012;8.2;490.01;5.912;
-1.45E-06;1.34E-07;-0.09206;-1.44E-04;-0.014347;4.03E-07;-2.93E-07;500.012;8.3;500.01;5.881;
-5.31E-06;9.49E-08;-0.01788;-1.50E-04;-0.01503;2.86E-07;-1.07E-06;510.012;8.5;510.01;5.906;
-1.31E-06;2.34E-08;-0.01788;-1.46E-04;-0.014568;7.05E-08;-2.63E-07;520.012;8.7;520.01;5.897;
4.87E-06;-3.90E-09;-8.00E-04;-1.47E-04;-0.014661;-1.18E-08;9.80E-07;530.016;8.8;530.02;5.871;
-6.91E-06;1.24E-07;-0.01788;-1.48E-04;-0.01478;3.72E-07;-1.39E-06;540.012;9;540.01;5.866;
-1.09E-06;1.95E-08;-0.01788;-1.45E-04;-0.014492;5.87E-08;-2.19E-07;550.016;9.2;550.02;5.844;
-3.20E-06;5.72E-08;-0.01788;-1.46E-04;-0.014573;1.72E-07;-6.44E-07;560.012;9.3;560.01;5.845;
2.33E-06;-2.07E-07;-0.08882;-1.51E-04;-0.015088;-6.23E-07;4.68E-07;570.012;9.5;570.01;5.785;
2.55E-06;-4.55E-08;-0.01788;-1.46E-04;-0.01455;-1.37E-07;5.12E-07;580.012;9.7;580.01;5.8;
1.13E-05;-2.03E-07;-0.01788;-1.53E-04;-0.0153;-6.11E-07;2.28E-06;590.012;9.8;590.01;5.789;
1.23E-05;-2.20E-07;-0.01788;-1.53E-04;-0.015295;-6.62E-07;2.47E-06;600.012;10;600.01;5.777;
-1.40E-05;2.50E-07;-0.01788;-1.49E-04;-0.014914;7.52E-07;-2.81E-06;610.012;10.2;610.01;5.749;
-8.22E-06;1.52E-07;-0.01851;-1.54E-04;-0.015396;4.58E-07;-1.65E-06;620.008;10.3;620.01;5.692;
3.42E-06;-6.11E-08;-0.01788;-1.57E-04;-0.015708;-1.84E-07;6.88E-07;630.008;10.5;630.01;5.728;
9.89E-06;-1.77E-07;-0.01788;-1.52E-04;-0.015164;-5.33E-07;1.99E-06;640.008;10.7;640.01;5.716;
-6.54E-07;1.17E-08;-0.01788;-1.55E-04;-0.015452;3.52E-08;-1.32E-07;650.008;10.8;650.01;5.701;
2.70E-05;-4.82E-07;-0.01788;-1.60E-04;-0.015964;-1.45E-06;5.43E-06;660.028;11;660.03;5.721;
-1.91E-05;-1.69E-08;8.87E-04;-1.58E-04;-0.015748;-5.09E-08;-3.83E-06;670.012;11.2;670.01;5.638;
-1.05E-05;1.88E-07;-0.01788;-1.58E-04;-0.015745;5.68E-07;-2.12E-06;680.008;11.3;680.01;5.681;
-2.11E-06;3.77E-08;-0.01787;-1.57E-04;-0.015679;1.14E-07;-4.24E-07;690.008;11.5;690.01;5.674;
9.02E-06;-1.61E-07;-0.01788;-1.58E-04;-0.015754;-4.86E-07;1.81E-06;700.008;11.7;700.01;5.622;
9.31E-06;-1.66E-07;-0.01787;-1.61E-04;-0.016124;-5.01E-07;1.87E-06;710.008;11.8;710.01;5.617;
-6.91E-06;1.24E-07;-0.01788;-1.63E-04;-0.016266;3.72E-07;-1.39E-06;720.008;12;720.01;5.625;
-1.38E-06;-6.50E-08;0.04704;-1.56E-04;-0.0156;-1.96E-07;-2.78E-07;730.012;12.2;730.01;5.624;
-5.09E-06;9.10E-08;-0.01788;-1.64E-04;-0.016432;2.74E-07;-1.02E-06;740.008;12.3;740.01;5.595;
-1.38E-06;2.47E-08;-0.01788;-1.62E-04;-0.016217;7.44E-08;-2.78E-07;750.02;12.5;750.02;5.616;
