171214 60 OPL 40 PDMS 45,6 FE 24 Oi, @30 degrees C 10 - 4000 Pa;;;;;;;;;;;
;;;;;;;;;;;
Overspeed @ 4000 Pa after about 30 seconds;;;;;;;;;;;
;;;;;;;;;;;
shear rate;shear stress;viscosity;strain;% strain;torque;velocity;time global;time global;time;normal force;temperature
1/s;Pa;Pa.s;;;micro N.m;rad/s;s;min;s;N;degrees C
-3.93E-06;7.02E-08;-0.01788;-5.04E-03;-0.50359;2.11E-07;-7.90E-07;62910;1048.5;16110;8.80E-03;30
3.05E-06;-5.46E-08;-0.01788;-5.04E-03;-0.50367;-1.65E-07;6.14E-07;62920;1048.7;16120;0.01515;30
-2.40E-06;4.29E-08;-0.01788;-5.04E-03;-0.50432;1.29E-07;-4.83E-07;62930;1048.8;16130;0.01705;30
7.49E-06;-1.34E-07;-0.01788;-5.05E-03;-0.50457;-4.03E-07;1.51E-06;62940;1049;16140;7.44E-03;30
-1.37E-05;2.46E-07;-0.01788;-5.04E-03;-0.50428;7.40E-07;-2.77E-06;62950;1049.2;16150;0.01592;30
-4.36E-06;7.80E-08;-0.01788;-5.05E-03;-0.50477;2.35E-07;-8.78E-07;62970;1049.5;16170;0.01611;30
-5.60E-06;1.00E-07;-0.01787;-5.04E-03;-0.50412;3.02E-07;-1.13E-06;62980;1049.7;16180;0.01362;30
3.64E-07;-6.50E-09;-0.01788;-5.05E-03;-0.5045;-1.96E-08;7.32E-08;62990;1049.8;16190;3.97E-03;30
-7.49E-06;1.34E-07;-0.01788;-5.05E-03;-0.50474;4.03E-07;-1.51E-06;63000;1050;16200;0.01765;30
1.82E-06;-3.25E-08;-0.01788;-5.05E-03;-0.50461;-9.79E-08;3.66E-07;63010;1050.2;16210;9.33E-03;30
7.27E-07;-1.30E-08;-0.01788;-5.05E-03;-0.50502;-3.92E-08;1.46E-07;63020;1050.3;16220;0.01686;30
-1.82E-06;3.25E-08;-0.01788;-5.05E-03;-0.50476;9.79E-08;-3.66E-07;63030;1050.5;16230;0.0142;30
9.16E-06;-1.64E-07;-0.01788;-5.05E-03;-0.50526;-4.93E-07;1.84E-06;63040;1050.7;16240;4.17E-03;30
-2.62E-06;4.68E-08;-0.01788;-5.05E-03;-0.50495;1.41E-07;-5.27E-07;63050;1050.8;16250;0.01709;30
4.14E-06;-7.41E-08;-0.01788;-5.05E-03;-0.50487;-2.23E-07;8.34E-07;63060;1051;16260;0.01188;30
3.85E-06;-6.89E-08;-0.01788;-5.05E-03;-0.50516;-2.08E-07;7.75E-07;63070;1051.2;16270;0.02037;30
7.85E-06;-1.40E-07;-0.01788;-5.05E-03;-0.50544;-4.23E-07;1.58E-06;63080;1051.3;16280;0.01226;30
-2.91E-07;5.20E-09;-0.01788;-5.05E-03;-0.50517;1.57E-08;-5.85E-08;63090;1051.5;16290;0.01881;30
-6.54E-07;1.17E-08;-0.01788;-5.05E-03;-0.50532;3.52E-08;-1.32E-07;63100;1051.7;16300;0.0109;30
3.71E-06;-6.63E-08;-0.01788;-5.05E-03;-0.50506;-2.00E-07;7.46E-07;63110;1051.8;16310;8.61E-03;30
1.82E-06;-3.25E-08;-0.01788;-5.06E-03;-0.50555;-9.79E-08;3.66E-07;63120;1052;16320;0.01266;30
8.14E-06;-1.46E-07;-0.01788;-5.05E-03;-0.50541;-4.39E-07;1.64E-06;63130;1052.2;16330;8.39E-03;30
-2.04E-06;3.64E-08;-0.01787;-5.06E-03;-0.50573;1.10E-07;-4.10E-07;63140;1052.3;16340;0.02094;30
8.22E-06;-1.47E-07;-0.01788;-5.06E-03;-0.50564;-4.43E-07;1.65E-06;63150;1052.5;16350;0.01051;30
4.65E-06;-8.32E-08;-0.01788;-5.05E-03;-0.50529;-2.51E-07;9.36E-07;63160;1052.7;16360;0.01478;30
-1.32E-05;2.35E-07;-0.01788;-5.05E-03;-0.5054;7.09E-07;-2.65E-06;63170;1052.8;16370;0.01092;30
4.94E-06;-8.84E-08;-0.01788;-5.06E-03;-0.50558;-2.66E-07;9.95E-07;63180;1053;16380;0.01956;30
-3.93E-06;7.02E-08;-0.01788;-5.06E-03;-0.50567;2.11E-07;-7.90E-07;63190;1053.2;16390;0.01167;30
-5.82E-07;1.04E-08;-0.01788;-5.06E-03;-0.5059;3.13E-08;-1.17E-07;63200;1053.3;16400;0.01726;30
4.51E-06;-8.06E-08;-0.01788;-5.06E-03;-0.50574;-2.43E-07;9.07E-07;63210;1053.5;16410;0.01129;30
-4.36E-07;7.80E-09;-0.01788;-5.06E-03;-0.50598;2.35E-08;-8.78E-08;63220;1053.7;16420;8.76E-03;30
2.11E-06;-3.77E-08;-0.01787;-5.06E-03;-0.50612;-1.14E-07;4.24E-07;63240;1054;16440;0.01012;30
-6.69E-06;1.20E-07;-0.01788;-5.06E-03;-0.50627;3.60E-07;-1.35E-06;63250;1054.2;16450;0.01685;30
5.09E-06;-9.10E-08;-0.01788;-5.06E-03;-0.50622;-2.74E-07;1.02E-06;63260;1054.3;16460;4.71E-03;30
5.82E-07;-1.04E-08;-0.01788;-5.06E-03;-0.5063;-3.13E-08;1.17E-07;63270;1054.5;16470;0.01574;30
1.60E-06;-2.86E-08;-0.01788;-5.06E-03;-0.50613;-8.62E-08;3.22E-07;63280;1054.7;16480;0.01049;30
-7.27E-07;1.30E-08;-0.01788;-5.06E-03;-0.50617;3.92E-08;-1.46E-07;63290;1054.8;16490;0.01648;30
3.05E-06;-5.46E-08;-0.01788;-5.06E-03;-0.50639;-1.65E-07;6.14E-07;63300;1055;16500;8.18E-03;30
9.02E-06;-1.61E-07;-0.01788;-5.07E-03;-0.50666;-4.86E-07;1.81E-06;63310;1055.2;16510;7.43E-03;30
-4.51E-06;8.06E-08;-0.01788;-5.07E-03;-0.50685;2.43E-07;-9.07E-07;63320;1055.3;16520;0.01529;30
6.40E-06;-1.14E-07;-0.01788;-5.07E-03;-0.50674;-3.45E-07;1.29E-06;63330;1055.5;16530;1.25E-03;30
4.58E-06;-8.19E-08;-0.01788;-5.07E-03;-0.50666;-2.47E-07;9.22E-07;63340;1055.7;16540;0.01474;30
7.85E-06;-1.40E-07;-0.01788;-5.07E-03;-0.50684;-4.23E-07;1.58E-06;63350;1055.8;16550;0.01396;30
-9.16E-06;1.64E-07;-0.01788;-5.07E-03;-0.50659;4.93E-07;-1.84E-06;63360;1056;16560;4.32E-03;30
-2.33E-06;4.16E-08;-0.01788;-5.07E-03;-0.50702;1.25E-07;-4.68E-07;63370;1056.2;16570;0.01375;30
9.53E-06;-1.70E-07;-0.01788;-5.07E-03;-0.5072;-5.13E-07;1.92E-06;63380;1056.3;16580;0.01548;30
-1.75E-06;3.12E-08;-0.01788;-5.07E-03;-0.50724;9.40E-08;-3.51E-07;63390;1056.5;16590;6.61E-03;30
-3.78E-06;6.76E-08;-0.01788;-5.07E-03;-0.50721;2.04E-07;-7.61E-07;63400;1056.7;16600;0.0126;30
-1.17E-05;2.09E-07;-0.01788;-5.07E-03;-0.50712;6.30E-07;-2.36E-06;63410;1056.8;16610;0.01724;30
1.89E-06;-3.38E-08;-0.01788;-5.07E-03;-0.50707;-1.02E-07;3.80E-07;63420;1057;16620;4.30E-03;30
-4.80E-06;8.58E-08;-0.01788;-5.07E-03;-0.50725;2.58E-07;-9.66E-07;63430;1057.2;16630;0.01221;30
4.58E-06;-8.19E-08;-0.01788;-5.07E-03;-0.50743;-2.47E-07;9.22E-07;63440;1057.3;16640;9.49E-03;30
6.83E-06;-1.22E-07;-0.01788;-5.07E-03;-0.50721;-3.68E-07;1.38E-06;63450;1057.5;16650;0.02145;30
5.09E-06;-9.10E-08;-0.01788;-5.08E-03;-0.50766;-2.74E-07;1.02E-06;63460;1057.7;16660;0.01296;30
1.89E-06;-3.38E-08;-0.01788;-5.07E-03;-0.50723;-1.02E-07;3.80E-07;63470;1057.8;16670;0.01146;30
-4.36E-07;7.80E-09;-0.01788;-5.08E-03;-0.50767;2.35E-08;-8.78E-08;63480;1058;16680;9.88E-03;30
-6.83E-06;1.22E-07;-0.01788;-5.07E-03;-0.50736;3.68E-07;-1.38E-06;63490;1058.2;16690;5.84E-03;30
-8.29E-06;1.48E-07;-0.01788;-5.07E-03;-0.50738;4.46E-07;-1.67E-06;63500;1058.3;16700;0.0153;30
4.07E-06;-7.28E-08;-0.01788;-5.08E-03;-0.5078;-2.19E-07;8.19E-07;63510;1058.5;16710;8.71E-03;30
-2.18E-06;3.90E-08;-0.01788;-5.08E-03;-0.50784;1.17E-07;-4.39E-07;63520;1058.7;16720;0.01665;30
-4.44E-06;7.93E-08;-0.01788;-5.08E-03;-0.50775;2.39E-07;-8.92E-07;63530;1058.8;16730;0.01161;30
7.49E-06;-1.34E-07;-0.01788;-5.08E-03;-0.50777;-4.03E-07;1.51E-06;63540;1059;16740;3.72E-03;30
3.93E-06;-7.02E-08;-0.01788;-5.08E-03;-0.50805;-2.12E-07;7.90E-07;63550;1059.2;16750;0.01682;30
-2.98E-06;5.33E-08;-0.01788;-5.08E-03;-0.50796;1.61E-07;-6.00E-07;63560;1059.3;16760;0.01122;30
2.47E-06;-4.42E-08;-0.01788;-5.08E-03;-0.50818;-1.33E-07;4.97E-07;63570;1059.5;16770;0.0124;30
7.71E-06;-1.38E-07;-0.01788;-5.08E-03;-0.50826;-4.15E-07;1.55E-06;63580;1059.7;16780;0.01643;30
-2.55E-06;4.55E-08;-0.01788;-5.08E-03;-0.50816;1.37E-07;-5.12E-07;63590;1059.8;16790;6.43E-03;30
-5.67E-06;1.01E-07;-0.01787;-5.08E-03;-0.50788;3.05E-07;-1.14E-06;63600;1060;16800;0.01759;30
8.07E-06;-1.44E-07;-0.01788;-5.08E-03;-0.5082;-4.35E-07;1.62E-06;63610;1060.2;16810;0.01141;30
-8.14E-06;1.46E-07;-0.01788;-5.09E-03;-0.50859;4.39E-07;-1.64E-06;63620;1060.3;16820;0.01971;30
4.51E-06;-8.06E-08;-0.01788;-5.09E-03;-0.50851;-2.43E-07;9.07E-07;63630;1060.5;16830;0.01084;30
-4.65E-06;8.32E-08;-0.01788;-5.09E-03;-0.50851;2.51E-07;-9.36E-07;63640;1060.7;16840;9.10E-03;30
-1.18E-05;2.11E-07;-0.01788;-5.09E-03;-0.50851;6.34E-07;-2.37E-06;63650;1060.8;16850;0.01371;30
7.42E-06;-1.33E-07;-0.01788;-5.09E-03;-0.50852;-3.99E-07;1.49E-06;63660;1061;16860;9.50E-03;30
9.67E-06;-1.73E-07;-0.01788;-5.08E-03;-0.50828;-5.21E-07;1.95E-06;63670;1061.2;16870;0.01662;30
5.02E-06;-8.97E-08;-0.01788;-5.09E-03;-0.50887;-2.70E-07;1.01E-06;63680;1061.3;16880;7.54E-03;30
1.24E-05;-2.22E-07;-0.01788;-5.09E-03;-0.50897;-6.70E-07;2.50E-06;63690;1061.5;16890;0.01621;30
-4.44E-06;7.93E-08;-0.01788;-5.09E-03;-0.50892;2.39E-07;-8.92E-07;63700;1061.7;16900;9.48E-03;30
-6.54E-07;1.17E-08;-0.01788;-5.09E-03;-0.50897;3.52E-08;-1.32E-07;63710;1061.8;16910;0.01333;30
9.67E-06;-1.73E-07;-0.01788;-5.09E-03;-0.50908;-5.21E-07;1.95E-06;63720;1062;16920;0.01065;30
-1.20E-05;2.14E-07;-0.01788;-5.09E-03;-0.50887;6.46E-07;-2.41E-06;63730;1062.2;16930;7.17E-03;30
-1.09E-05;1.95E-07;-0.01788;-5.09E-03;-0.50897;5.87E-07;-2.19E-06;63740;1062.3;16940;0.01604;30
2.40E-06;-4.29E-08;-0.01788;-5.09E-03;-0.50925;-1.29E-07;4.83E-07;63750;1062.5;16950;6.58E-03;30
-1.26E-05;2.25E-07;-0.01788;-5.09E-03;-0.50921;6.77E-07;-2.53E-06;63760;1062.7;16960;8.51E-03;30
7.27E-08;-1.30E-09;-0.01788;-5.10E-03;-0.50954;-3.92E-09;1.46E-08;63770;1062.8;16970;0.01412;30
-7.85E-06;1.40E-07;-0.01788;-5.09E-03;-0.50918;4.23E-07;-1.58E-06;63780;1063;16980;4.84E-03;30
1.45E-07;-2.60E-09;-0.01788;-5.09E-03;-0.5092;-7.83E-09;2.93E-08;63790;1063.2;16990;0.01392;30
-7.27E-08;1.30E-09;-0.01788;-5.09E-03;-0.5094;3.92E-09;-1.46E-08;63800;1063.3;17000;5.61E-03;30
4.29E-06;-7.67E-08;-0.01788;-5.10E-03;-0.50965;-2.31E-07;8.63E-07;63810;1063.5;17010;0.01061;30
7.42E-06;-1.33E-07;-0.01788;-5.10E-03;-0.50963;-3.99E-07;1.49E-06;63820;1063.7;17020;6.79E-03;30
2.55E-06;-4.55E-08;-0.01788;-5.10E-03;-0.50975;-1.37E-07;5.12E-07;63830;1063.8;17030;8.31E-03;30
7.27E-08;-1.30E-09;-0.01788;-5.10E-03;-0.50985;-3.92E-09;1.46E-08;63840;1064;17040;0.01412;30
2.91E-06;-5.20E-08;-0.01788;-5.10E-03;-0.50951;-1.57E-07;5.85E-07;63850;1064.2;17050;0.01137;30
-4.58E-06;8.19E-08;-0.01788;-5.10E-03;-0.50999;2.47E-07;-9.22E-07;63860;1064.3;17060;0.01373;30
-5.82E-07;1.04E-08;-0.01788;-5.10E-03;-0.50976;3.13E-08;-1.17E-07;63870;1064.5;17070;6.56E-03;30
3.27E-06;-5.85E-08;-0.01788;-5.10E-03;-0.50993;-1.76E-07;6.58E-07;63880;1064.7;17080;7.16E-03;30
-6.33E-06;1.13E-07;-0.01788;-5.10E-03;-0.51006;3.41E-07;-1.27E-06;63890;1064.8;17090;0.01585;30
-2.84E-06;5.07E-08;-0.01787;-5.10E-03;-0.51007;1.53E-07;-5.71E-07;63900;1065;17100;9.28E-03;30
-2.18E-06;3.90E-08;-0.01788;-5.10E-03;-0.51031;1.17E-07;-4.39E-07;63910;1065.2;17110;0.02258;30
6.11E-06;-1.09E-07;-0.01788;-5.10E-03;-0.51008;-3.29E-07;1.23E-06;63920;1065.3;17120;0.01137;30
9.45E-07;-1.69E-08;-0.01788;-5.10E-03;-0.51027;-5.09E-08;1.90E-07;63930;1065.5;17130;0.02085;30
7.63E-06;-1.37E-07;-0.01788;-5.11E-03;-0.51051;-4.11E-07;1.54E-06;63940;1065.7;17140;0.01276;30
1.22E-05;-2.18E-07;-0.01788;-5.11E-03;-0.51062;-6.58E-07;2.46E-06;63950;1065.8;17150;9.28E-03;30
7.13E-06;-1.27E-07;-0.01788;-5.11E-03;-0.51079;-3.84E-07;1.43E-06;63960;1066;17160;0.01639;30
-2.47E-06;4.42E-08;-0.01788;-5.11E-03;-0.51079;1.33E-07;-4.97E-07;63970;1066.2;17170;4.82E-03;30
-5.24E-06;9.36E-08;-0.01788;-5.11E-03;-0.511;2.82E-07;-1.05E-06;63980;1066.3;17180;0.01658;30
1.09E-06;-1.95E-08;-0.01788;-5.10E-03;-0.51041;-5.87E-08;2.19E-07;63990;1066.5;17190;0.01313;30
1.45E-06;-2.60E-08;-0.01788;-5.11E-03;-0.51064;-7.83E-08;2.93E-07;64000;1066.7;17200;0.02162;30
2.98E-06;-5.33E-08;-0.01788;-5.11E-03;-0.51046;-1.61E-07;6.00E-07;64010;1066.8;17210;0.01564;30
-4.14E-06;7.41E-08;-0.01788;-5.11E-03;-0.51079;2.23E-07;-8.34E-07;64020;1067;17220;6.36E-03;30
3.20E-06;-5.72E-08;-0.01788;-5.11E-03;-0.51098;-1.72E-07;6.44E-07;64030;1067.2;17230;0.01675;30
-9.31E-06;1.66E-07;-0.01787;-5.11E-03;-0.51097;5.01E-07;-1.87E-06;64040;1067.3;17240;8.52E-03;30
-6.18E-06;1.11E-07;-0.01788;-5.11E-03;-0.51105;3.33E-07;-1.24E-06;64050;1067.5;17250;0.01586;30
4.29E-06;-7.67E-08;-0.01788;-5.11E-03;-0.51109;-2.31E-07;8.63E-07;64060;1067.7;17260;0.01219;30
1.09E-06;-1.95E-08;-0.01788;-5.11E-03;-0.51125;-5.87E-08;2.19E-07;64070;1067.8;17270;4.80E-03;30
-9.45E-07;1.69E-08;-0.01788;-5.11E-03;-0.5111;5.09E-08;-1.90E-07;64080;1068;17280;0.02083;30
8.36E-06;-1.50E-07;-0.01788;-5.11E-03;-0.51139;-4.50E-07;1.68E-06;64090;1068.2;17290;9.64E-03;30
1.04E-05;-1.86E-07;-0.01788;-5.11E-03;-0.51128;-5.60E-07;2.09E-06;64100;1068.3;17300;0.01776;30
4.14E-06;-7.41E-08;-0.01788;-5.11E-03;-0.51125;-2.23E-07;8.34E-07;64110;1068.5;17310;0.01369;30
8.80E-06;-1.57E-07;-0.01788;-5.12E-03;-0.51145;-4.74E-07;1.77E-06;64120;1068.7;17320;7.93E-03;30
-5.24E-06;9.36E-08;-0.01788;-5.12E-03;-0.51169;2.82E-07;-1.05E-06;64130;1068.8;17330;6.96E-03;30
4.29E-06;-7.67E-08;-0.01788;-5.12E-03;-0.51166;-2.31E-07;8.63E-07;64140;1069;17340;0.01541;30
-1.89E-06;3.38E-08;-0.01788;-5.12E-03;-0.51163;1.02E-07;-3.80E-07;64150;1069.2;17350;6.18E-03;30
-3.93E-06;7.02E-08;-0.01788;-5.11E-03;-0.51133;2.11E-07;-7.90E-07;64160;1069.3;17360;0.01268;30
-2.33E-06;4.16E-08;-0.01788;-5.11E-03;-0.51142;1.25E-07;-4.68E-07;64170;1069.5;17370;8.46E-03;30
-8.36E-06;1.50E-07;-0.01788;-5.12E-03;-0.51178;4.50E-07;-1.68E-06;64180;1069.7;17380;0.01429;30
-1.67E-06;2.99E-08;-0.01788;-5.12E-03;-0.51224;9.01E-08;-3.37E-07;64190;1069.8;17390;9.66E-03;30
-1.96E-06;3.51E-08;-0.01788;-5.12E-03;-0.51217;1.06E-07;-3.95E-07;64200;1070;17400;0.01369;30
-3.85E-06;6.89E-08;-0.01788;-5.12E-03;-0.51205;2.08E-07;-7.75E-07;64210;1070.2;17410;0.01832;30
3.13E-06;-5.59E-08;-0.01788;-5.12E-03;-0.51202;-1.68E-07;6.29E-07;64220;1070.3;17420;0.01369;30
-2.55E-06;4.55E-08;-0.01788;-5.12E-03;-0.51198;1.37E-07;-5.12E-07;64230;1070.5;17430;0.01352;30
6.83E-06;-1.22E-07;-0.01788;-5.12E-03;-0.51216;-3.68E-07;1.38E-06;64240;1070.7;17440;0.01328;30
2.76E-06;-4.94E-08;-0.01788;-5.12E-03;-0.51219;-1.49E-07;5.56E-07;64250;1070.8;17450;0.01503;30
-4.65E-06;8.32E-08;-0.01788;-5.12E-03;-0.51231;2.51E-07;-9.36E-07;64260;1071;17460;0.01022;30
-4.80E-06;8.58E-08;-0.01788;-5.13E-03;-0.51266;2.58E-07;-9.66E-07;64270;1071.2;17470;0.01063;30
-1.09E-05;1.95E-07;-0.01788;-5.12E-03;-0.51238;5.87E-07;-2.19E-06;64280;1071.3;17480;0.01543;30
2.18E-07;-3.90E-09;-0.01788;-5.13E-03;-0.51248;-1.18E-08;4.39E-08;64290;1071.5;17490;0.01929;30
1.12E-05;-2.00E-07;-0.01788;-5.12E-03;-0.51235;-6.03E-07;2.25E-06;64300;1071.7;17500;0.01481;30
-4.22E-06;7.54E-08;-0.01788;-5.13E-03;-0.51262;2.27E-07;-8.49E-07;64310;1071.8;17510;0.01041;30
-9.53E-06;1.70E-07;-0.01788;-5.12E-03;-0.51237;5.13E-07;-1.92E-06;64320;1072;17520;0.0154;30
-4.51E-06;8.06E-08;-0.01788;-5.13E-03;-0.51288;2.43E-07;-9.07E-07;64330;1072.2;17530;7.32E-03;30
-6.54E-07;1.17E-08;-0.01788;-5.13E-03;-0.51297;3.52E-08;-1.32E-07;64340;1072.3;17540;0.01656;30
4.73E-06;-8.45E-08;-0.01788;-5.13E-03;-0.5129;-2.55E-07;9.51E-07;64350;1072.5;17550;8.07E-03;30
6.69E-06;-1.20E-07;-0.01788;-5.13E-03;-0.51307;-3.60E-07;1.35E-06;64360;1072.7;17560;0.01848;30
3.20E-06;-5.72E-08;-0.01788;-5.13E-03;-0.51303;-1.72E-07;6.44E-07;64370;1072.8;17570;0.01504;30
-4.29E-06;7.67E-08;-0.01788;-5.13E-03;-0.51296;2.31E-07;-8.63E-07;64380;1073;17580;7.30E-03;30
-3.20E-06;5.72E-08;-0.01788;-5.13E-03;-0.51315;1.72E-07;-6.44E-07;64390;1073.2;17590;0.01618;30
1.09E-06;-1.95E-08;-0.01788;-5.13E-03;-0.51315;-5.87E-08;2.19E-07;64400;1073.3;17600;0.01135;30
-4.94E-06;8.84E-08;-0.01788;-5.13E-03;-0.51299;2.66E-07;-9.95E-07;64410;1073.5;17610;0.01384;30
4.51E-06;-8.06E-08;-0.01788;-5.13E-03;-0.51307;-2.43E-07;9.07E-07;64420;1073.7;17620;0.01847;30
-1.10E-05;1.96E-07;-0.01788;-5.13E-03;-0.51327;5.91E-07;-2.21E-06;64430;1073.8;17630;0.01003;30
-3.64E-07;6.50E-09;-0.01788;-5.13E-03;-0.51345;1.96E-08;-7.32E-08;64440;1074;17640;0.01133;30
2.84E-06;-5.07E-08;-0.01787;-5.14E-03;-0.51355;-1.53E-07;5.71E-07;64450;1074.2;17650;0.01772;30
1.16E-06;-2.08E-08;-0.01788;-5.14E-03;-0.51354;-6.27E-08;2.34E-07;64460;1074.3;17660;0.01176;30
-7.27E-08;1.30E-09;-0.01788;-5.14E-03;-0.5138;3.92E-09;-1.46E-08;64470;1074.5;17670;0.01986;30
4.65E-06;-8.32E-08;-0.01788;-5.14E-03;-0.51347;-2.51E-07;9.36E-07;64480;1074.7;17680;0.01637;30
-6.62E-06;1.18E-07;-0.01787;-5.14E-03;-0.51353;3.56E-07;-1.33E-06;64490;1074.8;17690;8.06E-03;30
3.49E-06;-6.24E-08;-0.01788;-5.14E-03;-0.51403;-1.88E-07;7.02E-07;64500;1075;17700;0.01733;30
7.49E-06;-1.34E-07;-0.01788;-5.14E-03;-0.51367;-4.03E-07;1.51E-06;64510;1075.2;17710;9.21E-03;30
3.64E-07;-6.50E-09;-0.01788;-5.14E-03;-0.51372;-1.96E-08;7.32E-08;64520;1075.3;17720;0.01504;30
-2.33E-06;4.16E-08;-0.01788;-5.14E-03;-0.51386;1.25E-07;-4.68E-07;64530;1075.5;17730;6.32E-03;30
-4.36E-06;7.80E-08;-0.01788;-5.14E-03;-0.51426;2.35E-07;-8.78E-07;64540;1075.7;17740;0.01213;30
-7.56E-06;1.35E-07;-0.01788;-5.14E-03;-0.5142;4.07E-07;-1.52E-06;64550;1075.8;17750;9.20E-03;30
-1.50E-05;2.68E-07;-0.01788;-5.14E-03;-0.51402;8.07E-07;-3.01E-06;64560;1076;17760;0.01789;30
-6.54E-07;1.17E-08;-0.01788;-5.14E-03;-0.51429;3.52E-08;-1.32E-07;64570;1076.2;17770;0.01614;30
1.02E-05;-1.82E-07;-0.01787;-5.14E-03;-0.51403;-5.48E-07;2.05E-06;64580;1076.3;17780;0.01809;30
-4.07E-06;7.28E-08;-0.01788;-5.14E-03;-0.51428;2.19E-07;-8.19E-07;64590;1076.5;17790;0.01693;30
5.09E-06;-9.10E-08;-0.01788;-5.14E-03;-0.51435;-2.74E-07;1.02E-06;64600;1076.7;17800;9.23E-03;30
1.89E-06;-3.38E-08;-0.01788;-5.14E-03;-0.51431;-1.02E-07;3.80E-07;64610;1076.8;17810;0.01479;30
6.83E-06;-1.22E-07;-0.01788;-5.14E-03;-0.51443;-3.68E-07;1.38E-06;64620;1077;17820;0.01441;30
3.64E-06;-6.50E-08;-0.01788;-5.14E-03;-0.51445;-1.96E-07;7.32E-07;64630;1077.2;17830;8.10E-03;30
4.07E-06;-7.28E-08;-0.01788;-5.15E-03;-0.51451;-2.19E-07;8.19E-07;64640;1077.3;17840;0.01423;30
5.02E-06;-8.97E-08;-0.01788;-5.15E-03;-0.51451;-2.70E-07;1.01E-06;64650;1077.5;17850;0.0102;30
-1.82E-06;3.25E-08;-0.01788;-5.15E-03;-0.51466;9.79E-08;-3.66E-07;64660;1077.7;17860;0.01363;30
-4.58E-06;8.19E-08;-0.01788;-5.15E-03;-0.51447;2.47E-07;-9.22E-07;64670;1077.8;17870;0.02175;30
-5.60E-06;1.00E-07;-0.01787;-5.15E-03;-0.5147;3.02E-07;-1.13E-06;64680;1078;17880;0.01078;30
3.64E-06;-6.50E-08;-0.01788;-5.15E-03;-0.51484;-1.96E-07;7.32E-07;64690;1078.2;17890;0.01888;30
-1.00E-05;1.79E-07;-0.01788;-5.15E-03;-0.5153;5.40E-07;-2.02E-06;64700;1078.3;17900;9.03E-03;30
-4.29E-06;7.67E-08;-0.01788;-5.15E-03;-0.51503;2.31E-07;-8.63E-07;64710;1078.5;17910;7.11E-03;30
4.00E-06;-7.15E-08;-0.01788;-5.16E-03;-0.51546;-2.15E-07;8.05E-07;64720;1078.7;17920;0.0162;30
-4.73E-06;8.45E-08;-0.01788;-5.15E-03;-0.51494;2.55E-07;-9.51E-07;64730;1078.8;17930;9.64E-03;30
7.27E-06;-1.30E-07;-0.01788;-5.15E-03;-0.515;-3.92E-07;1.46E-06;64740;1079;17940;0.02002;30
3.35E-06;-5.98E-08;-0.01788;-5.15E-03;-0.51525;-1.80E-07;6.73E-07;64750;1079.2;17950;0.01328;30
-6.98E-06;1.25E-07;-0.01788;-5.15E-03;-0.51508;3.76E-07;-1.40E-06;64760;1079.3;17960;0.021;30
-4.36E-06;7.80E-08;-0.01788;-5.15E-03;-0.51521;2.35E-07;-8.78E-07;64770;1079.5;17970;0.01309;30
-1.16E-06;2.08E-08;-0.01788;-5.16E-03;-0.51576;6.27E-08;-2.34E-07;64780;1079.7;17980;0.02234;30
-2.47E-06;4.42E-08;-0.01788;-5.15E-03;-0.51513;1.33E-07;-4.97E-07;64790;1079.8;17990;0.01596;30
-1.16E-05;2.07E-07;-0.01788;-5.16E-03;-0.51558;6.23E-07;-2.33E-06;64800;1080;18000;8.84E-03;30
7.63E-06;-1.37E-07;-0.01788;-5.16E-03;-0.51575;-4.11E-07;1.54E-06;64810;1080.2;18010;0.01789;30
6.76E-06;-1.21E-07;-0.01788;-5.16E-03;-0.51579;-3.64E-07;1.36E-06;64820;1080.3;18020;0.02081;30
-5.53E-06;9.88E-08;-0.01788;-5.16E-03;-0.51557;2.98E-07;-1.11E-06;64830;1080.5;18030;0.01924;30
2.47E-06;-4.42E-08;-0.01788;-5.16E-03;-0.51567;-1.33E-07;4.97E-07;64840;1080.7;18040;0.02177;30
-1.19E-05;2.12E-07;-0.01788;-5.16E-03;-0.51574;6.38E-07;-2.39E-06;64850;1080.8;18050;0.01616;30
-8.73E-07;1.56E-08;-0.01788;-5.16E-03;-0.51573;4.70E-08;-1.76E-07;64860;1081;18060;6.71E-03;30
-5.16E-06;9.23E-08;-0.01788;-5.16E-03;-0.51577;2.78E-07;-1.04E-06;64870;1081.2;18070;0.01556;30
4.73E-06;-8.45E-08;-0.01788;-5.16E-03;-0.51599;-2.55E-07;9.51E-07;64880;1081.3;18080;0.01384;30
4.00E-06;-7.15E-08;-0.01788;-5.16E-03;-0.5158;-2.15E-07;8.05E-07;64890;1081.5;18090;0.01463;30
-3.64E-07;6.50E-09;-0.01788;-5.16E-03;-0.51581;1.96E-08;-7.32E-08;64900;1081.7;18100;0.0183;30
-4.00E-06;7.15E-08;-0.01788;-5.16E-03;-0.51582;2.15E-07;-8.05E-07;64910;1081.8;18110;0.01153;30
-3.78E-06;6.76E-08;-0.01788;-5.16E-03;-0.51584;2.04E-07;-7.61E-07;64920;1082;18120;0.01772;30
-6.18E-06;1.11E-07;-0.01788;-5.16E-03;-0.51605;3.33E-07;-1.24E-06;64930;1082.2;18130;0.01463;30
2.91E-07;-5.20E-09;-0.01788;-5.16E-03;-0.51645;-1.57E-08;5.85E-08;64940;1082.3;18140;0.02083;30
