/* DATA DESCRIPTION:
Citation: Strasser, M., Berberich, T., Fabbri, S., Hilbe, M., Huang, J. J. S., Lauterbach, S., Ortler, M., Rechschreiter, H., Brauer, A., Anselmetti, F., and Kowarik, K., 2020, Geomorphology and event-stratigraphy of recent mass-movement processes in Lake Hallstatt (UNESCO World Heritage Cultural Landscape, Austria): Geological Society, London, Special Publications 500.1: 405-426.
Sample: Core HAL-14-02, Lake Hallstatt, Austria.
Machine: Itrax-XRF core scanner, CS-45 Austrian Core Facility
Comment: The data contains the optical image RGB data of Core HAL-14-2 along the core depth. The image can be found in the figure 7 of aforementioned reference.  
*/
position (mm)	R	G	B
332.4	119	81	51
332.6	118	80	50
332.8	117	78	50
333	113	76	48
333.2	108	73	47
333.4	111	74	46
333.6	116	79	50
333.8	110	75	48
334	106	72	46
334.2	113	76	48
334.4	115	80	51
334.6	120	83	53
334.8	133	94	60
335	139	99	64
335.2	139	98	63
335.4	138	98	63
335.6	138	97	62
335.8	143	99	63
336	161	112	71
336.2	168	118	75
336.4	159	110	70
336.6	140	98	63
336.8	118	83	54
337	114	84	55
337.2	114	86	58
337.4	119	88	58
337.6	136	101	66
337.8	150	109	72
338	151	108	70
338.2	152	108	70
338.4	162	116	75
338.6	174	124	80
338.8	176	126	82
339	173	123	80
339.2	171	122	80
339.4	156	113	74
339.6	142	104	68
339.8	148	107	70
340	161	116	76
340.2	156	111	73
340.4	159	113	73
340.6	157	112	73
340.8	148	105	68
341	136	96	63
341.2	134	96	63
341.4	132	98	65
341.6	124	94	63
341.8	116	88	59
342	116	85	56
342.2	119	83	54
342.4	123	84	53
342.6	125	85	54
342.8	130	90	57
343	131	92	59
343.2	139	99	64
343.4	153	110	72
343.6	172	125	82
343.8	179	133	88
344	169	127	85
344.2	153	114	77
344.4	149	111	74
344.6	155	113	75
344.8	161	116	77
345	153	111	73
345.2	146	104	69
345.4	157	112	73
345.6	157	112	73
345.8	165	116	75
346	179	127	82
346.2	180	127	83
346.4	176	125	82
346.6	174	124	81
346.8	173	124	81
347	165	118	77
347.2	160	114	75
347.4	165	118	77
347.6	179	129	84
347.8	188	136	89
348	186	134	88
348.2	189	136	89
348.4	194	140	92
348.6	189	137	91
348.8	184	133	88
349	188	136	89
349.2	195	141	93
349.4	200	145	96
349.6	204	148	98
349.8	201	145	96
350	202	146	97
350.2	206	149	99
350.4	207	150	99
350.6	203	147	97
350.8	192	140	92
351	187	134	88
351.2	180	128	84
351.4	170	119	77
351.6	167	116	75
351.8	163	113	73
352	156	109	70
352.2	149	104	67
352.4	150	106	68
352.6	155	112	72
352.8	149	108	70
353	145	105	69
353.2	154	111	72
353.4	151	106	69
353.6	143	100	65
353.8	142	102	66
354	140	102	66
354.2	142	103	68
354.4	134	97	64
354.6	121	82	54
354.8	126	84	54
355	124	87	57
355.2	110	77	52
355.4	117	80	52
355.6	139	96	62
355.8	157	111	72
356	165	120	79
356.2	158	116	76
356.4	154	113	75
356.6	154	112	73
356.8	154	108	70
357	162	111	71
357.2	162	111	71
357.4	162	114	73
357.6	162	117	76
357.8	166	121	79
358	156	112	74
358.2	142	102	67
358.4	134	97	64
358.6	127	93	61
358.8	120	88	59
359	123	90	59
359.2	133	97	64
359.4	136	99	65
359.6	131	96	63
359.8	125	92	61
360	128	94	62
360.2	127	92	61
360.4	135	97	63
360.6	150	108	70
360.8	152	109	71
361	146	106	69
361.2	145	105	68
361.4	144	103	67
361.6	137	96	62
361.8	130	91	59
362	130	94	61
362.2	129	93	61
362.4	132	96	64
362.6	132	97	64
362.8	134	98	65
363	136	100	66
363.2	138	101	66
363.4	137	100	66
363.6	134	98	65
363.8	133	98	65
364	133	98	64
364.2	129	95	62
364.4	125	92	60
364.6	131	96	63
364.8	134	100	66
365	132	97	64
365.2	134	99	65
365.4	145	107	70
365.6	140	102	67
365.8	133	96	63
366	133	96	63
366.2	135	98	64
366.4	137	100	66
366.6	143	104	69
366.8	151	109	72
367	160	115	75
367.2	165	119	78
367.4	149	107	70
367.6	132	94	62
367.8	132	94	62
368	135	98	64
368.2	140	102	67
368.4	140	103	67
368.6	142	105	69
368.8	144	106	70
369	143	105	69
369.2	141	103	68
369.4	142	105	69
369.6	144	106	70
369.8	143	106	70
370	140	103	68
370.2	136	100	66
370.4	134	99	65
370.6	129	95	63
370.8	127	93	61
371	131	96	62
371.2	135	99	65
371.4	136	100	66
371.6	134	99	66
371.8	135	99	65
372	138	101	66
372.2	137	99	64
372.4	137	99	64
372.6	132	95	62
372.8	125	90	59
373	119	86	56
373.2	134	97	63
373.4	142	103	67
373.6	145	105	68
373.8	144	104	68
374	143	103	67
374.2	144	103	66
374.4	133	96	62
374.6	124	90	58
374.8	124	89	58
375	142	100	64
375.2	184	132	84
375.4	194	141	92
375.6	172	124	82
375.8	144	103	68
376	126	90	59
376.2	119	86	55
376.4	123	89	58
376.6	122	89	57
376.8	120	87	56
377	121	89	57
377.2	115	84	54
377.4	106	77	50
377.6	130	92	58
377.8	165	116	73
378	171	119	76
378.2	149	103	66
378.4	135	95	61
378.6	134	96	62
378.8	134	96	62
379	127	91	58
379.2	121	86	55
379.4	123	87	55
379.6	127	90	57
379.8	127	90	57
380	127	90	57
380.2	131	94	60
380.4	133	96	61
380.6	132	96	62
380.8	124	89	58
381	116	84	54
381.2	108	79	51
381.4	102	73	47
381.6	115	80	50
381.8	135	93	57
382	148	102	63
382.2	153	105	65
382.4	155	107	67
382.6	154	107	67
382.8	151	104	66
383	150	104	66
383.2	143	100	64
383.4	140	97	62
383.6	138	96	62
383.8	146	102	65
384	152	108	70
384.2	139	99	64
384.4	128	90	58
384.6	123	88	56
384.8	123	88	57
385	131	94	61
385.2	137	99	65
385.4	130	95	62
385.6	123	89	58
385.8	119	86	56
386	115	84	56
386.2	110	82	54
386.4	107	76	50
386.6	109	75	48
386.8	114	74	47
387	116	74	46
387.2	116	73	46
387.4	116	74	46
387.6	104	68	43
387.8	104	72	46
388	117	86	55
388.2	129	95	62
388.4	132	98	64
388.6	137	102	68
388.8	144	108	71
389	146	110	73
389.2	147	110	73
389.4	149	111	74
389.6	148	110	73
389.8	144	107	71
390	137	101	67
390.2	135	100	66
390.4	129	96	63
390.6	125	93	62
390.8	120	90	60
391	115	87	58
391.2	108	82	55
391.4	109	81	54
391.6	117	86	57
391.8	125	92	60
392	140	102	67
392.2	159	118	77
392.4	173	129	84
392.6	186	138	90
392.8	193	145	95
393	180	135	88
393.2	158	117	77
393.4	144	105	68
393.6	137	99	64
393.8	127	90	58
394	119	84	53
394.2	114	80	51
394.4	112	78	50
394.6	112	79	50
394.8	111	78	50
395	113	81	52
395.2	115	83	54
395.4	117	84	54
395.6	118	86	56
395.8	122	89	58
396	126	93	60
396.2	122	89	58
396.4	121	88	57
396.6	126	92	60
396.8	120	86	55
397	106	75	48
397.2	101	72	46
397.4	100	71	45
397.6	114	81	51
397.8	127	90	57
398	128	90	58
398.2	122	87	55
398.4	118	85	54
398.6	115	83	53
398.8	106	78	51
399	97	73	48
399.2	100	74	48
399.4	100	75	49
399.6	98	74	49
399.8	100	75	49
400	100	74	49
400.2	97	72	47
400.4	92	69	45
400.6	91	67	44
400.8	91	67	44
401	90	67	44
401.2	88	65	42
401.4	94	67	42
401.6	106	74	47
401.8	102	73	46
402	108	78	50
402.2	123	89	56
402.4	135	97	62
402.6	132	95	61
402.8	118	85	55
403	126	91	58
403.2	127	91	59
403.4	112	79	51
403.6	103	72	46
403.8	104	72	46
404	108	76	49
404.2	104	76	50
404.4	95	68	44
404.6	88	61	39
404.8	82	56	36
405	77	53	32
405.2	75	51	31
405.4	78	54	33
405.6	91	64	40
405.8	102	73	46
406	108	78	50
406.2	106	77	49
406.4	107	77	49
406.6	100	72	46
406.8	93	67	43
407	91	65	42
407.2	91	65	42
407.4	89	63	40
407.6	91	63	40
407.8	96	67	42
408	108	75	47
408.2	114	80	50
408.4	122	86	54
408.6	121	86	55
408.8	111	78	50
409	98	68	43
409.2	96	67	42
409.4	101	71	45
409.6	100	71	46
409.8	99	71	45
410	100	71	46
410.2	97	69	44
410.4	103	72	45
410.6	114	79	50
410.8	131	90	56
411	143	98	62
411.2	148	102	64
411.4	153	108	70
411.6	160	116	76
411.8	175	128	83
412	178	129	84
412.2	166	119	78
412.4	154	111	73
412.6	139	101	66
412.8	141	104	68
413	148	110	72
413.2	162	118	77
413.4	167	123	81
413.6	151	111	73
413.8	134	97	64
414	123	88	57
414.2	135	95	61
414.4	159	115	75
414.6	167	120	78
414.8	174	124	80
415	177	126	82
415.2	170	121	79
415.4	157	112	73
415.6	139	98	64
415.8	130	92	60
416	149	106	69
416.2	174	125	81
416.4	176	128	84
416.6	160	115	76
416.8	135	95	63
417	112	78	51
417.2	100	69	45
417.4	95	65	42
417.6	90	63	41
417.8	83	59	39
418	94	66	42
418.2	117	83	52
418.4	119	85	55
418.6	106	76	49
418.8	92	67	43
419	101	72	46
419.2	119	85	55
419.4	127	91	59
419.6	128	92	60
419.8	125	90	58
420	128	92	59
420.2	138	100	64
420.4	136	99	64
420.6	133	97	63
420.8	133	97	63
421	128	94	61
421.2	131	96	63
421.4	134	98	64
421.6	125	90	58
421.8	111	79	51
422	118	85	55
422.2	119	84	54
422.4	124	87	55
422.6	109	77	49
422.8	78	56	35
423	80	55	33
423.2	97	66	40
423.4	96	66	42
423.6	95	66	42
423.8	92	65	41
424	80	56	35
424.2	75	52	32
424.4	85	59	37
424.6	102	71	45
424.8	114	80	51
425	112	79	51
425.2	101	71	46
425.4	104	73	47
425.6	114	82	53
425.8	110	80	52
426	94	67	44
426.2	84	60	38
426.4	98	68	43
426.6	113	79	50
426.8	118	82	53
427	137	97	62
427.2	141	100	65
427.4	138	97	63
427.6	134	95	62
427.8	116	84	55
428	107	76	49
428.2	124	88	56
428.4	137	99	64
428.6	146	108	71
428.8	147	111	74
429	134	100	67
429.2	122	90	60
429.4	115	85	56
429.6	114	84	55
429.8	116	84	55
430	118	84	54
430.2	116	82	52
430.4	117	81	52
430.6	124	86	54
430.8	136	94	59
431	143	98	62
431.2	148	102	65
431.4	151	103	65
431.6	158	107	68
431.8	160	110	70
432	152	103	65
432.2	147	99	62
432.4	140	93	59
432.6	130	86	54
432.8	124	82	52
433	117	77	49
433.2	107	70	45
433.4	99	65	42
433.6	90	60	38
433.8	84	56	35
434	92	62	40
434.2	101	72	47
434.4	107	77	50
434.6	120	88	59
434.8	130	97	65
435	136	104	70
435.2	134	103	69
435.4	132	100	67
435.6	133	102	69
435.8	132	102	70
436	132	104	70
436.2	132	104	70
436.4	127	99	67
436.6	114	89	61
436.8	116	89	60
437	115	88	59
437.2	103	77	51
437.4	100	75	50
437.6	102	77	51
437.8	117	87	57
438	134	99	65
438.2	140	104	68
438.4	138	103	68
438.6	136	101	66
438.8	132	98	65
439	128	95	63
439.2	126	93	61
439.4	123	91	61
439.6	121	89	60
439.8	120	89	60
440	120	90	60
440.2	120	89	59
440.4	122	90	60
440.6	133	99	65
440.8	136	100	66
441	138	101	67
441.2	134	98	65
441.4	132	96	63
441.6	138	102	67
441.8	138	100	66
442	129	94	62
442.2	120	89	59
442.4	114	85	56
442.6	118	87	57
442.8	129	94	61
443	134	96	62
443.2	144	105	68
443.4	176	130	86
443.6	188	138	91
443.8	175	127	83
444	151	108	72
444.2	125	88	57
444.4	117	83	53
444.6	133	96	61
444.8	139	100	64
445	137	98	63
445.2	150	108	69
445.4	170	123	80
445.6	185	135	88
445.8	189	138	91
446	178	130	85
446.2	159	114	74
446.4	138	98	64
446.6	116	84	54
446.8	106	76	49
447	122	87	54
447.2	173	123	77
447.4	210	150	97
447.6	194	139	91
447.8	164	116	76
448	140	98	64
448.2	134	94	60
448.4	148	105	67
448.6	157	110	71
448.8	145	101	65
449	126	87	56
449.2	128	89	57
449.4	150	104	66
449.6	160	111	70
449.8	145	102	65
450	118	83	53
450.2	99	70	45
450.4	91	65	41
450.6	89	64	41
450.8	85	61	39
451	87	62	40
451.2	98	71	45
451.4	104	75	48
451.6	108	78	50
451.8	118	85	54
452	137	98	62
452.2	160	113	72
452.4	162	115	74
452.6	145	104	67
452.8	146	106	69
453	146	105	69
453.2	131	94	61
453.4	137	98	62
453.6	171	121	77
453.8	195	140	90
454	187	133	86
454.2	164	116	75
454.4	138	97	63
454.6	118	83	54
454.8	102	72	46
455	101	72	46
455.2	111	79	50
455.4	107	76	48
455.6	100	71	46
455.8	118	85	54
456	140	102	65
456.2	141	102	66
456.4	145	105	68
456.6	162	116	75
456.8	169	117	75
457	159	108	69
457.2	147	102	66
457.4	129	93	60
457.6	118	85	55
457.8	133	95	61
458	130	92	60
458.2	114	80	52
458.4	121	87	56
458.6	115	82	53
458.8	102	72	46
459	107	77	49
459.2	122	88	57
459.4	127	93	61
459.6	122	90	59
459.8	122	90	59
460	109	79	52
460.2	97	70	46
460.4	96	70	46
460.6	110	80	51
460.8	135	96	61
461	146	104	66
461.2	152	110	71
461.4	161	115	74
461.6	162	116	74
461.8	178	127	82
462	189	135	87
462.2	176	127	82
462.4	160	114	74
462.6	145	104	67
462.8	133	95	61
463	137	96	61
463.2	173	121	76
463.4	193	137	87
463.6	196	139	89
463.8	197	141	90
464	197	140	89
464.2	189	135	87
464.4	177	126	81
464.6	169	120	77
464.8	162	116	75
465	154	109	71
465.2	148	105	67
465.4	145	103	66
465.6	138	98	63
465.8	124	88	57
466	116	81	53
466.2	109	75	49
466.4	102	71	46
466.6	100	71	45
466.8	101	72	46
467	102	72	46
467.2	99	70	45
467.4	99	69	44
467.6	102	71	45
467.8	101	70	45
468	100	70	45
468.2	107	76	49
468.4	112	81	52
468.6	115	83	53
468.8	123	90	58
469	128	93	60
469.2	142	104	68
469.4	143	104	68
469.6	132	97	64
469.8	124	92	61
470	121	91	60
470.2	114	84	56
470.4	117	88	58
470.6	126	93	62
470.8	119	88	58
471	109	80	52
471.2	124	89	57
471.4	136	97	62
471.6	150	106	67
471.8	145	102	64
472	152	106	67
472.2	153	108	68
472.4	142	100	64
472.6	120	84	54
472.8	95	65	42
473	88	60	38
473.2	96	66	42
473.4	110	78	50
473.6	124	90	58
473.8	125	91	59
474	124	90	58
474.2	130	93	59
474.4	145	101	63
474.6	168	116	73
474.8	151	105	67
475	124	85	54
475.2	113	77	49
475.4	101	70	44
475.6	101	71	45
475.8	116	82	52
476	146	105	66
476.2	168	121	78
476.4	174	123	79
476.6	189	133	85
476.8	210	150	97
477	213	153	100
477.2	196	141	92
477.4	188	135	88
477.6	182	132	86
477.8	168	122	80
478	164	120	78
478.2	162	117	77
478.4	144	105	69
478.6	124	91	60
478.8	103	74	48
479	97	67	42
479.2	102	72	45
479.4	110	77	48
479.6	118	82	51
479.8	114	79	50
480	113	78	49
480.2	102	71	45
480.4	97	68	42
480.6	98	69	43
480.8	91	63	38
481	108	74	45
481.2	121	83	51
481.4	140	94	58
481.6	154	105	64
481.8	150	102	63
482	129	88	55
482.2	124	85	53
482.4	124	87	55
482.6	121	84	53
482.8	126	87	55
483	132	92	58
483.2	133	93	59
483.4	139	98	62
483.6	148	105	66
483.8	146	102	65
484	135	94	59
484.2	132	91	57
484.4	131	89	55
484.6	122	83	52
484.8	110	75	46
485	112	78	48
485.2	117	83	52
485.4	134	93	57
485.6	147	101	62
485.8	147	102	63
486	144	99	62
486.2	137	95	59
486.4	141	98	61
486.6	169	120	75
486.8	179	126	79
487	167	116	73
487.2	154	106	66
487.4	140	97	61
487.6	130	90	56
487.8	130	89	55
488	132	89	55
488.2	122	83	51
488.4	102	70	44
488.6	96	66	41
488.8	105	73	45
489	113	78	49
489.2	119	82	50
489.4	118	81	50
489.6	115	79	49
489.8	116	80	50
490	112	77	48
490.2	100	69	43
490.4	93	64	39
490.6	102	70	43
490.8	123	85	52
491	139	96	60
491.2	126	87	55
491.4	112	76	47
491.6	128	86	53
491.8	137	92	58
492	117	80	50
492.2	99	68	42
492.4	94	63	38
492.6	90	60	37
492.8	87	60	36
493	106	71	43
493.2	114	78	48
493.4	107	73	45
493.6	109	75	46
493.8	111	77	48
494	116	81	50
494.2	114	81	51
494.4	104	73	46
494.6	89	62	39
494.8	87	62	39
495	96	69	44
495.2	113	80	50
495.4	130	92	57
495.6	142	100	64
495.8	149	105	67
496	158	112	71
496.2	153	108	70
496.4	138	98	63
496.6	138	99	64
496.8	150	109	71
497	154	113	74
497.2	156	113	73
497.4	156	112	73
497.6	154	110	71
497.8	146	103	67
498	131	93	60
498.2	116	82	53
498.4	101	71	46
498.6	92	65	42
498.8	94	67	43
499	105	75	48
499.2	119	84	54
499.4	127	91	58
499.6	131	93	60
499.8	122	88	57
500	117	84	54
500.2	118	84	54
500.4	120	87	56
500.6	127	92	59
500.8	139	101	65
501	149	109	71
501.2	148	108	71
501.4	142	105	69
501.6	128	94	62
501.8	108	79	52
502	106	75	48
502.2	115	81	51
502.4	138	96	59
502.6	171	120	75
502.8	192	136	87
503	201	145	93
503.2	198	142	92
503.4	171	121	79
503.6	148	103	65
503.8	153	106	66
504	155	107	67
504.2	153	106	67
504.4	147	102	65
504.6	150	105	66
504.8	163	116	74
505	160	115	75
505.2	151	109	70
505.4	162	116	75
505.6	164	118	76
505.8	149	106	68
506	142	100	64
506.2	144	99	62
506.4	151	107	67
506.6	147	104	66
506.8	153	107	67
507	147	102	64
507.2	128	87	55
507.4	120	83	52
507.6	137	95	59
507.8	168	117	73
508	210	148	93
508.2	230	164	105
508.4	222	160	103
508.6	199	144	94
508.8	168	121	79
509	145	104	68
509.2	129	92	59
509.4	116	82	52
509.6	111	79	50
509.8	121	85	53
510	129	90	57
510.2	123	86	54
510.4	122	85	53
510.6	124	87	55
510.8	107	75	47
511	81	56	36
511.2	77	54	34
511.4	89	63	40
511.6	95	67	42
511.8	98	70	44
512	108	76	48
512.2	126	88	56
512.4	144	101	64
512.6	146	102	64
512.8	149	104	66
513	139	97	61
513.2	147	100	62
513.4	163	110	68
513.6	165	113	71
513.8	157	108	68
514	158	108	68
514.2	167	112	70
514.4	166	111	69
514.6	158	108	68
514.8	126	86	55
515	113	77	49
515.2	144	106	68
515.4	137	102	68
515.6	103	78	52
515.8	83	61	40
516	108	77	49
516.2	124	90	58
516.4	119	86	56
516.6	126	93	60
516.8	150	111	73
517	145	106	71
517.2	132	95	62
517.4	133	96	63
517.6	133	96	63
517.8	136	98	64
518	145	108	71
518.2	153	115	76
518.4	166	125	83
518.6	190	145	97
518.8	191	147	99
519	158	121	81
519.2	150	114	76
519.4	160	123	82
519.6	174	135	90
519.8	184	141	94
520	183	140	93
520.2	179	136	91
520.4	170	129	87
520.6	161	122	82
520.8	153	116	78
521	146	109	74
521.2	139	104	70
521.4	134	100	67
521.6	132	98	66
521.8	127	94	63
522	144	107	70
522.2	146	106	70
522.4	139	101	67
522.6	138	99	65
522.8	139	99	65
523	141	101	66
523.2	143	103	67
523.4	142	102	67
523.6	140	102	67
523.8	130	96	64
524	116	87	58
524.2	124	93	61
524.4	147	109	71
524.6	151	112	74
524.8	146	109	72
525	143	105	70
525.2	143	106	70
525.4	149	112	74
525.6	165	126	85
525.8	160	121	81
526	152	115	76
526.2	171	130	86
526.4	204	157	104
526.6	207	159	108
526.8	184	141	96
527	162	124	84
527.2	151	115	78
527.4	139	103	69
527.6	142	106	70
527.8	145	110	73
528	147	111	73
528.2	147	110	72
528.4	139	103	68
528.6	142	104	69
528.8	144	105	69
529	140	104	68
529.2	144	107	70
529.4	143	106	70
529.6	127	95	63
529.8	121	91	60
530	132	98	64
530.2	150	109	71
530.4	159	116	76
530.6	154	112	75
530.8	128	91	61
531	119	84	55
531.2	127	91	60
531.4	110	77	52
531.6	108	75	50
531.8	119	82	54
532	139	100	66
532.2	142	104	69
532.4	139	100	66
532.6	165	121	78
532.8	188	142	94
533	176	133	89
533.2	167	125	83
533.4	175	131	86
533.6	188	143	95
533.8	194	149	100
534	195	150	101
534.2	193	150	101
534.4	183	143	97
534.6	174	136	91
534.8	181	140	94
535	190	147	99
535.2	191	149	100
535.4	192	150	101
535.6	197	154	103
535.8	195	152	102
536	181	140	95
536.2	171	130	86
536.4	185	140	92
536.6	202	155	104
536.8	206	159	107
537	201	154	104
537.2	192	147	99
537.4	185	142	96
537.6	180	140	94
537.8	171	134	91
538	181	139	93
538.2	204	152	99
538.4	217	161	105
538.6	212	158	103
538.8	198	147	97
539	199	147	97
539.2	196	146	97
539.4	198	147	97
539.6	214	160	105
539.8	221	166	110
540	225	168	112
540.2	219	165	110
540.4	193	147	99
540.6	188	139	92
540.8	225	167	110
541	232	174	116
541.2	219	164	110
541.4	193	144	96
541.6	174	128	85
541.8	157	114	75
542	145	104	68
542.2	144	103	68
542.4	141	101	66
542.6	143	103	67
542.8	144	105	69
543	145	104	68
543.2	170	123	79
543.4	214	158	103
543.6	234	177	118
543.8	241	183	122
544	250	191	128
544.2	245	186	124
544.4	250	191	127
544.6	250	191	127
544.8	251	192	128
545	251	194	130
545.2	233	178	120
545.4	222	167	111
545.6	239	181	120
545.8	244	185	124
546	244	185	123
546.2	243	184	123
546.4	240	180	120
546.6	244	182	121
546.8	241	179	119
547	235	174	116
547.2	236	174	114
547.4	238	176	116
547.6	233	173	114
547.8	230	170	112
548	225	164	108
548.2	218	158	104
548.4	195	141	93
548.6	185	130	84
548.8	211	150	97
549	225	163	106
549.2	222	161	106
549.4	210	150	98
549.6	212	150	97
549.8	212	152	100
550	210	150	98
550.2	208	149	98
550.4	211	152	100
550.6	209	151	100
550.8	206	148	98
551	204	147	97
551.2	200	144	96
551.4	199	145	96
551.6	194	142	94
551.8	189	137	91
552	184	133	88
552.2	181	129	85
552.4	180	128	84
552.6	183	131	86
552.8	183	132	88
553	175	126	84
553.2	171	123	81
553.4	166	119	79
553.6	166	118	77
553.8	161	114	75
554	148	103	67
554.2	141	96	62
554.4	138	94	61
554.6	125	85	55
554.8	110	74	47
555	109	72	46
555.2	110	74	47
555.4	105	70	44
555.6	109	73	46
555.8	135	93	58
556	161	115	74
556.2	135	96	63
556.4	111	75	48
556.6	118	81	50
556.8	112	77	48
557	112	77	48
557.2	123	86	54
557.4	121	87	56
557.6	115	85	55
557.8	112	84	55
558	106	79	52
558.2	99	73	48
558.4	91	68	44
558.6	88	66	43
558.8	99	73	47
559	114	83	53
559.2	126	90	58
559.4	128	91	58
559.6	134	95	60
559.8	132	94	60
560	128	91	57
560.2	136	94	59
560.4	139	96	60
560.6	135	94	59
560.8	134	94	59
561	138	97	61
561.2	140	98	63
561.4	139	98	63
561.6	140	99	63
561.8	143	101	64
562	145	103	66
562.2	148	105	66
562.4	147	103	65
562.6	145	101	64
562.8	133	93	59
563	114	80	52
563.2	108	76	48
563.4	128	88	54
563.6	145	100	62
563.8	157	108	67
564	170	117	74
564.2	170	117	75
564.4	155	108	68
564.6	143	99	62
564.8	148	100	63
565	156	105	65
565.2	162	109	68
565.4	163	110	69
565.6	157	106	67
565.8	150	100	64
566	146	97	62
566.2	136	91	59
566.4	117	79	52
566.6	86	57	38
566.8	67	43	27
567	66	42	26
567.2	65	41	26
567.4	63	40	25
567.6	60	37	23
567.8	59	37	23
568	72	46	29
568.2	82	55	35
568.4	73	48	31
568.6	73	48	30
568.8	101	69	44
569	123	86	56
569.2	126	88	57
569.4	131	93	60
569.6	134	95	62
569.8	132	94	62
570	130	93	60
570.2	136	96	62
570.4	138	99	64
570.6	142	102	66
570.8	167	120	78
571	181	131	85
571.2	170	123	81
571.4	151	109	71
571.6	126	91	60
571.8	103	75	49
572	93	69	46
572.2	95	72	47
572.4	98	74	49
572.6	96	71	46
572.8	90	66	43
573	82	58	37
573.2	88	62	40
573.4	97	71	45
573.6	111	80	51
573.8	136	97	62
574	147	104	67
574.2	142	101	65
574.4	138	99	63
574.6	142	102	65
574.8	136	97	62
575	132	93	59
575.2	138	98	62
575.4	149	105	66
575.6	155	109	70
575.8	142	100	64
576	131	91	58
576.2	120	83	53
576.4	107	75	48
576.6	103	73	47
576.8	104	74	47
577	108	78	50
577.2	109	79	51
577.4	109	78	50
577.6	111	80	52
577.8	111	79	51
578	107	76	49
578.2	109	78	50
578.4	112	80	52
578.6	112	81	52
578.8	113	82	53
579	120	88	57
579.2	132	96	61
579.4	138	98	63
579.6	132	92	59
579.8	118	83	53
580	106	75	49
580.2	101	73	47
580.4	109	78	50
580.6	115	82	53
580.8	117	83	53
581	127	90	57
581.2	135	96	61
581.4	134	96	61
581.6	134	96	61
581.8	133	96	62
582	129	94	61
582.2	121	89	58
582.4	114	85	55
582.6	111	82	53
582.8	106	78	51
583	100	73	48
583.2	109	79	51
583.4	122	89	58
583.6	122	89	58
583.8	116	84	54
584	124	89	56
584.2	149	106	67
584.4	171	123	80
584.6	172	125	82
584.8	175	126	83
585	175	127	83
585.2	158	115	76
585.4	140	102	68
585.6	134	98	64
585.8	130	94	61
586	129	92	59
586.2	131	95	61
586.4	133	98	64
586.6	137	104	69
586.8	138	106	71
587	136	105	70
587.2	127	100	69
587.4	121	95	64
587.6	125	95	63
587.8	124	92	61
588	123	90	59
588.2	117	85	56
588.4	110	79	52
588.6	117	83	54
588.8	120	86	55
589	126	90	58
589.2	135	96	61
589.4	138	98	62
589.6	134	95	60
589.8	123	89	57
590	106	76	49
590.2	112	78	50
590.4	137	96	61
590.6	143	100	64
590.8	130	91	59
591	106	73	48
591.2	100	69	44
591.4	105	76	50
591.6	109	81	53
591.8	124	91	60
592	149	109	71
592.2	164	120	79
592.4	153	111	73
592.6	131	94	62
592.8	114	83	54
593	109	78	50
593.2	115	83	53
593.4	118	86	56
593.6	113	84	55
593.8	108	81	54
594	107	80	53
594.2	110	83	55
594.4	118	88	58
594.6	129	95	62
594.8	137	100	65
595	139	101	66
595.2	135	98	64
595.4	130	95	63
595.6	127	93	61
595.8	124	90	59
596	132	97	64
596.2	143	106	70
596.4	144	105	70
596.6	136	98	64
596.8	135	98	64
597	139	102	68
597.2	145	109	73
597.4	149	111	75
597.6	164	124	83
597.8	176	133	90
598	171	128	86
598.2	164	121	81
598.4	150	111	74
598.6	133	98	66
598.8	128	95	63
599	129	97	65
599.2	129	97	65
599.4	123	91	61
599.6	115	85	56
599.8	109	80	53
600	103	76	50
600.2	98	72	48
600.4	98	73	48
600.6	94	69	45
600.8	101	71	44
601	135	96	60
601.2	141	102	66
601.4	137	99	64
601.6	137	98	64
601.8	134	96	62
602	130	94	61
602.2	126	93	62
602.4	122	92	62
602.6	120	91	61
602.8	115	87	58
603	113	85	57
603.2	109	82	55
603.4	110	83	55
603.6	108	81	54
603.8	112	81	53
604	123	89	58
604.2	129	93	61
604.4	131	95	62
604.6	133	95	62
604.8	134	96	62
605	137	98	63
605.2	139	99	64
605.4	141	101	65
605.6	142	102	66
605.8	142	102	66
606	142	102	66
606.2	151	108	70
606.4	154	111	72
606.6	161	116	75
606.8	164	119	78
607	155	112	74
607.2	146	106	69
607.4	140	101	67
607.6	128	93	61
607.8	118	85	55
608	109	77	50
608.2	97	67	44
608.4	93	64	41
608.6	88	61	39
608.8	85	58	37
609	84	58	37
609.2	87	62	40
609.4	99	74	48
609.6	110	84	57
609.8	111	87	59
610	109	85	58
610.2	104	80	54
610.4	106	81	54
610.6	109	82	54
610.8	112	84	56
611	117	87	57
611.2	124	91	60
611.4	123	91	60
611.6	121	91	61
611.8	127	96	64
612	126	95	64
612.2	120	90	60
612.4	113	85	57
612.6	117	89	60
612.8	114	88	60
613	115	88	60
613.2	113	87	59
613.4	112	86	58
613.6	110	84	56
613.8	108	83	55
614	106	81	54
614.2	106	80	53
614.4	111	83	55
614.6	114	85	57
614.8	118	88	58
615	124	92	61
615.2	134	100	66
615.4	135	101	67
615.6	136	102	68
615.8	135	101	67
616	138	102	68
616.2	145	108	72
616.4	139	104	69
616.6	128	96	64
616.8	121	92	62
617	120	91	61
