/* DATA DESCRIPTION:
Citation: Strasser, M., Berberich, T., Fabbri, S., Hilbe, M., Huang, J. J. S., Lauterbach, S., Ortler, M., Rechschreiter, H., Brauer, A., Anselmetti, F., and Kowarik, K., 2020, Geomorphology and event-stratigraphy of recent mass-movement processes in Lake Hallstatt (UNESCO World Heritage Cultural Landscape, Austria): Geological Society, London, Special Publications 500.1: 405-426.
Sample: Core HAL-14-02, Lake Hallstatt, Austria.
Machine: Itrax-XRF core scanner, CS-45 Austrian Core Facility
Comment: The data contains the optical image RGB data of Core HAL-14-2 along the core depth. The image can be found in the figure 7 of aforementioned reference.  
*/
position (mm)	R	G	B
134.8	153	111	72
135	148	106	69
135.2	134	94	61
135.4	119	82	52
135.6	114	76	48
135.8	105	70	44
136	95	63	39
136.2	94	62	38
136.4	106	71	44
136.6	114	76	47
136.8	118	78	48
137	123	81	50
137.2	123	83	51
137.4	117	79	49
137.6	119	81	50
137.8	119	82	52
138	114	79	50
138.2	109	74	46
138.4	104	70	43
138.6	103	69	43
138.8	113	76	47
139	114	76	48
139.2	105	70	44
139.4	100	66	40
139.6	103	68	42
139.8	115	77	47
140	118	79	48
140.2	116	77	47
140.4	122	82	51
140.6	132	90	56
140.8	137	94	59
141	150	105	66
141.2	169	120	76
141.4	184	131	84
141.6	189	135	86
141.8	186	132	85
142	174	123	80
142.2	160	112	72
142.4	158	112	72
142.6	158	112	72
142.8	160	112	72
143	154	106	67
143.2	145	100	64
143.4	128	88	56
143.6	116	80	51
143.8	113	77	48
144	109	74	47
144.2	114	77	49
144.4	132	92	59
144.6	147	103	66
144.8	155	108	69
145	157	110	70
145.2	156	109	69
145.4	153	105	67
145.6	152	105	67
145.8	142	99	63
146	135	93	59
146.2	148	101	63
146.4	170	115	72
146.6	175	119	76
146.8	162	109	69
147	148	100	64
147.2	131	89	57
147.4	117	79	50
147.6	109	73	45
147.8	104	68	42
148	97	64	40
148.2	94	63	39
148.4	98	64	40
148.6	98	64	39
148.8	91	59	36
149	93	61	37
149.2	98	65	39
149.4	99	64	39
149.6	112	73	44
149.8	125	83	51
150	128	86	54
